B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SRR7344544	0.0332395040056926	0	0.00879802043633859	0.357811881535042	0	0	0.083617191585679	0.0563141773162708	0.0317609859428047	0	0	0.0144457459098472	0.00338626159448475	0.0366826400978883	0.0812578167859613	0.25992041512905	0.00978927720873488	0	0.0229760824522058	0	0	0	0.275	0.0395305076200717	1.08135496947982
SRR7344545	0.0365791112730233	0	0.016693834732958	0.396267462484524	0	0	0.191996185597879	0.04381083211832	0	0	0.0500479447488642	0	0.0343697377797593	0.0373415605542367	0.0639821442091551	0.0602263509968117	0.00693411386496248	0	0.0592355438528934	0	0.00251517778661338	0	0.013	0.257370191529742	0.990014258736332
SRR7344546	0	0.0460016860005136	0	0	0	0.102235587718325	0	0.00585007593647696	0	0	0	0.0360135749897312	0	0.0205409909114265	0.0247409977302052	0.693543812295067	0	0.022501518495348	0.0485717559229071	0	0	0	0.00600000000000001	0.294906498059631	0.983494190439557
SRR7344547	0.0378151494918431	0	0.00289067597315566	0.211293071150879	0	0.120970102039287	0.168206270612723	0	0	0	4.00946563454445e-05	0	0.00583585566735046	0.0353979580774294	0.0805378800121409	0.193085390076472	0.0609020090274641	0	0.0620737446085967	0	0.0209517986063126	0	0.116	0.0972537241942953	1.0386921339818
SRR7344549	0.00690163887215768	0	0.0022700346601033	0.0726421537663065	0	0.206075451340024	0.0756447352862655	0	0	0.0140612387446776	0	0	0.00437997103725543	0.0651370569838968	0.119268119307428	0.138138299532296	0.169449724813667	0	0.0913060829972055	0	0.0347254926587169	0	0.044	0.160732877404157	1.01416454029245
SRR7344550	0	0.0410807857396124	0	0.018004155283271	0	0.151147573605189	0	0	0	0	0	0.0640536210384529	0.0162130277000948	0.116833380890706	0.0318748423515618	0.0336335901994231	0.220769836557518	0	0.300125833006463	0	0	0.00626335362770782	0.381	0.0185007290034755	1.07677070124771
SRR7344551	0.00884050277236914	0	0.00662297409291881	0.331701149814091	0	0	0.106914399918467	0.0866253594036023	0.0200417114823954	0	0	0.0426714540617407	0.0103436231957435	0.0436187915395679	0.10578627690557	0.151842276206493	0.0258018038199938	0	0.0556363251080353	0	0	0.0035533516790115	0.07	0.124361087083249	1.04721658310751
SRR7344552	0.00760749145908707	0	0.00502968954939028	0.332144386549965	0	0	0.0668020761444253	0.0756201400092095	0.0385058075541595	0	0	0.0500542442974826	0.00866439671652563	0.12560744813843	0.0911347882278239	0.166690508861326	0.00972205273845471	0	0.0224169697537208	0	0	0	0.001	0.368296560156993	0.934636244650936
SRR7344554	0	0.00333429516769093	0.00151215448732603	0	0	0.184553559640277	0.0899690168140292	0.00803115421678393	0	0.0304346406206708	0	0.00610137912479121	0	0	0.0681272974438374	0.38422215810613	0.162941333578239	0	0.0607730108002243	0	0	0	0.496	0.00533456500863197	1.08028824613348
SRR7344555	0.0458283538259148	0	0.00408640556129641	0.0213157128904683	0	0.0297622704504761	0.158794902426071	0.00331772867948674	0	0.0172245820267721	0	0	0	0.200099671094011	0.0975166711578498	0.157805677505663	0.157244329698498	0	0.0952365365912444	0	0.0117671580922479	0	0.284	0.0378639941712977	1.06652607716565
