B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
G138701_RCCBMS_00020_T_v1_RNA_OnPrem	0	0.0745069435503996	0.0764357065215036	0.125750068889063	0	0.234305527733361	0.00266363804144577	0	0.0158877894460514	0.0438059761788216	0	0.0123135341005668	0.0161610794016704	0	0.0738990516764463	0.220877783620757	0.0279305512448269	0	0.0267085869511123	0	0	0.0487537626439741	0	0.323726750237158	0.949998445466053
G138701_RCCBMS_00097_T_v1_RNA_OnPrem	0.0131304057075939	0.0599961710261555	0.0273902596387867	0.0510336160897574	0	0.17935637553245	0	0.0361511990979401	0	0	0.0953992872133399	0	0.0859681620275435	0.0281916373117921	0.040285103109784	0.183276122857287	0	0.0532055041482203	0.116413446609365	0	0	0.0302027096299853	0	0.300749878815262	0.955789094463333
G138701_RCCBMS_00141_T_v1_RNA_OnPrem	0.012554981340062	0.0483210747907821	0.0516216660261321	0.0336315583853981	0	0.171942892021811	0	0.0388018474966535	0	0	0.0410696162449292	0.0329399541154863	0.0976877404961511	0	0.0148324117597581	0.213339267216529	0	0.059139622655814	0.117185370709512	0	0	0.0669319967409818	0	0.326356798874444	0.945803808803658
G138701_RCCBMS_00099_T_v1_RNA_OnPrem	0.0435385769895578	0.0476809009575122	0	0.164592750143434	0	0.0543530410045062	0	0.0041969608184326	0	0	0.0932617603380814	0	0.0887300297757699	0	0.0132733274286712	0.207421009571879	0	0.0429665549813147	0.106842509800292	0	0.0973268813430635	0.0358156968474855	0	0.300612946452594	0.956698330983046
G138701_RCCBMS_00163_T_v1_RNA_OnPrem	0	0.174973782027175	0	0.015336079372304	0	0.114148360001435	0.00925810726557146	0.0960585703187987	0	0.00315799212247029	0.0441956051170234	0	0.0604306591297512	0	0.0474498470887001	0.25835701670275	0	0	0.136004789485763	0	0	0.0406291913682569	0	0.300554961690106	0.956861310178635
G138701_RCCBMS_00053_T_v1_RNA_OnPrem	0.124684180849928	0	0.00551197318320027	0.195967657658243	0	0.0562395314150787	0.113563453831759	0.11103609518114	0	0	0	0	0.0720528222132956	0	0.0548824103366946	0.21038063160763	0	0.0202413856296793	0.0166075449885697	0	0	0.0188323131047819	0	0.372683659580701	0.927586443039502
G138701_RCCBMS_00116_T_v1_RNA_OnPrem	0	0.046451533979813	0.0218431887192749	0.0970406065424487	0	0.214284883262795	0	0	0	0	0.0217761681741179	0.017473211170529	0.117991203779611	0	0.0404180300104752	0.283818577262988	0.0584727830869716	0	0.0179377078332216	0.0121686297182403	0.0434121112135634	0.00691136524595072	0	0.301368659658119	0.95742985836446
G138701_RCCBMS_00136_T_v1_RNA_OnPrem	0.0409404722820759	0.116884070000356	0.0715397842432784	0.0839452436438249	0	0.17261605420295	0.037030876648851	0.103629772173777	0	0	0	0.0728648786888649	0.0462574317905165	0	0.0280449963038848	0.149647237042419	0	0.0184471230210646	0.0439213011877261	0.00116419338453052	0	0.0130665653858813	0	0.327780094768136	0.949056763339172
G138701_RCCBMS_00057_T_v1_RNA_OnPrem	0.073568886270972	0.0575155351340069	0.0137709646592786	0.162428530833891	0	0.14944039408343	0	0	0.00174291841135844	0	0.0257910406938109	0	0.0433748898304707	0.0660433256325511	0.0472569264044391	0.286865317694792	0	0	0.072201270350999	0	0	0	0	0.288570330348153	0.963908033634688
G109543_RCCBMS_00007_T_v1_RNA_OnPrem	0.0743363030956263	0	0.0404414887757293	0	0	0.25158300185086	0.0155560552183139	0.0603745709365534	0	0	0.0401929960448838	0	0.0242580445006726	0.0179652755701272	0.00846263718644027	0.327443222542405	0	0.0681893915278365	0.0126011409562913	0.0385637656954292	0	0.0200321060988315	0	0.238653692259599	0.983122883244022
G138701_RCCBMS_00008_T_v1_RNA_OnPrem	0.0211742940799755	0.0959242106534588	0	0.122786418511171	0	0.180942851722962	0	0.0569071977751782	0	0	0	0.042289607049653	0.10874395897599	0	0.0845971538034374	0.251480958589398	0	0.0140009902737826	0	0.0167642678901675	0	0.00438809067482613	0	0.371575634416921	0.928607566398062
G138701_RCCBMS_00065_T_v1_RNA_OnPrem	0	0.0696054334474644	0.00850943926263657	0.218905262970441	0	0.0606998348271348	0.0721749939876161	0.0926200264331625	0	0	0	0.0322681270445479	0.0793226376314974	0	0.0265955220307529	0.209082935555806	0	0.0618505968534146	0.0445261369066107	0	0.0238390530489148	0	0	0.336249557873688	0.942650007949723
G138701_RCCBMS_00110_T_v1_RNA_OnPrem	0	0.140248008457996	0	0.0374844229690921	0	0.270861927453515	0	0.0136452482282446	0	0	0.147353293007503	0	0.0851892585519329	0	0.0453722983857338	0.205435307893349	0.00240558972288163	0	0.0520046453297517	0	0	0	0	0.258374385535723	0.977718476435108
G138701_RCCBMS_00111_T_v1_RNA_OnPrem	0.0318279262824284	0	0.0440303036039758	0.0919437516834668	0.0841739936601651	0.0255744645429966	0	0.0665837061284231	0	0	0	0.0841822897080569	0.057629432760678	0.0646242529282955	0.0249180890266847	0.285839439861506	0	0	0.131255349616997	0	0	0.00741700019632622	0	0.219432619616005	0.990282939612589
G109543_RCCBMS_00147_T_v1_RNA_OnPrem	0.0532846918617152	0.123287381436243	0.0423038344364979	0.103489245953963	0	0.195331221764837	0	0.0689886181722468	0.0692262197571262	0	0.0645051490731393	0	0	0.0726004794123118	0.075167054528041	0.103804478984707	0	0	0.0280116246191718	0	0	0	0	0.378654596675259	0.927485823319105
G138701_RCCBMS_00044_T_v1_RNA_OnPrem	0	0.141900773167874	0	0.0382520896997273	0	0.170442895411501	0.0401699596861109	0.0782057250839282	0	0	0.0836211184014927	0	0	0.034266449051139	0	0.255334857246724	0	0.113215549876544	0	0.0432812961203441	0	0.0013092862546141	0	0.236064914533331	0.98429827358005
G138701_RCCBMS_00084_T_v1_RNA_OnPrem	0.0185004553854862	0.135624425007154	0	0	0	0.270710845371719	0	0.0541333845512481	0	0.0218296017459599	0	0	0.108779147127376	0	0.0702544336328929	0.255992292043499	0.0230894064720622	0	0	0.0410860086626028	0	0	0	0.363429770832085	0.931941870706016
G138701_RCCBMS_00093_T_v1_RNA_OnPrem	0	0.114480463819596	0.060630723058526	0.231741715756839	0	0.0431965869492449	0	0.0768647385224561	0.0287855814891361	0	0.0213081148341413	0.00314703679845899	0.0832875682567294	0	0.024717807288741	0.152925051066243	0.139072467525084	0.009755204115403	0.0100869405194024	0	0	0	0	0.343367103391342	0.940739807782792
G138701_RCCBMS_00154_T_v1_RNA_OnPrem	0	0.067411963297817	0.0762033623645272	0.105007073159857	0	0.194650097713445	0	0.123103627913344	0	0.0109097527875253	0	0.0250882715013586	0.0677850870810725	0	0.0512660915706297	0.243368428274009	0	0.034155914774832	0	0	0	0.00105032956158281	0	0.324934562691769	0.949976989606703
G138701_RCCBMS_00194_T_v1_RNA_OnPrem	0.007648865465284	0.112161169627864	0.0229646529986289	0.0438085455328745	0	0.179355731084847	0.152880417708796	0.0291286926569946	0	0.0148710219787455	0	0	0.0900390355422145	0.0191824009590241	0.0491775575945581	0.255891645369292	0	0	0	0.0131170297519569	0	0.00977323372891921	0	0.393038896624153	0.919186921799199
G138701_RCCBMS_00028_T_v1_RNA_OnPrem	0.056355094134856	0	0.0546294329908302	0.240600177755813	0	0.0602860680150212	0.0689302550475087	0.110316993200809	0	0	0	0.0287735640077997	0.0799140380310006	0	0.0342801138532951	0.170761154591172	0	0.021460052745774	0	0.0664999511121533	0	0.00719310451396593	0	0.25710693116261	0.976983274696692
G138701_RCCBMS_00047_T_v1_RNA_OnPrem	0	0.086027406290642	0.0115873198860676	0.243333189610875	0	0.0281247486434325	0.0160278513222998	0.0729662352106751	0	0	0.0417411555990458	0	0.0501316137829635	0	0.0217858638157943	0.25015298339644	0.00102003633448546	0.0690503305232908	0.0428018055351607	0	0	0.0652494600488281	0	0.333203324797491	0.944450343758648
G138701_RCCBMS_00178_T_v1_RNA_OnPrem	0.0214578843201842	0.0664052060268443	0	0.0352389169873594	0	0.284927018582676	0.0054067876805086	0	0	0.0300434460946913	0.0042987542821138	0	0.0819338923731653	0.0418632848560593	0.0697412365275877	0.213216035875275	0	0	0.123346421108743	0	0	0.0221211152847916	0	0.270507394708968	0.969828390359856
G138701_RCCBMS_00068_T_v1_RNA_OnPrem	0	0.0868533863632723	0.0427894908301965	0	0	0.186494405828943	0	0.0409581155911166	0	0	0.0397960583251831	0.0589022512246462	0.0653333575120191	0	0.0432238243901236	0.280874237655482	0	0.0225764206965661	0	0.0928319449727937	0	0.0393665066096578	0	0.289181319630458	0.961587294563154
