B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
ERR2208887	0.0327674796075374	0	0.00560307723007045	0.0106534891687866	0	0.183780890238058	0.130701325515855	0.00713048680288889	0	0	0.0292485302242848	0	0.0122082874748216	0.0856988379419364	0.0519841500081991	0.173364555160823	0.192727259988521	0	0.0681933573497117	0	0.015938273288507	0	0.087	0.0958236980276635	1.03259974854319
ERR2208888	0	0.0178118147916142	0.00770040915296694	0	0	0.193333179027069	0.0977596608148362	0	0.00344828084869811	0	0.118692218467699	0	0	0.469898002027428	0	0.0749117114285515	0.00198171428544252	0	0.000724357178476201	0	0.0137386519772185	0	0.164	0.0677506190577645	1.09876997348205
ERR2208889	0.194172682213663	0	0	0.0481381602927528	0	0.141042915950402	0	0.0372034743205281	0	0.0082752731181319	0.00738339118835225	0	0	0.28597474491372	0.0217902975338156	0.119837962108137	0	0	0	0.114119555664563	0.0220615426959335	0	0.015	0.224784386359552	1.00289218791463
ERR2208890	0.108873029703903	0	0.0384627590750077	0.124576589290355	0	0.140865438977438	0	0.0653627468271789	0	0	0	0.0977267287450108	0.0138034835980075	0.149938444010478	0.0374321315907165	0.153491961008375	0.0421689569199269	0	0.00424146771450633	0.00968862276681827	0.0133676397722768	0	0.026	0.18136986483945	1.01433069818013
ERR2208891	0.024473646837944	0	0.00386263552762401	0.263330329646268	0	0	0.130582135568522	0.0518031126825016	0.0243439208911203	0.0306880817366968	0	0.0178953549621545	0.00635006488306255	0.138288043351389	0.0375936777712507	0.18250918038662	0.0422769763523961	0	0	0.0226651930659929	0.0233376463364584	0	0.172	0.0628944409313132	1.06264650965609
ERR2208892	0.0176772173378488	0	0.00829256319664925	0.167273907968223	0	0	0.0982031936805649	0.0745509329860448	0	0.0420038671493305	0	0.076237212633206	0.013602717148059	0.187952564893298	0.102776946790489	0.115107008655542	0.0384941676838956	0	0	0.0278425691190294	0.0299851307578197	0	0.105	0.0879795247627021	1.05889658302636
ERR2208893	0.0399650245905652	0	0	0	0	0.19316903690711	0.041308783571534	0	0	0.0303083561337145	0.00662309053328838	0	0.0442472295921129	0.153150658657078	0.0472385200711509	0.3909398746806	0	0	0.00955497463804334	0.00142505413227979	0.0116474052464415	0.0304219912460817	0.483	0.00330615654658917	1.0961208135722
ERR2208894	0	0.0545963986594355	0	0.0422997775801713	0	0.12351504328212	0.142986859778931	0.043035911980182	0	0.00581827619494757	0	0	0.0435054565041126	0.0582260055626653	0.0846048164545464	0.295058342657899	0.0455517266364441	0	0	0.0428851376775006	0.0179162470310442	0	0.214	0.0508482940088803	1.05657662448416
ERR2208895	0	0.0276418234994076	0.0099440512067549	0.0243021451315052	0	0.298510753963131	0	0.0129199112851344	0	0	0	0.0646904877492188	0.0359675273591202	0.129956804140269	0.0864235570262294	0.190376367291415	0.033501036545394	0	0	0.0653552185771386	0.0204103162252818	0	0.212	0.0514371343130502	1.06739459274677
ERR2208896	0.11213074923622	0	0.00574549134320529	0.105317152065894	0	0.00291627411102616	0.154252385252624	0.0654826856027243	0.00157517925779323	0.0547578869870208	0	0.0525973916426614	0	0.19780763524116	0.127020213723729	0.0708315088086426	0.0475970602148987	0	0.00196838651240053	0	0	0	0.04	0.146040521753171	1.03160587778164
ERR2208897	0.149180556934639	0.191485767897544	0.00507322156653735	0	0	0.211559179486398	0.0730125216313933	0.0234215359118926	0	0.0239786314277361	0.0114294815497298	0	0	0.0972735999605724	0.0475018507571942	0.0979210158417889	0.048156959810714	0	0	0	0.0200056772238603	0	0.002	0.402721972328556	0.915930746645596
ERR2208898	0.142715615345561	0	0.0458119201588482	0.0480563425963223	0	0.140253840022148	0	0.023577206065042	0.0416031058961609	0	0.0204960764020068	0.0254489802465108	0.0643773196533049	0.0730182660895595	0.0153499160362041	0.274190774827489	0	0	0	0.0547942565751379	0.0303063800857045	0	0.012	0.238888032352882	0.985333370568343
ERR2208899	0.125839058276536	0.126037590293239	0.00682244086468646	0.0109876418523043	0.280124120285916	0.24536232893056	0.0991335845344717	0	0	0	0	0	0	0.0406028954700293	0.0060425235065935	0.0534275693294917	0	0.0031177223764551	0.00250252427971728	0	0	0	0.002	0.402176626723732	0.923578811582702
ERR2208900	0.103458226573844	0.0909734052713018	0.0195650782032882	0.113384210174741	0	0.0879682004429032	0.0580165583317267	0.0819955341261698	0	0	0	0.0830142284301031	0.0271521621316329	0.0261290590853114	0.112882879395031	0.0536884143033252	0.0845564389433774	0	0	0.00888976730735432	0.0483258372798902	0	0.00900000000000001	0.264040966719997	0.979249960683563
ERR2208901	0.02427845552284	0	0.000768340379779624	0.0188491942040184	0	0.082156585951519	0.0558716866324951	0.0114078741659448	0.00106918010236717	0.0282310036948674	0.0175595030880168	0	0	0.502638610160592	0.0564376216680652	0.159765441956517	0	0	0	0	0	0.0409665024729775	0.093	0.0916595072454863	1.10617943983503
ERR2208902	0.0854285696139596	0	0	0.0760511145280782	0	0.162064980708627	0.0551629911073285	0.0751297503648744	0.0111692949491456	0.0178406210848204	0.0261374481394648	0	0.0261171409241387	0.027132903601971	0.0380224290142245	0.135464739499258	0.134819597269646	0	0	0.104881922073511	0.0245764971209523	0	0.095	0.090888729858222	1.03940294121677
ERR2208903	0.0232456404262511	0	0.00311989725096744	0.0830592423125524	0	0.226555497557839	0	0.0205736997287206	0	0	0	0.0865927597418081	0.0203021891577882	0.152832331977037	0.0236685207189493	0.281364524276554	0	0	0	0.0637923769555294	0.0148933198960032	0	0.173	0.0617241840128251	1.07167408454223
ERR2208904	0.0751920327141691	0.0133469634071025	0.0694689201629152	0.259536483115567	0	0	0.0653625886692731	0.109816350810491	0.0712954899724215	0	0	0.0520526562049159	0.012219025171673	0.0188425527828704	0.104305721772886	0.0854625749477465	0.0581862603240203	0	0	0	0.00491237994394823	0	0.016	0.217170707746011	1.00752841402401
ERR2208905	0.0162693231898257	0	0.00763019385145748	0.136091774490638	0	0	0.190803782193707	0.0706918417908968	0	0.0103487300647235	0	0.0216469823273306	0.0163895581028784	0.242908858186955	0.156634204353244	0.0704539702432207	0.0274135903708651	0	0	0.0245277490483706	0.0081894417858869	0	0.15	0.0743540694697816	1.06909660327376
ERR2208906	0.0565606422428939	0.0358418236674548	0	0.139682763760596	0	0.0141838827271508	0.0524858495683386	0.11642082074579	0	0.0187602224813968	0	0.0476632683049413	0.0200865647170642	0.222830664545598	0.127463099028774	0.0754959121081565	0.0239214019057702	0	0	0.0333773786306906	0.0152257055653849	0	0.055	0.12538901417752	1.04224595929539
ERR2208907	0.0119427821123177	0.0248852634620691	0	0.0357274099613665	0	0.106876042864641	0.191714090692014	0.0396245351213248	0	0.0604482104336691	0	0.132362156974658	0.00112408214880407	0.0792731639182322	0.116024274246725	0.0840221956063444	0.0432195974472323	0	0	0.0179975253058153	0.0547586697047866	0	0.24	0.0418511223429092	1.08612194309953
ERR2208908	0.0611931535353304	0	0.00795949104434259	0.0735720849660385	0	0	0.262357686755644	0.0103243958090637	0	0	0	0.0520893051609953	0.020211095284806	0.0694179989716305	0.105644722302655	0.232935761220518	0.0574806373696577	0	0	0.0162451228115752	0.0130455199477622	0.0175230248199809	0.047	0.136158982212489	1.02693377102774
ERR2208909	0.0135809423821254	0	0.00279204209810582	0.0518328908970819	0	0.0641145338623374	0.167338282668192	0.010582240435288	0	0	0.0119118607646307	0	0.0185902817548381	0.176577106289109	0.0581142689186243	0.222416878727123	0.167339154767973	0	0	0.0236907163452172	0.0111188000893547	0	0.089	0.0944909942924572	1.04777772203207
ERR2208910	0.0823202164246472	0	0.0160642280327365	0.132205855184801	0	0.193011387416743	0	0.0527672474707209	0	0	0	0.0652406961597889	0.0106194712822458	0.149220335792134	0.0282483284146145	0.156757148464191	0.00183120063502835	0	0	0.0632600060136815	0.0405288701059661	0.00792500860270212	0.0610000000000001	0.118111175552578	1.04132650254201
ERR2208911	0.120274494016459	0	0.0650662297322935	0.0096541157590826	0.0441256519982068	0.093466150256567	0.127455020811392	0.0884009730040443	0	0.0352954131942585	0	0.0391453856169693	0	0.138591940179188	0.121929935767941	0.0539306173061391	0.0438578915168127	0	0.0188061808406473	0	0	0	0.013	0.232334205204842	0.990432916035008
ERR2208912	0.162999993379997	0	0.0284117887477059	0	0.0422064143080942	0.209732712300421	0.144182400339396	0.00846752729339603	0	0.0439104648282572	0.0118001600030763	0	0.00473357904521637	0.0721956548366134	0.121195975654094	0.0648310053277281	0.0425103882700903	0	0.0279586866075439	0	0.0148632490583704	0	0.01	0.249948757694829	0.981877596545875
ERR2208913	0.041028558684676	0.0387411410496874	0	0.148140854676429	0	0	0.186927681115364	0.0788589217930368	0	0.0408501214139527	0	0.039830685692881	0.0032189431767999	0.144377751551894	0.140195605599709	0.109451183774462	0.0137400382459048	0	0.00753838557933811	0	0.00710012764586582	0	0.052	0.127638964387541	1.04006856935256
ERR2208914	0.0240963535965773	0.0775862949255828	0	0.0567342097254013	0	0.061235410232753	0.141350691958686	0.0663176457785118	0	0.0147201711378984	0.0200334728697317	0.000179876667172892	0.0364694174592191	0.165979867855655	0.180791307026636	0.0845530613353516	0.0263560286774246	0	0	0.0285510414892109	0.0150451492641882	0	0.05	0.130548881360117	1.0389177582135
ERR2208915	0.0538397694685146	0	0.0373505773111836	0.0633850355937089	0	0.0608220280049105	0.119420252721244	0.0496546969331358	0	0.0351418782081615	0	0.0307004040264515	0	0.233785825883802	0.161692678722776	0.0607522334370869	0.0449010930469801	0	0	0.00989490853167166	0.038658618110374	0	0.0659999999999999	0.113616687024395	1.04831264854515
ERR2208916	0.0392220216969604	0	0.00340775677719618	0	0	0.180172118207627	0.0497888395504864	0.00025160952554416	0	0.0139497953902761	0.0484664818811919	0	0.0285934857971411	0.121745374300555	0.0393540471041125	0.348935919280386	0.0404113322562846	0	0.0606879273872346	0	0.0250132908450036	0	0.0669999999999999	0.111263310629181	1.03814288330501
ERR2208918	0.0169875753988918	0.0585286542529239	0	0.117084879632135	0	0.127715658268299	0.0783049374695274	0.0418968525020662	0	0	0	0.0168559774765952	0.0173922682749341	0.203960382884554	0.0684633881522548	0.110845423385816	0.0145499459346946	0	0	0.127414056367309	0	0	0.044	0.141390290664635	1.03133007281413
ERR2208919	0.0494187761749128	0	0.0481212709180037	0.0739159352900051	0	0.12783213403782	0.133301214827331	0	0	0	0.0259510122067556	0	0.105040017518608	0.170000819329385	0.0173597546726942	0.204335098477916	0	0	0.0126228844240371	0	0.0321010821225318	0	0.038	0.155927065118971	1.01536997083809
ERR2208920	0.089423453097532	0.030389057534418	0.0270313052865295	0.118297482142543	0.0335012807102405	0.174787632494955	0.0464669444807116	0.0467953410206048	0.00218232333555238	0	0	0.0770013762352888	0.0231095223124197	0.0518149497073015	0.0598986247988086	0.118272590258188	0.0361580525981802	0	0	0.0572231986356138	0.00764686535111225	0	0.018	0.197513178607091	1.00701854143481
ERR2208921	0.0844452148127076	0	0.0154745734005254	0.164438612791752	0	0	0.125497587587065	0.0825820116669816	0.00448297103564822	0.0754246159062841	0	0.0757072663613562	0.0041540072733044	0.106373334492752	0.129468265902353	0.0751561634698022	0.0471366142667454	0	0.00360954539918572	0	0.00604921563353676	0	0.0580000000000001	0.123077463955636	1.04760485781692
ERR2208922	0.0600774424601134	0.0111674280669904	0	0.00980578831556785	0	0.170158077447154	0.128251272623368	0.021582913339533	0	0.0199786813737527	0.0319607430038355	0	0	0.411903162238626	0.0504933594564793	0.0551627625571923	0	0	0	0.0294583691173876	0	0	0.05	0.131494231903276	1.05170258558848
ERR2208923	0.0761979018222053	0	0	0.00109386319839101	0	0.10142603865661	0.0364321262291429	0.0716113704162744	0	0.0276123311371157	0	0.0505648059914095	0	0.212742641786649	0.168230173535638	0.116854354149038	0.021190678971612	0	0	0.0881271613489712	0.0279165527569424	0	0.135	0.0784996845110621	1.07105276696329
ERR2208924	0.109205862917705	0.050916178582386	0.00294237254763477	0.063480632822405	0	0.129223160763149	0.10218170175015	0.0361347579005285	0	0	0.00738787210210331	0	0	0.297718279829599	0.0417873342129686	0.158912783295306	0	0	0	0.0001090632760649	0	0	0.017	0.206753412006669	1.00740585341599
ERR2208926	0.240119550736818	0	0.00976989624061218	0.0342784366664488	0.0229197128978309	0.144029991306057	0.220061052734932	0	0	0	0.0162202521445118	0	0.00199765554655966	0.0430068242508188	0.0354410602466469	0.0940273150156887	0.13047549513771	0	0	0.00765275707536493	0	0	0.00900000000000001	0.288411021329522	0.964558890927425
ERR2208927	0	0.011249356084293	0	0	0	0.182326743281072	0.21410510637491	0.00548491554263091	0	0	0.0572757047987454	0	0.00277295900994874	0.0604958775089039	0.0604543483602971	0.223939198727509	0.00864821309545424	0	0	0.0247922962246066	0.0420129003703671	0.106442380621262	0.544	-0.00259514503673697	1.07821318377057
