B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SRR3184279	0.0247421309366816	0	0.0198219065137689	0.106838736751358	0	0.166771281281623	0.00772396688670663	0.0226982234504236	0.0815013206786703	0	0	0.0505211339536095	0	0.0470152919643378	0.0926071911860335	0.242335403218914	0.0420436152955427	0	0.0953797978823291	0	0	0	0.203	0.0559715902209385	1.06000433469744
SRR3184280	0.0195636737523747	0	0.000434273126189577	0.141161072908592	0	0.125449000205657	0.00312997273332721	0.0716660396412078	0.00810198732620312	0	0	0.0509326659578532	0.032972503455565	0.049832418107331	0.0764644913691662	0.291552696007229	0.0193036463678571	0	0	0.0129928266143172	0.0575567849164523	0.0388859475106769	0.04	0.155688885562782	1.02379067033635
SRR3184281	0.0464689667630428	0	0.00844668198201286	0.202483295826783	0	0.0471426423773408	0.0424198913650921	0.0720527484759739	0.0110392961688704	0	0	0.0114783044849044	0.101261790583423	0	0.0860763794040768	0.158259388789626	0.079733163922918	0	0.0100449796250918	0	0	0.123092470230845	0.0620000000000001	0.128856724853471	1.03308566379918
SRR3184282	0.0128502094550462	0	0	0.050739270532008	0	0.077154867988367	0.00439740971155916	0	0.0588382635911627	0	0.0265190563237594	0	0	0.0841590150988182	0.00639853627920055	0.448175284975377	0.00805113260100204	0	0.216586598262714	0	0.0061303551809856	0	0.122	0.0890073590816106	1.05977798185526
SRR3184283	0.000515859378456927	0.00219568332414571	0	0.0143925038918145	0	0.05686447518214	0.0155176798133849	0	0.0280102342895175	0	0.00919674347537703	0	0.0689354202371379	0.165652368198989	0	0.41713461244315	0	0	0.0572517114658326	0	0	0.164332708300053	0.204	0.0556973850190267	1.10326320956709
SRR3184284	0.0348668216570566	0	0.00127965318753252	0.1388551953281	0	0	0.0881183392842354	0.0716810885953731	0.0227244271117719	0	0.00894068584018714	0	0	0.400083827051411	0.0942458223625323	0.106245213884238	0.00556922521042412	0	0.0256208612981772	0	0.00176883918896017	0	0.186	0.0651059551688192	1.08598201749544
SRR3184285	0.00208551942586961	0	0.000249230479800568	0.11336050052297	0	0.108512168350039	0.0184446031440518	0.0402758516713907	0.0210049999166265	0	0	0.00508576501614938	0.033603638858176	0.102832471532463	0.206367972616843	0.212147133981532	0.109639511713653	0	0.0125771380310557	0	0	0.0138134947393798	0.044	0.151063983002803	1.04208301181838
SRR3184286	0.0204058045579377	0	0	0.223434293851832	0	0.0520186411381463	0.0653787289615129	0.0467299855409413	0.072392419828202	0	0	0.0287438687454396	0.0417693240910953	0	0.124804610798606	0.242326141428319	0.0140406196642534	0	0.0679555613937137	0	0	0	0.25	0.0446078970443274	1.07266456739679
SRR3184287	0	0	0.00334297804624662	0	0	0.0958181130903995	0.00762985989142956	0.04082269461794	0.00645836778814011	0.0234791526014322	0	0	0	0.623369863065066	0.0100249120420477	0.00542539246991806	0	0	0.0445074561425937	0	0.00597113405568689	0.1331500761891	0.099	0.102304885804579	1.13264133460871
SRR3184288	0	0.0047799603648552	0	0.0139421211554241	0	0.0632589345211853	0.0322946197313334	0.012441363184782	0	0	0.00847431870501806	0	0.0145995989900816	0.423512013147488	0.049146775402267	0.251383619917838	0	0	0.103703203867684	0	0.0130484606140215	0.00941501039802244	0.07	0.120377677313521	1.08047963473888
SRR3184289	0.0194909066512768	0	0.00188405177316726	0.235196882606818	0	0.0911291474944988	0.0982399386770413	0.0342993035843445	0.0328619599599052	0	0	0	0.0689898651983566	0.0888909981472341	0.0715860607972369	0.218879702163858	0.00163914101208161	0	0	0.00521961875062146	0.0311193280806969	0.000573095102862481	0.00700000000000001	0.339705731396027	0.943745918634086
SRR3184290	0.028566854940004	0	0.00413805527704001	0.0710004689412902	0	0.0817158603798094	0.0288277504362575	0	0.0393622986401985	0	0.00363204516469245	0.000944656484976924	0.00404167855436938	0.0434944459882393	0.116882751742628	0.361875585790439	0.00709743365037248	0	0	0.175563617068589	0	0.0328564969410933	0.015	0.229109398442405	1.0015469703876
SRR3184291	0.00430034564806494	0.0419763112488827	0.0350993893824265	0.179238312935151	0	0	0.0696110327958918	0.0520154900608904	0.0613808879842734	0.00975422111874629	0	0	0.00789238075984313	0	0.111401001577271	0.39403902287441	0.0165760963241244	0	0.015941655245318	0	0.000773852044707649	0	0.05	0.136714879033143	1.03268377015419
SRR3184292	0.0154766486778937	0	0.0029457649797512	0.011142947936122	0	0.0218629700234037	0.0299884162149727	0.00525807024951085	0.0171542491023945	0	0.0392101383062002	0	0.0286053031829169	0.31156297568234	0.00872189439598037	0.122305236062016	0	0.0466759729727296	0	0.00425197447247952	0	0.334837437741289	0.00900000000000001	0.271565258620931	1.02107851023063
SRR3184293	0.0327272856895778	0	0.0292154595299423	0.142435439058239	0	0	0	0.0687313222413589	0.0808462634682952	0	0	0.0361419708115318	0.0025880137286292	0.461384443319185	0.0523842407699581	0.0719112212768512	0.00240912157378339	0	0.0192252185326482	0	0	0	0.027	0.183934341956647	1.03900180632479
