B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
NSCLC378	0.0234810932932115	0	0.0329831681015301	0.0577193657228608	0	0.023888492185734	0.0100098560549149	0.0784508094217746	0	0	0	0.0845955555771765	0	0.0649963046285241	0.0919516887126836	0.283583675771318	0.0347231426052007	0	0.147323431707825	0	0	0.0662934162172455	0.002	0.330663773519528	0.947967158376197
NSCLC1104	0.0815181186920646	0	0.102911246228389	0.0345696633469033	0.00146228144110346	0.0281628196963409	0	0	0.00319364424016415	0	0.0234820816025514	0	0.0730423942252242	0	0.0920935141159017	0.527092989205518	0	0	0.0275728238757859	0	0	0.0048984233300539	0.045	0.150189380847741	1.04579669292245
NSCLC947	0.0844326729246965	0	0.0439264459729365	0.104365749472087	0	0.0460172068550453	0.141528467773203	0.0282061424702048	0.00347808928991204	0	0.00695645054883396	0.0021489808782308	0.00229820179492269	0.0860694456709788	0.0629377252473193	0.352710343086588	0	0	0.0349240780150402	0	0	0	0.003	0.309799809213898	0.956105679212361
NSCLC990	0.0731902177032953	0	0.17981534093207	0	0.140308162564878	0.136995546813701	0.0155381162399912	0	0	0	0.0521408042078873	0	0	0.0629865532533112	0	0.244267978566106	0	0.00476930031583539	0	0.0555928509791678	0.0311774657436802	0.00321766268007613	0.528	0.0249916543448368	1.06610536076491
NSCLC1203	0.0190849229247371	0	0.0259671731664671	0.00898767282516101	0	0.0679984220404673	0	0.0149310284823568	0	0	0.0107391990029697	0.0228906989703803	0.166433184438359	0	0.0017443965177763	0.581968232024378	0	0.0766652895351649	0	0.00258978007178263	0	0	0.005	0.271431266452461	0.999013258926306
NSCLC1327	0.00225358831250513	0.00539836342155601	0.00439545368961416	0.101308573633203	0	0.0871309330008484	0.00364032432331185	0.0272515426080961	0.0304583275792365	0	0	0.0865841836063863	0.123468218475243	0.0511380855123031	0.0104719854565994	0.222959581441731	0.0921319725078405	0.00481875882531398	0	0.0725999271160767	0	0.0739901804901354	0	0.546372489798695	0.843108218579758
NSCLC1401	0.0964626427990849	0.081334201882571	0	0.0299480207985027	0.0962085193365233	0.17804268194078	0.0871645736862161	0	0	0	0.073455932741299	0	0	0.196369867262644	0.00959564736108141	0.121236038210405	0	0.0106744500066337	0.0195074239742592	0	0	0	0	0.514480912281856	0.860299224330571
NSCLC1155	0.00505095107364416	0.00541964077959871	0.0875062938226299	0.0905190866465196	0	0.00571665067250939	0	0.113758546396255	0.0140772946595759	0	0	0.172259155484101	0.360188598324156	0.0161659109191894	0.0238253318869064	0.0271268011958984	0	0.0152741773911433	0	0.0204101004893452	0	0.0427014602585268	0	0.50869350647396	0.860218826510409
NSCLC573	0.054359412269487	0	0.0305399573647117	0.0377263712767954	0.0103409070824502	0.0883233324154059	0.115179421140823	0.0454660719844432	0	0	0.0879567808426272	0	0.07817495938032	0.162900255243626	0.0894419845915935	0.114923323467265	0.00646476943315217	0	0.0106543246554157	0	0.0613848352424779	0.00616329360940653	0.139	0.10105413413953	1.04081423553979
NSCLC825	0.0511366562832262	0	0.150971103039213	0.0412080528895142	0	0.0622350176071511	0	0.0536586520188178	0.0146288367729906	0	0	0.0447121602726402	0.0185221516121095	0	0	0.419981094065148	0	0.107658224161693	0.0224320075222023	0	0	0.0128560437552948	0.808	-0.00983073668115483	1.08844916220016
