B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
ERR2498012	0.0138835894065828	0.0208926917466296	0	0.041336036487261	0	0.294329241140801	0.0817148440541779	0.0298396467564641	0.0197083718546478	0.00948927079594636	0	0.0194298147918487	0	0	0.108983195633879	0.102015792995078	0.109527627582846	0	0.0428416156639768	0	0.0356435151215343	0.0703647459683271	0.176	0.0570805601666639	1.05975774109035
ERR2498031	0.00399170806072499	0.00948495051242552	0.00621171501750281	0.159082961906492	0	0.00410899347001657	0.0419442374375207	0.045577816689431	0.108329938242566	0	0	0.0646025057313262	0	0.082103947607803	0.107050277517992	0.207838459840961	0.0296753521570564	0	0.0516449045503081	0	0	0.0783522312578727	0.289	0.0276538361525922	1.07677236773382
ERR2498033	0.0082251889847461	0	0.00964564365611405	0	0	0.0901335706961631	0.0825048606554067	0.0357614546269597	0	0.0288683937051115	0	0.033942825762769	0	0	0.101857771468252	0.0604715759966667	0.0173308049374136	0.0679422119762726	0	0.297986215984738	0	0.165329481549387	0.011	0.273977141564171	0.996106001502025
ERR2497990	0.0842623778328241	0	0.103568001488667	0.0678853000768683	0	0.15451904745425	0.0219007225212976	0.0530289201650132	0.076259232568214	0	0	0	0	0	0.0377244793924004	0.132974612237026	0.0949422957109029	0.0171280999242567	0.0738669301155374	0.0108331286137511	0	0.0711068518989906	0.011	0.268510026448241	0.970976629718076
ERR2497992	0.0235810315417115	0	0.00210865745777448	0.298106298536557	0	0	0.0329515405389453	0.0645464230007307	0.020374650879245	0	0.00492316719195819	0.032026061567105	0.0186527249445383	0	0.268069579807964	0.109608090364435	0.0234836681522673	0.013288110630616	0.0835587418819004	0	0	0.00472125350425306	0.003	0.480006475606153	0.880150997031468
ERR2497993	0.056118398263232	0	0.00824255802599375	0.226662984604481	0	0	0.120526389650967	0.039179209589479	0.0164597087608721	0	0.00473772437418598	0.0192926107719258	0	0.0459811915642317	0.0590734598743796	0.0328886753312683	0	0.0206560390769577	0	0.117307152065441	0.014137477932722	0.218736420113863	0.11	0.0868264674840806	1.06603932686908
ERR2497994	0.0903197753688047	0	0.00527847930741955	0.193233553810364	0	0	0.14909293377408	0.0645386817129922	0.0207738568603109	0	0.0643892169302653	0	0.00653960005134672	0.0279834309857239	0.0832094100204156	0.0793117390153217	0.0506626553886396	0.00574477193192544	0.0421911863303978	0.0278918590214727	0.00580752888986199	0.0830313206006576	0.0570000000000001	0.130252712423498	1.02807615112228
ERR2498005	0.0561352383985848	0	0.00611955130852334	0.248908460590213	0	0	0.23779280256276	0.0278153862576683	0.0253725304497663	0	0.0406994821934578	0	0.0240106354599203	0.121117313759317	0.0740758136777396	0.0979905696881227	0.0288455236975858	0	0.00620811983632695	0	0	0.00490857212001428	0.114	0.0845352037326476	1.05171463229099
ERR2498011	0.047599888605732	0	0.00835734378434317	0.321448408579645	0	0	0.17476876134659	0.0457275261216792	0.035596824560556	0	0	0.0148544893711319	0.00112164846748411	0.0717861606150258	0.0769345739975165	0.0436015384507128	0.0309119245207441	0	0	0.0823663384859554	0	0.0449245730928835	0.11	0.087105267075327	1.06043956308436
ERR2498014	0.0508560198830138	0	0.0130308113707041	0.303225179211084	0	0.269655511092059	0.0307287758821681	0	0	0	0.035496615302453	0	0.0110396384718649	0	0.0165115180289408	0.0718275655362424	0.00904474253351169	0	0.142086445707307	0.0157302659938513	0.0307669109868	0	0.0679999999999999	0.118917037380066	1.06091368117096
ERR2498025	0.00542794319857726	0	0.0011904749669395	0.21532244523114	0	0	0.04896366526257	0.0758418225887825	0.0210744899040933	0.0252390003611332	0	0.0597710854154657	0	0.248716714058729	0.106789586113895	0.117712921610805	0.0219772020095268	0	0.00934135942450985	0	0.0256988480141715	0.0169324418396619	0.198	0.0487695803084254	1.08366635590622
ERR2498028	0.0163471951874304	0	0.00431172904737774	0.16892778607778	0	0	0.252408645100873	0.0448814491866585	0.0271701673047889	0	0.0403558473336975	0	0	0.0770122917472395	0.111805947759446	0.180337820629474	0.0362112794115589	0.0110426123282438	0.0176071886026885	0	0	0.0115800402827431	0.039	0.156138604346769	1.02132349659365
ERR2498029	0	0.0284096911132099	0	0.0326811982877066	0	0	0.0450977989371829	0.0069408301343211	0.00099577647699172	0.0627048531447505	0	0	0	0.00675376321776097	0.0269940351867525	0.449315356528917	0.129031835798451	0	0.20901854937327	0	0	0.00205631180068539	0.011	0.274994948408244	0.976225960888949
ERR2497995	0.0643484994131214	0	0.0117051152450567	0.0463155404180203	0	0.0573608434832971	0.00465520496375828	0.0145294555880628	0.00360764794071787	0	0	0.0240807975136082	0	0.0714061990747988	0.0261031654695518	0.0178476737187404	0	0.0377652973560488	0	0.384484390376245	0	0.235790169438973	0.08	0.104892207080853	1.11348224501193
ERR2498002	0.0260681955249836	0.0296871323056016	0	0.137875686849006	0	0.167559513640926	0.0147106200545071	0.0128413488127068	0.047396876427102	0.0405452506984314	0	0.0211944189532009	0.00612870782131085	0	0.0646208029127314	0.253129481759674	0.0265301645615311	0	0.148226560004953	0	0	0.00348523967333364	0.037	0.161609905410349	1.01665107769376
