B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MM909_01	0.0114326754466539	0.064141125558432	0.213109040698704	0.268112193126356	0	0	0.0360047769231865	0.0876399846027251	0	0	0	0.032329978088937	0.0683531947341201	0.0189225570122263	0.0330858438388809	0.122856152075953	0	0.017405314397764	0.0261717067144415	0	0.000435456781620384	0	0	0.632920393109977	0.812854283812682
MM909_02	0.146194037417493	0	0.12323658173009	0.0780398305509761	0	0.234064678387798	0.0108283929996304	0.123833158977979	0	0	0	0.0248593023044781	0.0584978844951248	0.0207079706508902	0.0471644739228297	0.0778552970679734	0.0467765369277352	0.00632035361739867	0.0016215009496036	0	0	0	0	0.549279261598255	0.84722848279741
MM909_03	0.0327676322289133	0	0.0318814416657512	0.251936702592349	0	0.0232779897961639	0.0542749846646074	0.0899947549602205	0	0	0	0.0252506271162424	0.0046675811390942	0.167154945134336	0.0174262177861578	0.251744255208308	0	0	0.0496228677078569	0	0	0	0.002	0.203826887641082	1.00822592939378
MM909_06	0.0415549831141848	0	0.11279560151506	0.110244259415112	0	0.206833107435398	0	0.0661090312454362	0	0	0	0.0456946787866531	0.0908576148289474	0	0.0843680906618604	0.208191667680463	0.0286796840056079	0	0.00467128131127683	0	0	0	0	0.521205202863686	0.859728906101041
MM909_11	0	0.0515066667827075	0.0193181833713167	0.294989276788758	0	0	0.0718412109843286	0.102130526120607	0	0.0106126635899646	0	0.0259341680400847	0.0870807438410557	0	0.088192498692234	0.214811514414479	0.0184371477484518	0	0.00865532027686749	0	0.00649007934914501	0	0	0.579641738916903	0.8248600868906
MM909_14	0	0.0394034085172456	0.0130309156631168	0.323644954077131	0	0	0.0287772343864477	0.135901496425987	0.00420795661192772	0	0.00669222681768273	0.0228126624560503	0.0534448685408454	0.0398450420059047	0.0627692175025485	0.225890006799367	0.0321160145698481	0	0.0114639956258987	0	0	0	0	0.541824223474026	0.843988629617765
MM909_15	0.0451210866120808	0	0.0678877012798937	0.172516088416115	0	0.10271207162237	0.0156872616978185	0.09773193078894	0	0.0669847880809515	0	0.0452271965609771	0.0190725402954412	0	0.0697603284401702	0.244114618898519	0.0401838278533751	0	0.000449593106160577	0	0.0125509663471875	0	0	0.346548363246216	0.941925838623224
MM909_16	0.0930485193809073	0	0	0.133892621394078	0	0.0690473175237133	0	0.0937033987870408	0	0.00411835004533921	0	0.0151539770780457	0.00927495079364881	0.0719926098346696	0.0329187282599851	0.408724146119615	0.0456642754221958	0	0.0224611053607617	0	0	0	0	0.226369749911819	1.00056267168726
MM909_17	0	0	0.0603849210826264	0.12669772787019	0	0.0892192970333064	0.0265499003625746	0.0457368699102994	0.021038394376415	0.021477736001933	0	0.0487591226537443	0.0324721007022122	0	0.0650309011754104	0.230173647434272	0.126965726169449	0	0.0335879764309976	0	0.0719056787965696	0	0	0.364102529446015	0.931270032654362
MM909_22	0.00586612198687896	0	0.049520636400624	0.171924027716913	0	0.0852805425361574	0.0173620353132031	0.0337980946649821	0.00473523045117842	0	0	0.0478960628546277	0.0539827682876141	0.107070637967004	0.0625306619083098	0.222689466450119	0.0428320019785484	0	0.0810357446085659	0	0	0.0134759668752751	0	0.644998152141291	0.796681531047713
MM909_25	0	0.00990552340258462	0.0253136921975156	0.124775432196011	0	0.141839474055467	0	0.0437951918608341	0.0208064738551647	0.00661821679470522	0	0.0340485207194784	0.0803688833241092	0.14208367561154	0.0664909631837087	0.223211050251131	0.0680348869212138	0	0.0127080156265377	0	0	0	0	0.54821793983609	0.842132842580702
MM909_26	0.0305494167429618	0	0.221798276071074	0.176550168261352	0	0.0475055310602149	0.0373699706496348	0.0374788797275301	0.0115317238888426	0.0161817262183905	0	0.0708260973259848	0.0441570815843664	0.0169543129856827	0.0793851304467737	0.176153856419703	0.0129559090410648	0	0.0206019195764238	0	0	0	0	0.600745994462914	0.824548964597056
MM909_27	0	0.0351073644841828	0	0	0	0.118815088470608	0	0.0805268644798907	0.0453059940072151	0	0	0.0214438708641899	0.0667084092768434	0.205710765482113	0.0365405835138372	0.320250277880029	0	0	0.0695907815410906	0	0	0	0.005	0.193241572723058	1.02017954773668
MM909_29	0.159589039518579	0.0134516622015745	0.0826088483637937	0.190583550623533	0	0.0874663460113872	0.0192538867628585	0.112762645835984	0	0.0119234352889123	0	0.0133415862999264	0.0573872499593467	0	0.0858473049957985	0.133376118823281	0.00230554961142552	0.0157380343786612	0.0141642973941839	0	0.000200443930754817	0	0	0.684017347374552	0.77396214169887
MM909_31	0	0.0512208842807654	0.0407756485621227	0.225330292519441	0	0.0434175085583176	0	0.12215041698998	0	0	0	0.0280474138599463	0.0647919408086095	0	0.100270013355857	0.302827875697979	0.00254844879620891	0	0.0135270503591371	0	0.00509250621163526	0	0	0.443118685157739	0.895583656554619
MM909_34	0	0.0533592813401246	0.125185651092804	0.171547740262752	0	0.0477062958325206	0.00221491168358829	0.0635261844607897	0	0	0	0.0479273766958998	0.0634535047789832	0	0.0908257328748174	0.265415146970736	0	0	0.0479767168521047	0	0.00303767631955728	0.0178237808353213	0	0.48873018159529	0.876009643161235
MM909_35	0	0.0856975237369044	0	0.0113273341289313	0	0.125472235618164	0	0.0624620199795008	0.0208638585897755	0.0128752883462593	0	0.0396981115702637	0.00775100706594441	0.186407625730839	0.0890821482452843	0.25579253813163	0.0386000032640767	0	0.0639703055924259	0	0	0	0	0.409152489241071	0.912726243377727
MM909_36	0.0269764390993231	0	0.0570414970079761	0.17745172563575	0	0.114278897077412	0.0294311912720511	0.078247943078008	0.00331142436547214	0.00268263440955863	0	0.0392116230294872	0.0750283761145856	0.0363686446327648	0.0674946481967584	0.178191601561269	0.0852201323055265	0	0.0170095620239663	0	0.0101621474932218	0.00189151269686968	0	0.645310240653974	0.798908823297016
MM909_37	0	0.00574078770604579	0.111021499181677	0.222773316955609	0	0.0170378052837927	0.0573028861888259	0.0520840797566251	0.0356357767835949	0	0	0.0600865782160344	0.0537531913543446	0.105894707543535	0.0754163805176652	0.154629030060644	0.0117076600045958	0	0.0299948832332738	0	0	0.00692141721373713	0	0.665500956397803	0.786235577705255
