B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SRR2689710	0.0187328492233728	0	0.000513261080101225	0.0840507938023443	0	0.00918231955260699	0.00173866939215188	0.0238979058281512	0.0319240396848946	0	0.00375427014555237	0.00703234746140343	0.0125957391244842	0.660962021192329	0.0207466980081336	0.090276778402785	0	0	0.0345923071016892	0	0	0	0	0.743706954859878	0.675070455922389
SRR2689711	0.00031979284674537	0	0	0.0345831907560996	0	0.130662836610666	0	0.00213934656881618	0.00303639440760031	0	0	0.0441780965998956	0.0358966827539365	0.113268203213661	0.0186432095011938	0.33545134058396	0.0441224152677149	0	0.235805605577696	0	0.00189288531201529	0	0.206	0.0533924067922411	1.06927411032262
SRR2780275	0.0449034598167687	0	0.00385879012654937	0.237764522656733	0	0	0.16239772466717	0.0659402109491494	0.0154582366792537	0	0	0.0408808315966661	0.0139733281631132	0.0993958484580148	0.0625723761430269	0.190943831415502	0.00621068298792426	0	0	0.0424325038271937	0.0132676525129348	0	0.253	0.0411196238275109	1.07007881579297
SRR2774280	0.128381722832326	0	0.0501681531558989	0.0750018200006179	0.00891111535573231	0.0401999478862356	0.158047938323184	0.0466066035193743	0.0025795949796361	0	0.0048902959554144	0	0.161293198268317	0.0665239166747658	0.0223772417572442	0.192837537643621	0.00382262238888708	0.0108320431493832	0.0275262481093625	0	0	0	0.011	0.252634003459633	0.97531855977666
SRR2778361	0.0100796520048989	0.00694262852687367	0	0.0738156695269237	0	0	0.164615037516326	0.0759527757345433	0	0	0.0350022801104733	0	0.00182934068406103	0.349450595549566	0.0933481340179659	0.161467198986636	0.0040828451582431	0	0.0234138421834892	0	0	0	0.25	0.0421715331275092	1.08897891521077
SRR2772780	0.026537311881067	0	0	0.100156710956643	0	0.217489494942174	0.0790459083613591	0	0	0.0421647352277734	0	0	0.0250149162333912	0.00333996400877844	0.114251093498928	0.217582964423165	0.0922259967021851	0	0.0512721912839749	0	0.0309187124805616	0	0.221	0.0490687436639348	1.05992603603612
SRR2770872	0.047270244774527	0.0647145875657297	0	0.0411080985829199	0	0.277779832450067	0.0930537340644664	0.0306936965858875	0	0.0652622622609245	0	0	0.0185834040589181	0	0.0462302541130317	0.192838228619766	0.0855150506688675	0	0.00201199956889604	0	0.0349386066859985	0	0.371	0.0191940731162717	1.07136498384871
SRR2675767	0.0125722155912595	0.0152303695147024	0	0.059282062511005	0	0.169409878213366	0.0257418963688004	0.0965422692566788	0	0.00847178887526648	0	0.0417980065344206	0.026029969277979	0.0263471824163436	0.082014829072984	0.213732534806383	0.138012785399844	0	0	0.0546816564185854	0.0301325557423824	0	0.428	0.0106110536457137	1.0745926302495
SRR2771207	0.0696771262507593	0	0.00264616595720541	0.0680401730162203	0	0.248695725289264	0.0164958686770134	0.0782479054006894	0	0	0	0.03657395450133	0.0419571236088544	0.168719569368552	0.0348661287510427	0.205387399234806	0.00260723971725843	0	0.0178573328397596	0	0.00822828738724582	0	0.112	0.091752061984065	1.05167031731036
SRR2669446	0.00148267227528625	0.0129746079929357	0	0	0	0.248948025400664	0	0.00424746733668814	3.31842100359936e-06	0	0.0914593171164865	0	0	0.521458730666068	0.0306607313967564	0	0.0191079402154221	0	0.0531193184170318	0	0.0165378707616575	0	0.0649999999999999	0.121893717319604	1.07898281391368
SRR2755094	0.00195349809221455	0.0214368418453859	0.0801196132677219	0.173613124541135	0	0.240485476802575	0.0225554427494903	0.0832143861679466	0.0109589092930838	0	0	0	0.0159403400326688	0.0149121648091768	0.00360821738874941	0.302094245360031	0	0.0196271483687784	0.00814039433350461	0	0.00134019694753848	0	0.048	0.144261108677322	1.036198125977
SRR2771617	0	0.000964641500925876	0	0.0218392696738321	0	0.0174353982071021	0.0503231098752436	0.00681400290126291	0	0	0.0158342337009907	0	0	0.625583157432374	0.00874393381869869	0.225185877131044	0	0	0.027276375758526	0	0	0	0.002	0.479638440600962	0.901057600255223
