B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SAMf2ce197162ce	0.0905438637974095	0.00126134474419862	0.00188483140546002	0.0649486351922606	0.0528356389221371	0.0743710405929246	0.0345925223079442	0	0	0	0.00228706753234686	0	0.0220160042259344	0.318857360013121	0.0345559004624589	0.113578663486425	0.0362673716909134	0	0	0.133054036932279	0	0.0189457186941869	0.011	0.244359163263324	1.0010948803474
SAM698d8d76b934	0.0503083314911621	0.036998662533087	0	0.0455760837840189	0	0.0246849257730178	0.0109381197092957	0.0165317901169993	0	0	0	0.0506529259810667	0.0127587284978843	0.198366359779755	0.0681330966879839	0.193193988088614	0.0149820812174976	0	0	0.276874906339618	0	0	0.005	0.297683209014874	0.989800053607372
SAMc1b27bc16435	0.0489770806687658	0	0.00507171784466296	0.269750121193326	0.0331016604977086	0.116591657915544	0.0444639841833184	0	0	0	0	0.00654161005774655	0.0371609746183496	0.0529941045315382	0.0211859506831722	0.0394481687446568	0.0512248329469985	0.00330214648984961	0	0.270185989624363	0	0	0.005	0.291703363871853	0.980130319284055
SAM85e41e7f33f9	0.0154393328477154	0	0.00220683019184404	0.0704797275374454	0	0.0603850172512146	0.0451523088106236	0	0	0	0	0.109995353473417	0.0028930512706687	0.0111599437368118	0.0313237179176059	0.0815932332051813	0.084959788115444	0	0	0.474356732351902	0	0.0100549632901263	0.00800000000000001	0.256794717006634	1.06844590970865
SAMf275eb859a39	0	0	0.0154805423523112	0.0623655372172551	0	0.158979027497015	0.0239897622513559	0.00459749301016078	0	0	0	0.0444947353658179	0.0328681012075567	0	0.0293787575584755	0.0849380530231603	0.223078972322777	0	0	0.257819554211431	0	0.0620094639826842	0.026	0.200139309027829	1.02016777368155
SAM7f0d9cc7f001	0.15576876818125	0	0.000812443237403163	0.114488997236289	0	0.237401233829729	0.0152629261356822	0	0	0	0.00398012966817876	0	0.0379165028939212	0.0539595268155248	0.00998119851810116	0.104172602524415	0.00346198872987007	0.000218425210187218	0	0.247329439741659	0	0.01524581727779	0.004	0.310876522031851	0.963928811544214
SAM4305ab968b90	0.0383238367231218	0	0.00234021209440802	0.0478534761648692	0	0.288416547000643	0	0.0546836899714569	0.0030119599465243	0	0	0.0327720992243491	0.12954601233658	0.190718888361928	0	0.108349513647807	0.0574862081888517	0	0.0464975563394606	0	0	0	0.509	0.021426445202388	1.07948112374383
SAMcf018fee2acd	0.0961844111371142	0	0.000881565285804165	0.060594782866398	0	0.331750939650417	0.0130796157124106	0	0	0	0	0.0581556580516937	0.0316130208479037	0.074891463954739	0.0317128178425307	0.13438317265614	0.0412038918098669	0	0	0.125548660184983	0	0	0.099	0.117470267235249	1.04377297573657
SAMb2f1d0e54ece	0.0445508081598094	0	0.0039816416977118	0.101511753541587	0	0.0817513313227812	0.0425332926822242	0	0	0	0	0.055005386605363	0.0371848013038349	0.065273023417978	0.0702251824988027	0.276268621645723	0.00709729216703761	0	0	0.205122985402464	0	0.00949387955468358	0.01	0.24909358726593	0.996972682659781
SAMcc4675f394a1	0.019434993600566	0	0.00229492889814792	0.05409969835994	0	0.15789316868338	0	0	0	0	0	0.0694491586535968	0.133390755308412	0.140902968198806	0.0266030144572914	0.120089162712537	0.0958611009632253	0	0	0.17866151988896	0	0.00131953027513773	0.055	0.151808713864825	1.03752945015056
