B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
X6126	0.00617294575672256	0	0	0.221583737698863	0	0.0642766962892073	0.0464097357973639	0.11936751638641	0	0	0	0	0	0.104517801507394	0.190140433442002	0.138202645548099	0.0419157496214603	0	0.06423472344765	0	0.00317801450482807	0	0.024	0.212800838152663	1.01118068374656
X167	0.0884994440919459	0	0.0015426211678188	0.181659811813768	0	0	0.0822601186869732	0.0630980731752794	0	0	0.0367197337125546	0	0.00143046340460822	0.150739341480221	0.0515422517260307	0.115602817469831	0	0	0	0.183608905799505	0	0.0432964174714649	0.053	0.152862881069237	1.02876494297667
X4631	0	0.133145014231982	0.0455432348028237	0.158747680964368	0	0	0	0.206691274275659	0	0	0	0.0624886056421734	0.0225094639382714	0.0546195079393229	0	0.279279077233589	0	0.0150608140242486	0.0219153269475609	0	0	0	0.386	0.0245623109239398	1.08024070927003
X9449	0.0377327916569347	0	0.0344885798822978	0.316937224659987	0	0	0.185357777950416	0.0736430033255618	0	0	0.0272090291483741	0	0.0377631290105785	0.0355881728620091	0.0738389686902906	0.107437879776443	0	0	0	0.0700034430371075	0	0	0.092	0.110255828677139	1.04823060861871
X9521	0.000166860047878003	0.00185642968107285	0.0216198565891981	0.373945141075341	0	0.0582944371609109	0	0.134808962735231	0.0326666073357022	0	0	0.0876617518603367	0.0132532060188778	0.0217850682789394	0.0604812419108976	0.175756507088952	0.0159033736463925	0	0	0	0	0.00180055657026887	0.408	0.0218136975865941	1.12194833247828
X9705	0	0.000825355654423498	0	0.0812908048471833	0	0.0771597060082544	0	0.023538592296692	0.0136654262962983	0	0.0362741468857808	0	0.124476630116791	0.490483944235739	0.0126605597296519	0.0722097145255068	0	0	0.0652430891832381	0	0	0.0021720302204403	0.111	0.0953481966210189	1.08987672062294
X1509	0.0260098697754877	0	0.00175297580074095	0.221364951881494	0	0.0433958968905078	0.0730914222096143	0.0413476670359243	0.0205942124004759	0	0.00278688372639197	0.00489716787385569	0.048445922006625	0.282697353938156	0.101985012248679	0.103611306364247	0.00735624095003201	0	0.0206631168977678	0	0	0	0.017	0.226117293884897	1.00041399744103
X7623	0.0601099924616502	0	0.105386309302165	0.157349873758527	0	0.122610245667222	0.00881439666492358	0.0574337104048952	0	0	0	0.0318871761103104	0.148552816451691	0.0724736378728216	0.0343684817414795	0.178446441724989	0	0	0	0.0154815962973713	0.00708532154195444	0	0.013	0.242997783951091	0.984551043988713
X9699	0.071099307550982	0.0371840689995314	0.0795641031250776	0.146627205752298	0	0.0953000685930904	0.0294441387270799	0.131344199355121	0.00269861791285562	0.0717532786384432	0	0.00958953973115778	0	0.111797652497676	0.084879519717838	0.128645987176396	7.23122224523547e-05	0	0	0	0	0	0.01	0.265442476543723	0.981231788403059
X346	0.083262964714101	0	0.040339800424958	0.0973731240062718	0	0	0.00959379755946897	0.109130052850744	0	0	0	0.0231822110920376	0	0.413165814387164	0.0779828623198912	0.131896518799897	0	0	0.014072853845466	0	0	0	0.107	0.0983221748567071	1.07463119627256
X6336	0.00952090513058128	0	0.00264261151161113	0.446385228715192	0	0	0.0861600499956667	0.0474863055544294	0	0	0	0.101484851888197	0.0514954955838183	0.0503073800658272	0.0785067630750529	0.0827869042065245	0.0118405293124884	0	0	0.0313829749606112	0	0	0.00900000000000001	0.301050710286068	0.981234417570867
X1494	0	0.110066241585663	0.0354572621352173	0	0.0625187863812547	0.0132880692948308	0	0.0252172949837562	0	0	0.030984121163234	0.0461321441502161	0.0825087153944785	0.162679821459747	0.00265176429500786	0.180212649396302	0	0	0.229075453830917	0	0.0192076759293751	0	0.736	-0.0124010541112202	1.08345166355359
