B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
190511-59F	0.111640531458161	0	0.0295821548119416	0	0	0.418726770994789	0	0.0071915249133906	0	0	0.0798141029592049	0	0.0455397897279431	0.0630256159777908	0.0334560540620377	0.0754394925444602	0	0.0523896869375808	0.027507699690949	0.0556865759217511	0	0	0.87	-0.0192718322901525	1.09640626474609
190511-83F	0	0.0659271968973078	0.0118677551997867	0.0834503836007865	0	0.449752207779908	0.0301170481579862	0.00108174454952208	0	0	0.108591271125522	0	0.0301780344553897	0	0.0310114266583956	0.0675937058343449	0.0227995136077885	0	0.0185544598913408	0.079075252241921	0	0	0.113	0.112035871239348	1.06456465992649
190511-69F	0.110132286697426	0.0103419371883437	0.0148068145837023	0.0349358024981502	0.0305956484449242	0.104591596167778	0	0.0637613032324168	0	0.00413110485600869	0	0.0437073842371395	0	0.18785244532055	0.0145284707625655	0.112811593499385	0.156175510044872	0	0	0.10421141070118	0.00443516065577035	0.00298153110978754	0.384	0.0417882808719791	1.07592146166618
190511-52F	0.0417160512337843	0.0244313330521089	0	0.0182222322317572	0	0.0439669228598016	0	0.0965017824135756	0.0202194403552393	0.0143685488724573	0	0.0301176487359791	0.0181757962202964	0.356286881300784	0.0181445914532664	0.249620285357491	0.0032728745861731	0	0	0.0649556113272849	0	0	0.11	0.114128129267683	1.08390904310249
190511-30F	0	0.0297617285459028	0	0.165012443211377	0	0.231317923667926	0.0152826946903512	0.0760014482074788	0	0	0.006996033466579	0.00535997415307262	0.0453079372046432	0.0282319269916927	0.0397419124905165	0.252687177726764	0.0251315352405057	0	0.0424070105515037	0.0107087658493825	0.0260514880023044	0	0.582	0.0162798686406839	1.08364689512928
190511-39F	0.0154637260967656	0	0	0.0605937714942882	0.0361465353967776	0.130658038937166	0.00803706913136729	0.0948542211242438	0	0	0	0.0183714255600308	0.0458821504874221	0.2351572010312	0.0108425514468033	0.28419523156928	0	0.0424701027936276	0	0.0173279749310274	0	0	0.043	0.166060186853775	1.03789880242493
190511-65F	0.00694108936854828	0.00490319205128445	0	0.210671466368975	0.0693143433360066	0.00459162092042734	0.108390078374172	0.0523085458004917	0	0.0423620544851741	0	0	0.00834727957096923	0.135412274763743	0.0943199929911683	0.177125137913873	0.00853535865314379	0	0	0.0767775654020238	0	0	0.033	0.176765695514374	1.02405305573459
190511-11F	0.0632848460141266	0	0.0320759655888403	0	0	0.128839245557873	0.130399880281276	0	0.12527859560715	0	0.00301913149105968	0.0260296171212274	0.0873902295565534	0.179197108858933	0	0	0	0.10620234945834	0.0967969023831556	0	0	0.0214861280814641	0.998	-0.0629749055090572	1.09471919963757
190511-76F	0.137871374433713	0	0.0154407533116092	0	0	0.134991236010491	0	0.0740769946761823	0	0	0.0238926921054576	0.0157160280129715	0.0460743424301025	0.145750907699575	0.0169415840189425	0.222874809522558	0	0	0	0.152789912915584	0.0135793648628133	0	0.836	-0.0144743810434985	1.10275185323806
190511-25F	0.0863447346389172	0	0	0	0.0700043258910261	0.186040142803438	0	0.0614089731596556	0	0	0.0227774226443099	0	0.0430971435260924	0.0893009730693213	0.000650150548938879	0.216825253538425	0	0.0248917867350067	0.154617157897655	0.0440419355472141	0	0	0.687	0.00445829433164351	1.08212276121258
