B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SRR5088813	0.0309177631629202	0	0.00732455860778182	0.0739701921496762	0	0.105876734418412	0.168210443425876	0.0265263981092019	0.030067391347793	0.0242587283148434	0	0	0.0234022121706875	0.027483536932227	0.116396905812788	0.218971659310924	0.0644824097235763	0	0.0630206209010316	0	0.00895104516556286	0.0101394004466975	0.086	0.10165098301929	1.03464766663887
SRR5088814	0.0271394905151012	0	0.00134057247551761	0.087950545105618	0	0.0624225962410839	0.114985379081987	0.0412370806022211	0.00415738485042613	0.0037844560373017	0.0166798747072456	0	0	0.183070075640328	0.0816105224603891	0.201870990984479	0.129236627876793	0	0.0136423183929954	0	0	0.0308720850285128	0.119	0.0827005583728571	1.05116526365312
SRR5088815	0.0155688983320584	0	0.00151518728849699	0.023813163905435	0	0.212747301706893	0.0287252453860678	0.003551975085912	0.0518614356702398	0.00655555658697979	0.00387914207663275	0	0.111451817745763	0.156849368927144	0.13047673454209	0.210971962331259	0.0127806311975988	0	0.0186423450249182	0	0	0.0106092341925104	0.002	0.409559021311674	0.912160407125634
SRR5088816	0.00476142239693987	0	0.00581123331414465	0.108554466277155	0	0.0442537231528685	0.0724745912216126	0.0180211480966875	0.0535675875351817	0.00591954005890727	0	0.00166915619616079	0.0449408644448254	0.244697832304037	0.139589872646366	0.253134295649518	0.00260426670559499	0	0	0	0	0	0.002	0.413195781648415	0.912491558370467
SRR5088817	0.0137516512831978	0	0.0192738225203876	0.258907337532148	0	0	0.169877672964979	0.0423523123045818	0	0.0452310276584327	0	0.00558760334057869	0.0129021722106087	0.0289939753731927	0.150138174557897	0.164409964937267	0.0218871001927144	0	0.0452631936840195	0	0.021423991439995	0	0.093	0.0956753721828151	1.05372734553546
SRR5088818	0.04152533861828	0	0.00611840962688544	0.120861257567265	0	0.074048832659737	0.0280607323083869	0.0147812426687648	0.00880481865029539	0.00161861491352372	0	0	0.0212154994844355	0.183795721607924	0.0734841130721811	0.35290833697136	0	0	0.0203312396424858	0	0	0.0524458422084754	0.092	0.0968839595426748	1.05835016908506
SRR5088819	0	0.015597403246096	0.000807721071453501	0.0504801055566109	0	0.0859864894664045	0	0	0	0.0020241283226882	0	0	0.138282984837604	0	0	0.362394370064041	0.0487733039837507	0	0.246104046838637	0	0.0343723807485726	0.0151770658641415	0.293	0.0299183594856569	1.07869587735552
SRR5088820	0.0162409679655245	0	0.00667081494453067	0.297072089153514	0	0.0016198074438389	0.113561377907422	0.0455605215484792	0.0104442720391375	0	0	0.0258708317921624	0.0264157426785875	0.0287645244506723	0.170049361284676	0.167292365841568	0.0162723126462546	0	0.0728782876418263	0	0.00128672266180616	0	0.00800000000000001	0.264265589477629	0.983663491901883
SRR5088821	0.0188010594061253	0	0.00814992174784779	0.0871262550145997	0	0.100607109616254	0.131192167709031	0.00305904277572342	0.0181897855026599	0.00925270436842785	0.0191375878776661	0	0.00309781108801877	0.0826047597513781	0.0902627000227807	0.293775346639632	0.0408007225416801	0	0.0784962520779814	0	0.00635981990120914	0.00908695395898502	0.161	0.0662540228865298	1.05026664700082
SRR5088822	0	0.0357795510029989	0.0359655733035735	0.0395572266915185	0	0.122051965683881	0.0187340332313639	0.0225869654604238	0.0280870028247818	0.0105551532753836	0	0.0278880790877657	0.0177581837695728	0.0695545702959787	0.0512022453923032	0.305507244415111	0.102039931299209	0	0.105117055792901	0	0.00761521847323416	0	0.0649999999999999	0.121429931118493	1.02742152827482
