B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
X0040	0	0.0378211476116956	0	0.135814221035763	0	0	0	0.0267681507690975	0.102298462572645	0	0.0928257004553541	0	0	0.407509268260727	0	0.0675885985532435	0	0	0	0.0977162869504555	0	0.0316581637910195	0.153	0.0903967513476817	1.09203403185721
X0471	0	0	0.0612655838259059	0.206233021404199	0	0.0648607952072638	0	0.139353266092818	0.0755506843707743	0	0.0233280272883983	0.0605060176244588	0.0904257970224878	0.12472859541132	0	0	0.0501204085754168	0	0.103549356291146	7.84468858117493e-05	0	0	0.179	0.0847170290702714	1.05671104136749
X0522	0.0399584425627472	0.245687011521787	0.0349661865342283	0.136788809004204	0	0.168461490426484	0	0.0805090746081653	0.0740920046817331	0	0.0147799692314182	0.0335172556761697	0.00822061943186353	0.0816784998860526	0.0248644212329072	0.0382861462324895	0	0	0	0.01819006896975	0	0	0.025	0.201162253325209	1.01397433800484
X1233	0	0.0611280287770554	0.0244739425555242	0.139932877596198	0	0.105662114734652	0	0.128120012044456	0.10476629954784	0	0	0.0978412342121072	0.0536611829281702	0.0836802715792565	0.0560639394437837	0.0213583753551988	0.0390435839873301	0	0.0600391824726919	0.024228954765736	0	0	0.174	0.0853965927438994	1.05960868674425
X1249	0	0.0209442747542528	0.0056217793733436	0.0072304471959105	0	0.366370044008466	0.0250287373116398	0.0370482663505937	0.00714115454116761	0	0.117144048911675	0.0125205059987887	0	0.195997677863927	0	0.0410478321768976	0.0476425232757356	0	0	0.116262708237603	0	0	0.673	-6.01012556912741e-05	1.10856068023931
X1849	0	0.0246286697796287	0	0.266698406993619	0	0	0	0.105104111511899	0.125198734928508	0	0	0.0934138069620092	0.0154336757995848	0.171449143899539	0.0299646438763313	0.154563902656204	0	0	0	0.0135449035926768	0	0	0.138	0.0936220695880738	1.07280915237169
X1994	0.00455912809178436	0.0133635126624316	0.0457156580276321	0.0442446982540479	0	0.147991798023423	0.000739261564114998	0	0.00651337332373512	0	0.00669885244864055	0.0163954846987888	0	0.324984601912393	0.011677912610584	0.0806670332473632	0	0	0.296448685135062	0	0	0	0.001	0.490298955506898	0.871925347101889
X2131	0	0.00532334200263972	0.0922850993800325	0.169244801488897	0	0.0675815227265175	0	0.0572958094882986	0.0998558661693436	0	0.00263174080182449	0.0611681159128835	0	0.250542130944969	0.0328153232286258	0.085219421067959	0.0482984287623016	0	0.027738398025707	0	0	0	0.028	0.190059412337292	1.01443537281122
X2278	0.000506062672539309	0.00528312013558715	0	0.0135135176825414	0	0.192506579497218	0	0.0212376096790499	0.00680384366827792	0	0.0479840185428252	0	0.00948435695515714	0.054068048459065	0.0228936769899457	0.0610749569317824	0.00459441486043799	0	0.29214070598751	0.109921353147769	0.00774449383137584	0.150243240958917	0.003	0.406350747121294	0.920720452258668
X2389	0	0.0827052382358466	0.0390519960108659	0.196855008987908	0	0.12806667871849	0	0.0782179591846832	0.153600767538028	0	0.0533360476663818	0.0432959690955828	0	0.0899545541378635	0.0329406307788041	0.0580018074984641	0.0299187959785952	0	0	0.0120662541637064	0	0.0019882920047814	0.027	0.190859414272967	1.0227674845248
X2849	0	0.00664076227456399	0.0137362731435277	0.0682535420879951	0	0.0415988815911026	0.000692459588895216	0.0186398039278379	0.00805877151593011	0	0	0.0263285369586742	0	0.338811805236686	0.0187728605409324	0.0735262925877261	0	0	0	0.182561670339213	0.0766990781970853	0.125679262009831	0.004	0.387533921865699	0.939093770595294
X2937	0	0.198756064915579	0.0296777994430344	0.0143197551739417	0	0.223336452086876	0	0.0698855686247622	0.120499632796906	0	0.053983843215445	0.044709110294427	0	0.194945064882791	0.015348961064791	0.00506679484081647	0	0	0	0.0294709526606301	0	0	0.572	0.0116724720898674	1.09384541844241
X3529	0	0.0761827957973311	0	0.0462610019931914	0	0.367835239505141	0	0.0620970195967597	0.0246908825502596	0	0.0325005871463583	0	0	0.0376794159439312	0.0105045439105395	0	0.0126008295397021	0.00340466611343392	0.0514290685408583	0.219660462647739	0.0068561095524646	0.0482973771622908	0.036	0.177571722571221	1.03648216794538
X5037	0	0.118998088482762	0	0.0282476724442378	0	0.388306715797303	0	0.152955510177917	0.0763675907807526	0	0.0306985128766042	0.0677416159125667	0.0360415557574277	0.0598199862554836	0	0.0262469729153841	0	0	0.0145757785995616	0	0	0	0.497	0.0222317120430576	1.11765599511389
X5122	0	0	0.0471687733287209	0	0	0.448761420775921	0.0528735534630906	0.0335391394940941	0.0608483830278021	0	0.0834606364379475	0	0.0131944333760395	0.0801886038550168	0	0	0.0976974613599308	0	0	0.0822675948814371	0	0	0.665	0.000827906906642231	1.10181144099808
X5338	0.00108045628441426	0	0	0	0	0.384617650379167	0	0.0363782852888217	0	0	0	0.0499404128081987	0	0.26024063304588	0.00340728076827437	0.131576496711667	0.04081987036921	0	0.0561670875456331	0.0104914636293901	0	0.0252803631693436	0.088	0.120584165273553	1.05455893044182
