B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
SRR8281218	7.92254451100675e-05	0	0.000124819309807368	0.0723058077408545	0	0.0655503777063518	0	0.0119987443970107	0.0391333212518077	0	0	0.0287139473818111	0.153599174761674	0	0.0124893136312682	0.45383624227776	0	0	0.156368232454613	0	0	0.00580079364193236	0.052	0.149746504342686	1.03082141307636
SRR8281219	0.0292218907591113	0	0.00317452093110767	0.141650366249214	0	0.0740444081143094	0.0317641103723849	0	0	0	0.00578729072904835	0.000207667186776067	0.055944371680244	0.176681313247068	0.0482078137699313	0.347554753720158	0.00701295303444363	0	0	0.0413840218839251	0	0.0373645183222775	0.149	0.0864781937771022	1.0622438921933
SRR8281220	0.00216382953137392	0	0.00283502279873561	0	0	0.164484130794774	0	0.0100112862429889	0.0044562307241747	0	0	0.102404962752326	0.141452348826725	0	0.0293288465343571	0.353464272083071	0	0.00956352398117341	0	0.14504346757578	0.0244913728069683	0.0103007053475517	0.0669999999999999	0.138582440088457	1.04028926413814
SRR8281221	0.0338192076812322	0	0	0.0593174631150456	0	0.0254683018098018	0.00686134837383901	0.0101848484143508	0.00877628046683697	0.00224620721196646	0.0235966245133828	0	0.0264132857729913	0.168690082340192	0.0445836869035272	0.537128620049442	0	0	0.0272038034111119	0	0	0.0257102399362806	0.115	0.105912424953146	1.07742910912273
SRR8281222	0	0	0.00371675573792025	0	0	0.15723666070273	0	0.00423898238719888	0.00286056973613614	0	0.0192122338734612	0.0299018817211351	0.309801758737265	0	0.0188727675039784	0.361475224966626	0	0	0	0.0708830148995746	0.00264400615826367	0.019156143575711	0.052	0.149846160674268	1.0388711320894
SRR8281223	0	0	0	0.0159175523856817	0	0.00712133968974968	0	0.0489265981118569	0	0.00335331791077169	0.0261851224254004	0	0.0205962668752118	0.446823669985495	0.0607987655124425	0.192770038827196	0	0	0	0.130926356699446	0.0115954801099037	0.0349854914668439	0.002	0.496403957051333	0.872481971836931
SRR8281224	0.0118643786916479	0	0	0	0.0544080737223556	0.0962112443866482	0	0	0.00112893057985671	0	0	0.00431846177594981	0.107158088406477	0	0.035587927781515	0.552434792253652	0.00530926505693429	0	0.0909431313351621	0	0	0.0406357060098015	0.097	0.114549891704546	1.05795875460088
SRR8281225	0	0.00535322469379017	0	0	0.053730716662739	0	0	0.0252021201744895	0	0.0125319300716728	0	0.0745335046917369	0.135539759372104	0.0306096772332178	0.0113867820921467	0.475374316483466	0	0	0	0.152872537027546	0.00688192104995612	0.0159835104471345	0.189	0.0723955266871013	1.08618308981705
SRR8281226	0	0.00425150553540457	0	0	0	0.0907161033995051	0	0	0	0	0	0.0280243006112809	0.415688106657121	0	0.00241720030193947	0.346999511511742	0	0.000821879160939556	0.0673298615988438	0	0.0266298087902195	0.0171217224330036	0.11	0.107002824979772	1.0718216501893
SRR8281227	0.00131851910400595	0.00517587167024319	0	0.0518836450136381	0	0.109884678721336	0.00434738398965281	0.00424991312861862	0	0	0.0223278006663695	0	0.126643845738968	0	0.0696418853823406	0.50866468241981	0.00863182844003934	0	0.0854470161263726	0	0	0.0017829295986056	0.045	0.163111727624543	1.0298127529114
