B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
RCC_115	0.0513769216692572	0.0221038425239531	0.1346871544543	0.0306520246256793	0	0.0113221610560019	0	0.0346307871887471	0.00348368712177903	0.0228593598206955	0	0.0140979685753021	0.13198075266119	0.0615237332102265	0.0530383472649414	0.319169353137867	0.0358755168464312	0	0.0276174341201672	0	0	0.0455809557234624	0.002	0.311747092757079	0.959670267497048
RCC_90	0	0.0662662846395264	0.0179767727957988	0.0181812880328689	0	0	0.028233047282177	0.0508707384003853	0	0.0460251257562756	0	0.0314415773455975	0.00885731781369286	0	0.0295260907021699	0.445953504217967	0.0129111584998137	0	0.075474352978293	0	0.0508454909027812	0.117437250632653	0	0.460529822735779	0.886941229543253
RCC_41	0	0.0219982485136266	0.0256830244172403	0.322051984105445	0	0	0.0225718477179502	0	0	0.161568045192987	0	0.0182737024999774	0	0	0.0723507836345171	0.339314063631712	0.00959707410781316	0	0.00647269190765898	0	0	0.00011853427107173	0.004	0.285507708086053	0.97715697024001
RCC_73	0	0.0159374013424016	0.0143317673969248	0	0.0125708646184477	0.0223805217554749	0	0	0.0147500370133677	0	0.0414603456807294	0.0225460859003767	0.110828008628818	0.0280187597814436	0.0315677644057716	0.666245556566431	0.00411312124360951	0	0.015249765666204	0	0	0	0.003	0.295900173631557	0.988556013736126
RCC_105	0.00272302929414572	0.0215900019961114	0.0387003794404798	0.0875782590681029	0	0.0228381544844975	0	0	0.0135386815226974	0	0.00191007898093157	0.0189941555401002	0.148511792217143	0	0.00136972916871539	0.481468516951814	0	0	0.104304480071138	0	0	0.0564727412641237	0.00700000000000001	0.262228702677696	0.98641739393319
RCC_14	0.0270283083434404	0.0205739683450723	0.0258226018143177	0.10596460134302	0	0.080223802010087	0.0160487742608839	0	0.0156967690265915	0.0135689573463732	0	0.0810050887547499	0.233348327345567	0	0.030019599517864	0.165121680226237	0.00133567897202224	0.00970597884955053	0.023260535619732	0	0	0.151275328224492	0	0.43142139386436	0.902107818981673
RCC_93	0	0.0164540792018947	0.0396277667125601	0.0763003331105801	0	0.00152218483684026	0.0271408554494858	0.0393081965049302	0	0	0	0.012340653533349	0.0141742401888118	0	0.0435054427967697	0.625413076311886	0.00814316073861438	0	0.0636341255781463	0	0	0.0324358850361312	0	0.420280879146657	0.909897330462441
RCC_96	0	0.0507769204694363	0.0149632082675854	0.0718610559614268	0	0.0708601232320762	0.0016373690518402	0.0149405671255216	0.0113181962117498	0	0.0155905216851641	0	0	0.182014488588839	0.0282676526976079	0.510691867977875	0	0	0.0270780287308769	0	0	0	0.001	0.337885876790307	0.958071458082276
RCC_102	0	0.0588832470246177	0.0575187681392135	0.218717214575192	0	0.0203917809445096	0	0	0.0478018567718154	0	0	0.159044693398378	0.0588766206195651	0.0198740481380678	0.0452247415448304	0.275505079476267	0.00311518240899045	0	0.0330154703072323	0.00203129665132117	0	0	0.00700000000000001	0.269637745279653	0.977839033285046
RCC_117	0	0.00440609122846934	0.0811724441424102	0.293100282170419	0	0.0668694428760467	0	0.0499096520202902	0.0366825104216877	0.0039933782776478	0	0.0762113803083931	0.035966644502132	0	0.0544103329977268	0.277232845139193	0.00935839118263315	0	0	0.0106866047329509	0	0	0.014	0.231871472128067	0.996622768252231
RCC_106	0	0.0731105388591714	0.0435799556223611	0.0638785648398786	0	0.0181500564061512	0	0.00546284844581138	0	0	0.0385267881606211	0.00692519186601633	0.0555956678706876	0.0270113652570033	0.0487891859685325	0.46201927406129	0.00713066866300582	0	0.14981989397947	0	0	0	0.015	0.224839015076939	0.99769935807024
RCC_18	0.0146470938910403	0	0	0.0676503509205841	0	0.11386572298806	0	0	0	0	0.0293827331260213	0.0233070428209751	0.0574399869145574	0	0.02531138361154	0.477421700933828	0.00175704560861901	0	0.16723839617391	0	0	0.0219785430108641	0.069	0.142255143276763	1.03479678459514
RCC_21	0	0	0.0168079190865148	0.0172729670161339	0	0.0177948260453099	0.00407706858186423	0.0157951958946955	0	0.00081184836630476	0	0.0684255706536737	0.16717081310386	0	0.149540938285203	0.49991518890092	0	0	0.0214904250444204	0	0	0.0208972390210995	0	0.429648959156541	0.90730527996891
RCC_50	0.00279985482227365	0	0.0950662681463052	0.289828787669929	0	0	0	0.0461574913713339	0.0565476098994671	0.12922854533999	0	0.0568082470249779	0	0	0.059587722946194	0.243670773513542	0.000261949313351686	0	0.0166990400769025	0	0	0.00334370987573245	0.01	0.250314803530943	0.99431670822394
RCC_27	0.0052476107063011	0.000562254818566387	3.35103511483127e-05	0.0015338073224243	0	0.0226494652732144	0	0.0099251645729396	0.000757331505213509	0	0.0182850942248002	0.00352833881125288	0.0504791239490898	0.160445493644491	0.0337847384408746	0.655903272312894	0	0	0.014809161893637	0	0	0.0220556321731529	0	0.640460370731521	0.768598187079777
RCC_99	0	0.0852989251968597	0.0262840235954109	0.0157306600201095	0	0	0.105906530980633	0.00577272897662854	0	0.0563926716545912	0.0292766719753114	0.0452008973445685	0.157941871896611	0.0155002101869718	0.0483382087577881	0.248860323220816	0	0	0	0.00978885813516647	0.0133994127003331	0.136308005358201	0.00600000000000001	0.27295344034188	0.976768605546176
