B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-OR-A5LC-01	0.144494663872645	0	0.0921161811626003	0	0	0.0135882928086193	0	0.0513468620598473	0.0211248127933859	0	0.00663370026135917	0.0117092541687035	0	0.166864240506676	0.0390798646439394	0.443976492106795	0	0	0.00906563561542977	0	0	0	0.492	0.0145030060501996	1.11088194822633
TCGA-OR-A5JJ-01	0.106908669035578	0	0.133725664322735	0.236363787762432	0	0.0200646266079245	0	0.152413791553805	0.00821324212230976	0	0	0.0375346997065791	0.0149162642550906	0.0150281258499846	0.0112542986105556	0.188851442110611	0	0.0525238616765885	0.0222015263858068	0	0	0	0.705	-0.00938499208641229	1.08367532580449
TCGA-OR-A5K3-01	0.0206747893331528	0	0.000447962367313002	0.100250200297836	0	0.237760805483385	0	0.00902227109147561	0.0371631990097199	0	0.096438335582179	0	0.0711518786975048	0.0258825362441016	0	0.284378433877331	0	0	0.108377510164065	0	0.00845207785193691	0	0.478	0.016462683642711	1.08457027058352
TCGA-PK-A5HA-01	0.00496406276776172	0	0	0.100417628742707	0	0.161019540915547	0.0062438279761098	0.00790033780438554	0.0143270151851678	0	0.0128881377386002	0	0.041431831779142	0	0	0.543349975035063	0	0.0376809758300162	0.0695239466740643	0	0.000252719551434523	0	0.036	0.173715994656989	1.03408836322205
TCGA-OR-A5LN-01	0.0058628034184716	0	0	0.166572262036824	0	0.171374970318733	0	0.0713251249152527	0.0116794702977857	0	0.0553064774757136	0	0.0509983687467849	0	0.0442519869382863	0.393258921953925	0	0.00851485803401501	0.0208547558642081	0	0	0	0.409	0.024615180138902	1.09248159657017
TCGA-OR-A5JA-01	0	0	0	0	0	0.461128329584076	0	0	0	0	0	0.0077437401735566	0.0532530074330913	0.114788818624048	0	0.239528543078447	0	0.0599281549119515	0.0636294061948299	0	0	0	0.419	0.0228133605959556	1.09026879395193
TCGA-OR-A5K0-01	0.152431585392057	0	0.0377448408782197	0.0253110359514575	0	0.102062209604781	0	0.161446474697934	0.0292250447725004	0	0.00673947175428652	0.0594737205998465	0.0327777164911178	0	0	0.110662273902718	0	0.26313486983709	0.0178311483985663	0	0.00115960771942339	0	0.374	0.030520248752508	1.08474282573003
TCGA-OR-A5JY-01	0.0622228719253584	0	0	0	0	0.239513371164898	0	0.0434219072447054	0.0493495719439091	0	0.038038864155805	0.0130108297252092	0.0260950873249358	0	0	0.211721063611081	0	0.286836882070667	0.0274202353402502	0	0	0.00236931549318017	0.451	0.0197208260378971	1.09646983000865
TCGA-OR-A5J9-01	0.115779661615446	0	0	0.0521306891951653	0	0.227190936719793	0	0.040885611487786	0.0123249473542011	0	0.0309700115046634	0	0.26924781933134	0.0199336236509767	0.000126234759814921	0.158378655390776	0	0	0.0455426747517152	0	0.027489134238323	0	0.597	0.00267042859161115	1.08803632270212
TCGA-OR-A5K4-01	0.0284304050290226	0	0.142137677108511	0.0929880825582956	0.0309323904028262	0.218660010749693	0	0	0	0	0.0678087327318171	0.031250274845486	0.0582468940572286	0	0.0108401228059613	0.182188553072942	0	0.0898560153636027	0.0466608412746147	0	0	0	0.665	-0.00464911540243257	1.07592584419104
TCGA-OR-A5L9-01	0.0992301672209353	0	0.00174365158008578	0.148653431248638	0	0.176199040927268	0	0.0130460694629142	0.0534015412814765	0	0	0	0.0549809896537592	0	0.026237088684456	0.337297752524959	0	0	0.0892102674155074	0	0	0	0.267	0.0498689866351037	1.06711915611095
TCGA-OR-A5KV-01	0.253242330616439	0	0.298427259538006	0.0361231278619498	0	0.0691883457086969	0	0.0917544880266247	0	0	0	0.0284446085450401	0.0296346841189586	0.0296447679566915	0	0.153440041156856	0	0.0101003464707372	0	0	0	0	0.588	0.00332784938021482	1.06806137813224
TCGA-OR-A5KY-01	0.0187717596973134	0	0.0516493577829622	0	0	0.519402978873915	0	0.0100636149720593	0.00599239975781596	0	0.0570226427100404	0	0.113789975014111	0	0	0.196659879503127	0	0.00525154137427421	0.0010405311468946	0	0.0203553191674868	0	0.545	0.00843554635466664	1.0995389208466
TCGA-OR-A5K9-01	0.0886539172828569	0	0.180869734877497	0	0	0.238093972956639	0	0	0	0	0.0160099942342692	0.0208682439489068	0.015987467584691	0	0	0.210410959052119	0.0198117850220731	0.181972016448603	0.0273219085923456	0	0	0	0.578	0.0052957169725083	1.0675557560269
TCGA-OR-A5J2-01	0.0283164051421354	0	0.0905560233801218	0	0	0.139991322988153	0	0.0754212611240793	0.0593578261623912	0	0	0.0201041768867855	0.0176556611764352	0.172115957486841	0	0.238680707263476	0	0.0853829909842872	0.072417667405295	0	0	0	0.392	0.026505789424801	1.07140127064909
TCGA-OR-A5JD-01	0.0476517901646962	0	0	0.0958938208783337	0	0.127901814135144	0	0.0602429668696949	0	0	0	0.061499507779927	0.0921439984901961	0	0.00616760408309705	0.403941702929505	0	0.0204141218200763	0	0.0841426728493303	0	0	0.624	7.90065680510483e-05	1.10127358483791
TCGA-OR-A5JX-01	0.15636442569847	0	0.0341888065143049	0.0724023795378008	0	0.0340951634357998	0	0.020841202812342	0.113444031887292	0	0.0166118574985638	0	0.103034587751739	0	0	0.280323192110202	0	0.03511493102718	0.133579421726305	0	0	0	0.704	-0.00911738481272802	1.07731504074625
TCGA-OR-A5KZ-01	0.00524448396310824	0	0.0969982535332953	0	0	0.137233614484089	0	0.0153556485415959	0.0660984365596314	0	0.0780782737637487	0.00832810189397766	0.0071589118668814	0.445447809231612	0	0.0821096862950755	0	0.011230284487758	0.0387989401287083	0	0.00791755525051859	0	0.005	0.304676182120778	0.978832731165754
TCGA-OR-A5LB-01	0.139522250452936	0	0	0.0592681362722067	0	0.286019696072647	0	0.019206767851675	0.012547434675168	0	0	0	0.0561350344012716	0.00156645094519887	0.0154740901698892	0.32955932782889	0	0.00691087245088874	0.0702025369066989	0	0.00358740197253016	0	0.771	-0.0150040883043051	1.09390534731145
TCGA-OR-A5JR-01	0.00276017875926017	0.00540992731398267	0.00617097403095002	0.218231225063854	0	0.256750753611587	0	0.0115016675603815	0.0024172667848218	0	0.0797726051948261	0	0.0532529523924766	0	0	0.201879553054064	0	0.0226639171070384	0.137295651455409	0	0.00189332767134895	0	0.696	-0.00829380294629079	1.10679444496167
TCGA-OR-A5J6-01	0.00587305332241146	0	0.00448752119178893	0.0469843304927554	0	0.138151387065976	0	0.0122800510572372	0.00669480909202627	0	0.0262683689705498	0.0191175726116741	0.0534860502731619	0	0	0.542113524534971	0	0.00643514708196052	0.138108184305487	0	0	0	0.387	0.0281877122627863	1.10145802072127
TCGA-OR-A5J1-01	0.00286553228955828	0.00217501679771665	0.00962033928974242	0.101915897568619	0	0.319143539574522	0	0.044388804429879	0.0742100389492973	0	0.00196529119031404	0.0187230560780997	0.132313718781173	0	0	0.187513022477064	0	0	0.0963833203299286	0	0.00878242224408622	0	0.57	0.00640536573928304	1.09295856023682
TCGA-OR-A5LD-01	0.150128784518701	0	0.154913937199907	0.000967375661703955	0	0	0	0.120332239605152	0	0	0.0395273604084336	0.048877738621807	0.13953994676187	0.103065307419906	0	0.091097562403897	0	0.110274641968709	0.0412751054299137	0	0	0	0.726	-0.0109763883761257	1.06758662638774
TCGA-OR-A5JK-01	0.0369473201978285	0	0.0441663501016446	0.365096117998326	0	0.00609153566543084	0	0.11602794668101	0.0639905882477492	0	0.00354466993539264	0	0.0565852721428855	0	0.04509361570007	0.26114998507916	0	0	0	0.00130659825050309	0	0	0.315	0.0428433644289426	1.08715633749587
TCGA-OR-A5LH-01	0.160113650717436	0	0.0592648951083824	0.0725124928848089	0	0.0759959107911025	0	0.0453470180604583	0	0	0	0.0311494545379153	0.0642282082064261	0	0.000680329345928682	0.407761111264955	0	0.0400941164625803	0	0.0428528126200058	0	0	0.779	-0.0157693478324035	1.09505036050107
TCGA-PK-A5H8-01	0.0358544722733255	0	0.00633451957819957	0.0185062092660008	0	0.287526079558827	0	0.0217409864023506	0	0	0	0.0815971748588075	0.0776740925932577	0	0	0.429093439612854	0	0.0119919496328346	0	0.0235248327003785	0.00279923378416721	0.00335700973899735	0.469	0.0179166104769019	1.09833830186394
TCGA-OR-A5JG-01	0.00901974167957167	0	0.0660232472785532	0.0415036057984255	0	0.300096210196221	0	0	0	0	0	0.0292807311157744	0.0182162273549868	0.00493373016460998	0.0115422386091016	0.446641029441659	0	0.0606911551204193	0.0120520832406776	0	0	0	0.42	0.0227451450442598	1.08917274405256
TCGA-OR-A5LS-01	0.067993032407937	0	0.083268345774739	0	0.198571000252551	0.0977952506122833	0	0	0	0	0.0243643949526131	0.0207485515142245	0.0262268646201111	0	0	0.330151500909841	0	0.115210705288386	0.0356703536673144	0	0	0	0.707	-0.00954824737346342	1.08391381417615
TCGA-OR-A5L8-01	0.115572378481356	0	0.0935512578969964	0	0.191400659800985	0.0869719638315193	0	0	0	0	0.0376716137562987	0.0185617000925927	0.0381975962312898	0	0.0241615086088431	0.365831785909223	0	0.0280795353908965	0	0	0	0	0.867	-0.0235776462039057	1.09250261171901
TCGA-OR-A5LJ-01	0.093899879393943	0	0.0338099079831297	0.154345617639686	0	0	0	0.19236733059231	0	0	0	0.0199333726598931	0.0161284059843597	0	0	0.243834485348875	0	0.222783805751199	0.0228971946466044	0	0	0	0.546	0.00823079906182003	1.08822259483982
TCGA-OR-A5KT-01	0.0216483676464783	0.00446256201111027	0.0171537093538169	0.0546793938932573	0	0.149879006643595	0	0.0475978039377122	0.0411274086153926	0	0.082886421089407	0.0102460249994838	0.113613060562996	0.0368245997372879	0.0048304183847313	0.357954801652434	0	0	0.0570964214722967	0	0	0	0.093	0.10443152803138	1.04811574456821
TCGA-OR-A5JC-01	0.0530758856190294	0	0	0.153990316321674	0	0.46258097457753	0	0.0161798253651766	0	0	0	0.00205607893493652	0.137932208477785	0	0.0412306571678224	0.109237376960045	0.00133457045857023	0	0.0223821061174316	0	0	0	0.388	0.0275346591248709	1.10722475777847
TCGA-OR-A5JI-01	0	0.0195258899494247	0	0.0103472027623274	0	0.264042779720043	0	0.0382349661095174	0.0863219485907763	0	0.0157589164727448	0.0173219635544156	0.0568199544784086	0	0.0466512727151107	0.270312420513123	0.00424618923731236	0	0.170416495896796	0	0	0	0.635	-0.00142831071670291	1.0845709186569
TCGA-OR-A5LP-01	0.0541750339430491	0	0.0443012419552562	0.0531943582128148	0	0.178095692156519	0	0.00541154969317873	0.00660986585166153	0	0.0414823070584242	0	0.0171540420247181	0	0.0696821739613232	0.380414526829971	0	0.0040527608544623	0.145426447458622	0	0	0	0.569	0.00658416209483422	1.08183316325784
