B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-BT-A20R-11	0.000507649900623467	0.00435248258162682	0	0	0	0.370871418331833	0	0.0256633711005164	0	0	0	0.0966290715876463	0.0368634845560415	0	0.00773747118173511	0.026701224137533	7.10983025027879e-05	0.00745876951580974	0.33454018029792	0.0749507554754385	0	0.0136530230307738	0.121	0.107232593304815	1.0908811948366
TCGA-DK-AA6S-01	0	0	0	0.0649112152265382	0	0.116108957270702	0.0610034818344979	0.153693820956393	0.0558849381631101	0	0.0201514239107787	0.00391567679446037	0	0.091982955329859	0.141294178999098	0.242059260006889	0	0.0020939536772211	0.0469001378304515	0	0	0	0.037	0.184650936479616	1.02073922160141
TCGA-DK-A6B2-01	0.0642534851787386	0	0.0586564003276143	0.066539106446065	0	0.132335593704401	0.000364522574934211	0.0459834305055568	0.0555290113274634	0	0.0546288806617827	0	0.00357795804809734	0.0494338971090687	0.137224870177995	0.246053089818454	0.0066163813825745	0.0351708855472372	0.037413025923206	0	0	0.00621946126681139	0.017	0.227352108209746	0.995933527410184
TCGA-GU-A763-01	0	0	0.137840344365969	0.120961385553114	0	0.112716339154562	0	0.250675576480653	0	0	0.00389928731608141	0.0531051752573304	0.00184291056391515	0	0	0.200961573287828	0.0671127026697177	0.0429790804628012	0.00790562488802838	0	0	0	0.314	0.055460591757589	1.0644315933609
TCGA-XF-A9T4-01	0	0	0.0727707651489838	0.0035016303075076	0	0.205543077697635	0	0.122087620828328	0	0	0.0181817682028462	0.0743214901361525	0.020190869482715	0.187778827575314	0.124604031297983	0.0968736726547852	0	0.0288162295055608	0.0364952607618046	0	0	0.00883475640038421	0.095	0.123632598708645	1.04647984344003
TCGA-FD-A5C1-01	0	0.00954534848661135	0.0334852898147024	0.0488752931026851	0	0.0997399204069986	0.00786125549971552	0.180481109333855	0.0074552920703305	0	0.0197475257954185	0	0	0.162226017363696	0.0971720932402415	0.216976839329573	0.000787476570870421	0.11224265006063	0	0.00015236913622196	0	0.00325151978845008	0.00600000000000001	0.311396768014738	0.963519718518953
TCGA-GU-A42Q-01	0	0	0.304277180557314	0.013595626358719	0	0.0375293702026004	0	0.0553138212468022	0.025738317629834	0	0.053108080873124	0.0150475798570315	0	0.389259111442822	0.0278906359731472	0.0706882319788147	0	0	0.00755204387979165	0	0	0	0.147	0.0988834704445815	1.06202366468723
TCGA-DK-A3IL-01	0.263300153829932	0.155411865932058	0	0.024759771742731	0	0.00897102208160927	0	0.201313450571699	0.02484220060544	0	0.0439567079954795	0.00829029275321527	0.0289668239992498	0.0325357746530359	0.0205041863705264	0.0731345031132622	0	0.0730703112253174	0	0.040048290694778	0.000894644431666381	0	0.412	0.039961509313964	1.08655632789315
TCGA-XF-AAMH-01	0.106387273386337	0	0.0770301738195124	0.0821682113008889	0.0434794836672378	0	0.0414288121246342	0.0479884011210699	0.0333644681888832	0	0.0897397156182969	0	0	0.206373755474064	0	0.255983176030155	0	0.0143726782776045	0.00102531391726635	0.000658537074049997	0	0	0.619	0.0130460888696058	1.08692902765342
TCGA-FT-A61P-01	0	0.00363196121124388	0.00869732948322738	0.0553920004525772	0	0.101386552788436	0	0.131512907487761	0.00831605695575773	0	0.0488922719842884	0.0158971552096773	0.0195383341598054	0.13329902579299	0.139228320724417	0.250955353572459	0	0.0139502880532967	0.0693024421240623	0	0	0	0.012	0.255083569278519	0.989232555028856
