B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-AR-A5QQ-01	0.0518400154737057	0.0117841054323097	0	0.00986487428238788	0	0.118373928790037	0	0.114783095192922	0.0562994060880782	0	0.0136578337215957	0.0173960621749411	0	0.245737473204681	0.0912855929557742	0.261401757356747	0.0018419514599759	0	0.00573390386684424	0	0	0	0	0.440891008359059	0.8982299900877
TCGA-D8-A1JA-01	0.0840916658456861	0	0.0746130936299983	0	0	0.167681911995971	0	0.0365646618084828	0	0	0.0166549770377327	0.00190059728705059	0	0	0.0698372445757251	0.229684810111783	0	0.22123315991907	0.0237984593506205	0	0	0.0739394184378806	0.316	0.0569101996092416	1.07444039723756
TCGA-BH-A0BQ-01	0.0766131775163916	0	0.0670465546961906	0.0566992131786043	0	0.191921184752085	0	0.0322593508822375	0.0391658268481964	0	0.0205592275151051	0	0	0.188509613662552	0.0643887890874257	0.192049369302514	0	0.00443511680772404	0.0663525757509734	0	0	0	0.027	0.175565924230319	1.01384037550923
TCGA-BH-A0BT-01	0.0880480133360948	0	0.0226480244632425	0.0778550567342172	0	0.136226579350036	0	0.131119179504771	0.0551417185382213	0	0	0.0288531812906635	0.00148406377102377	0.0917378290942653	0.074841335511114	0.183821330912667	0.0152661042932878	0.0194978473257857	0.0734597358746104	0	0	0	0.152	0.0931746038353231	1.04611906285731
TCGA-A8-A06X-01	0.0418297045599885	0	0.0463755422182526	0.0654773356248538	0	0.0592085569671883	0	0.098389862107107	0.043425786322901	0	0	0.0310698402952619	0	0.290402456921659	0.062767713304515	0.243857898176821	0	0	0.0171953035014512	0	0	0	0.014	0.225596353174024	1.00917863691928
TCGA-A8-A096-01	0.00358554248312758	0	0.00204758878154773	0.0696270757298886	0	0.231671122627361	0	0.0623399285470595	0.0378618196093475	0	0	0.0235622599354016	0.0187569316653104	0.0622860287991057	0.0783719880199101	0.258738380219883	0.0263572531335168	0	0.124794080448541	0	0	0	0.014	0.228535744090845	0.993435350273588
TCGA-BH-A0C7-01	0.117006593632034	0	0.039529967111229	0.0135325556914918	0	0.228592830824817	0.00170274944812043	0.0425114652968038	0	0	0.0221925178844651	0	0	0.120542765160145	0.0805796057974119	0.211913892324162	0	0.0110541729665677	0.110840883862752	0	0	0	0.813	-0.00705251465763074	1.08282204204334
TCGA-AC-A5XU-01	0.0225664738181351	0	0.0931809280814325	0.0530128626525065	0	0.0849839507910893	0	0.056729593895516	0.0300423179584485	0	0.0117886869309251	0.0135746355838228	0	0.311607109406379	0.045736524117291	0.195620358344687	0	0	0.081156558419767	0	0	0	0.002	0.3436035303358	0.947380000582964
TCGA-PE-A5DE-01	0.0734588521505688	0	0.0253115737841304	0.21511941662451	0	0.0968249873307692	0	0.164712450039983	0.0427421184108771	0	0.00401946540348674	0.0146615977450657	0.0242210491528526	0.0912479666950879	0.14645087835778	0.0564107527354101	0.00861172403241958	0	0.0362071675370588	0	0	0	0.001	0.382039999070357	0.92926551561095
TCGA-PE-A5DC-01	0.0885804466791807	0	0.00279574446788676	0.0574673334198309	0	0.219857474321907	0	0.0317331817138235	0.0305564836395231	0	0.0266229445943728	0	0	0.256297116107337	0.0763036539679037	0.131596314121897	0	0	0.0781893069663377	0	0	0	0.153	0.0928409991733733	1.05933088820525
