B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-EA-A3HT-01	0	0	0.0359610383255293	0	0	0.167375553293325	0.0157324233044377	0.104011618191332	0.0543359089871771	0	0.0461441693528891	0	0.00582752205215803	0.101273654208325	0.13584575833933	0.165353199857085	0.0717480666374518	0.0745066186314886	0.0043374100868961	0.0127972296649466	0	0.00474982906762911	0.086	0.127017226102531	1.04548837481832
TCGA-FU-A3HZ-01	0.0288378951639072	0	0.090366984169491	0.286319900961788	0	0	0.0418402537877814	0.113453406945562	0	0	0.0805382414433971	0.0285531071484407	0.0158999818858333	0.124773119054439	0.0675611087633078	0.101922946754581	0.0143893205160102	0	0.00554373340546062	0	0	0	0.241	0.0748185327673629	1.06997327513991
TCGA-FU-A3TQ-01	0	0.0676319713679411	0.00165644401312873	0.0532610617414918	0	0.174732276327265	0	0.0437867272696754	0.0718086988020127	0	0.0425245881810483	0	0.0030223097351572	0.166026887798861	0.0627556866025396	0.173309221320631	0.0312808812430586	0.0518072928739296	0	0.0556924565752466	0	0.000703496148012991	0.078	0.132405874462737	1.03730965336898
TCGA-DS-A0VK-01	0	0.0037889950612077	0.0341839468897016	0.136563910188767	0	0.0678602898129751	0.0341205859368211	0.0694866179299559	0.0111004855751543	0	0.0224344911596355	0	0.00589014068179592	0.122245786699975	0.151830145707282	0.249662709335609	0.0346578974424434	0.00634938469772113	0.0498246128809556	0	0	0	0.148	0.0982215696820496	1.0602903861111
TCGA-UC-A7PG-01	0	0.0157928714641975	0.0201301189258431	0	0.0624752538290487	0.159556308506826	0	0.194830892455706	0.0775028236541968	0	0.0739961665055668	0	0.0276874188643606	0.219072053942068	0.0334992273382599	0.0265663629780268	0	0.0387295588040463	0.0460473625309664	0	0.00411358020088749	0	0.33	0.0564095354185245	1.07538620861069
TCGA-C5-A7UE-01	0.0415378894033742	0.0201681642805018	0.24716136807097	0	0	0	0.00279824341852436	0.237637077208344	0.0918702234362768	0	0.0143183126775932	0	0.0105563526748475	0.0744390206610024	0	0	0	0.184529816852881	0.00248843532717358	0.0658155572002155	0	0.00667953878829567	0.0669999999999999	0.142698263759625	1.01955460886341
TCGA-C5-A1MJ-01	0.000603030004160227	0.00127482119581414	0.00439127464628339	0	0	0.114051883815889	0	0.0674955407490187	0.0389137315591546	0	0.0417770301840849	0.0108946629315374	0	0.435830950493386	0.0831109968020318	0.151099135507312	0.0278069283015381	0	0.0227500138097893	0	0	0	0.015	0.229448232022499	1.03111024913798
TCGA-UC-A7PI-01	0.0719048343544021	0	0.120326470438336	0.0380797288358961	0	0.257086522783343	0	0.0890952247818067	0.0763445989570856	0	0.00273068613298843	0.0354476603218037	0.0148715292643835	0.109396986595868	0.0650721345473033	0.117581919192083	0	0.00206170379470142	0	0	0	0	0.72	0.0046802894191047	1.08298135525029
TCGA-C5-A1MF-01	0	0.0717531644025822	0.0733765974292401	0.150505174922391	0	0.0554780959431469	0	0.127516657335917	0.103444023486778	0	0.0427419955591873	0.0668912640098826	0.0212648022868598	0.102736486914913	0.0251429648336721	0.0786348398710402	0	0.0292811886902364	0.0489515000682063	0	0	0.00228124424594712	0.031	0.187934056787544	1.01228489260401
TCGA-EA-A5ZF-01	0.00132027771547187	0	0.0611071749346334	0	0	0.243636711400154	0	0.13052802365777	0.0457269555435406	0	0.0340763606776926	0.0447752519049422	0.0292541538097438	0.263879467607268	0.0116310384339659	0.0255678664421803	0	0.051237777407566	0.0570918117035498	0	0.000167128761520996	0	0.775	-0.00314147053543354	1.09738008698556
TCGA-EK-A3GJ-01	0.0123695765599466	0	0.0121806944408915	0.102955646062493	0	0.0490201716657784	0.0974504127290014	0.100793141678815	0	0	0.0883038339904614	0.0339385259797829	0.0201952232651364	0.0477943249139786	0.214727224307725	0.145267547087577	0.0168196691895061	0.00264535959073377	0.0555386485381731	0	0	0	0.004	0.355908670458495	0.948142119106008
TCGA-JW-A5VG-01	0.000979424904068607	0	0.0262799163491368	0.0896569118449216	0	0.135610098499595	0	0.0414667926821506	0.0285792986134496	0	0.102042550486312	0.0994841252858134	0.0034442230273164	0.070371087466222	0.136205620233648	0.1653311840232	0	0	0.100548766584166	0	0	0	0.00800000000000001	0.282870286416565	0.983525399518603
TCGA-C5-A1MH-01	0.00619118997597747	0.018970175593766	0	0.0702163521796298	0	0.0825489830163221	0	0.12445942122372	0.069385690675166	0	0.0160763333718378	0.0122836269239753	0	0.236049046747384	0.198008043648588	0.154265137912301	0.00468854935264641	0	0.00685744937868605	0	0	0	0.002	0.410421777598582	0.919728142548497
TCGA-LP-A5U2-01	0.0347776690823877	0	0.0240554544015539	0.250623563863324	0	0	0.0412047645085232	0.176461250845163	0.0487163185688611	0	0	0.0512287491878799	0.0116044116270557	0	0.109038469166117	0.109825143225588	0.0269526251539662	0.0805908640041957	0.0349207163653848	0	0	0	0.095	0.12129613438181	1.05602177322818
TCGA-EK-A2PI-01	0.0674453167193495	0	0.111128928860921	0.00890599809840744	0	0	0	0.169065818822387	0.0493082561771984	0	0.00739765110403562	0.0918164310566489	0.00501367505718935	0.0709889104372589	0.00736748733857645	0.193780719825844	0.0138617250624141	0.11168214222095	0.0922369392188191	0	0	0	0.599	0.0184456583593161	1.06391479538419
TCGA-MA-AA41-01	0.0235032173700192	0	0.0054797956450102	0.0962523477041208	0	0	0	0.084098082876544	0.0774931880695291	0	0.0325161876235436	0.0139524882059305	0.0130086384474911	0.280146138740826	0.299539280633843	0.00622951280352042	0.0373196652054608	0	0.0304614566741608	0	0	0	0.005	0.334947419736779	0.987653502638406
TCGA-EA-A439-01	0.13313603123533	0	0.068027219921192	0.0619520478418498	0	0.0216275219641081	0.00211895576179764	0.0894572361437766	0.0558378437950099	0	0.0733921874713576	0.0176893221966482	0.00355399609531322	0.0760923789816322	0.211364558938283	0.0675689080024425	0	0.0509540641304993	0.0672277275207604	0	0	0	0.053	0.157267180825666	1.04604631927957
TCGA-ZJ-A8QO-01	0	0.0157982002350994	0.0260199134490182	0.113812764280877	0	0.127760258721766	0	0.0838813014651259	0.132225169004525	0	0.0163359409306333	0	0	0.329664599012171	0.129336368347106	0	0	0.0088286654540284	0.0163368190996491	0	0	0	0.015	0.228964956077825	1.01402315968328
TCGA-FU-A3EO-01	0.00278859274369919	0	0	0.124249301874526	0	0.131763165835752	0	0.0504805060743599	0.106980437179983	0	0	0.0645434085855887	0.100288881641685	0.00231754544541831	0	0.238492458442517	0.0288576329320219	0.0969606455798599	0.0496470052672378	0	0	0.00263041839735185	0.146	0.098791953632508	1.04836656482929
TCGA-JX-A3Q0-01	0.0363874974043042	0	0.00904341338292281	0.0922673162563083	0	0.20070524054386	0.0150204297765328	0.121969040375072	0.0203818465626185	0	0.0474773394430587	0	0.0019415889722528	0.0762342521134834	0.174131450311951	0.111626790880719	0	0.0631825482912237	0.0266914909282541	0	0	0.00293975475743884	0.151	0.0952796061559457	1.076122481012
TCGA-4J-AA1J-01	0.000481000963370486	0.000653928405138068	0.00277923113000039	0	0	0.227521634099745	0	0.0980800264954602	0.0753690631084188	0	0.00248071635457747	0.0725699230310538	0.00185357209576799	0.249469768484457	0	0.103400899095271	0	0.0822142335523839	0	0.0302636260603161	0	0.0528623771240397	0.268	0.0673098073739927	1.07999653957705
TCGA-JW-A5VL-01	0	0	0.0212924690933442	0.159791891298222	0	0.0419194316479417	0.00233662852302539	0.111956070773942	0.0398751933018027	0	0.0897735531427678	0.0286919622293589	0.00558399907189241	0.0437965568567241	0.201046485159108	0.205236763660363	0.0105698360183779	0	0.0381291592231289	0	0	0	0.005	0.326214213499451	0.965221141440347
TCGA-C5-A2LS-01	0.0784716567033123	0	0.099787108690106	0.0613280116324238	0	0.108304189125779	0	0.222459975865178	0.0420733837910033	0	0.0117094679532239	0.0993221951470209	0.0326378297295067	0.0501369299135984	0.00786643841083687	0	0	0.176171768119971	0.0097310449180401	0	0	0	0.304	0.0609886931335259	1.07503226020611
TCGA-C5-A7UI-01	0	0	0.0847770675127925	0.170061924190895	0	0	0	0.16557646594377	0.0833181628013341	0	0.10627778604296	0	0.00917478753884478	0.0525822514757165	0.0622027276516761	0.0983391918633411	0	0.156509800770369	0.0111798342082998	0	0	0	0.002	0.415609982413644	0.910041392639795
TCGA-VS-A9UU-01	0.0687075726002603	0	0.127613414936563	0.105099807845582	0	0.117185259708483	0	0.157625978866416	0	0	0.0255756098623299	0.0428903472156529	0.00209110349971139	0.123366870303708	0.0721228013459188	0.03814444636455	0	0.0678195269758885	0.0278976220804826	0	0	0.0238596383944536	0.194	0.0835359462354418	1.05018346589289
TCGA-VS-A9V4-01	0.0134687032583906	0	0	0.0211685515079611	0	0.147671624517698	0.113088767008621	0	0.0253589771046705	0	0.118558597416072	0	0.0124353139704742	0.205678769800051	0	0.0334781193966471	0	0	0	0.227137280029041	0	0.0819552959903744	0.606	0.017344100537849	1.12044030888975
TCGA-LP-A5U3-01	0.0295583844622583	0	0	0.123010381751694	0	0.0921862165940656	0	0.127627350839524	0.0445221679028788	0	0.009174073679329	0.0737677796085931	0.00714492429829137	0.0686124266340834	0.180223758815584	0.0839243486691892	0.059607233043483	0.0281698955399495	0.0662378801961002	0	0	0.0062331779649761	0.031	0.18568285373165	1.03056414671721
