B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-4G-AAZT-01	0.00605042189716195	0.00779028731042756	0	0.206027660613785	0	0.194547613609464	0	0.0104630248602121	0.0718489726984002	0	0	0.0516083813426252	0.0532090805918097	0	0.02205276256576	0.345262388782959	0.00801608946192471	0	0.0231233162654702	0	0	0	0.358	0.0421022735040989	1.08823285666856
TCGA-W5-AA2R-11	0.0273237381639382	0	0.0609584484405218	0.0925595720277995	0	0.225936505793662	0	0.00959460090747672	0.000811405640956155	0	0.12738889844752	0	0.067371515596415	0.14388892926377	0.0452896026902383	0.0757403983663284	0	0	0.080277482128519	0	0	0.0428589025328548	0.42	0.0350117079879403	1.07260611389113
TCGA-W5-AA36-01	0.0157487160588485	0	0	0.0575113990637631	0	0.146263206462918	0	0.0117642178060964	0.0874684918701742	0	0	0.0775152701997348	0.00937342203685064	0.208289971697047	0.0306111269033318	0.307737564206636	0.000834237837619713	0	0.045121593538882	0	0	0.00176078231809751	0.492	0.0262492224466299	1.09968433743472
TCGA-W5-AA2U-01	0.116516755120628	0	0.0220937530809123	0	0	0.323043919163595	0	0.100630504268888	0	0	0.0263087460021475	0.00747632598200065	0.0208705412226178	0.105094433400641	0.151372988052417	0.113266587658535	0.00352549822603953	0.00979994782157803	0	0	0	0	0.249	0.0631046669676215	1.07907492920332
TCGA-ZU-A8S4-11	0.0946325172768144	0	0.00731134623217718	0.0681568656392715	0	0.155785479821298	0	0.00120830028500108	0	0	0.0622491482766324	0.00289508251467283	0.0503889987162867	0.0198492539621721	0.0412332004591278	0.407149926740859	0	0	0.065003764123563	0	0	0.0241361159521238	0.494	0.0259770350926794	1.08119769724347
TCGA-W5-AA30-11	0	0.0317903243241768	0.0183482208220137	0	0	0.312925317704969	0	0.0269281900622745	0.0035152745962283	0.0543864042551136	0	0.0445272944548821	0.109171895294881	0.0455110316844462	0.0864343862920697	0.126933103193198	0.00698642509372285	0	0.127634762431864	0	0.00490736979016042	0	0.568	0.0160220418561205	1.07791343542797
TCGA-W5-AA2T-01	0.0147095530909394	0	0	0	0	0.279940458616201	0	0.0126670750123237	0.1235914937967	0	0	0.196458397022094	0.0504967296450534	0.225419452546758	0.00267218223372836	0.0280903257787214	0.00651529962108368	0	0.059439032636397	0	0	0	0.648	0.00682964177691912	1.12657643124248
TCGA-W5-AA2I-01	0.0626500481633407	0	0	0.140509446100735	0	0.13986197526883	0	0.0203039027489275	0.121267925054489	0	0	0.197004078055635	0.013044916060646	0.0775051552695813	0.00514890295477981	0.135549385665697	0	0	0.0871542646573381	0	0	0	0.835	-0.01452514387395	1.13597914124131
TCGA-W5-AA2H-01	0.10974877199267	0.391128158930776	0	0.131994779290544	0.0421451902771609	0.0135244520414068	0	0.0262562542413327	0.111050065700577	0	0.0225910097689799	0	0	0.079741424406544	0.028058562106869	0.0368784023479517	0	0	0	0.00688292889518799	0	0	0	0.687703521989472	0.746832496129243
TCGA-3X-AAVA-01	0.0571362137134673	0.0980975731146102	0	0.136138717017954	0	0.17812893948307	0	0.118990158859843	0.000447666246493546	0	0	0.0554937511717135	0.00956224417158828	0.0302538826615259	0.0321003544599587	0.250728349224864	0	0.00217602106253962	0.030746128812371	0	0	0	0.2	0.0766033082640652	1.06275924795355
TCGA-W5-AA2Q-11	0.00679164011121592	0	0	0.169840148594917	0	0.146184067395883	0	0.000947112557149381	0.000914169513584612	0.0057010084547785	0	0.0473785782356615	0.1571129344547	0	0.109424090230699	0.23416106455117	0.0186965072944761	0	0.102848678605764	0	0	0	0.318	0.0489994971375247	1.07464136799286
TCGA-ZH-A8Y8-01	0.231180249462297	0.0654453519547606	0	0.00731856483517699	0	0.118639514537748	0	0.056895740597675	0	0	0.0269469963401335	0	0	0.344250680195874	0.0534764436417832	0.0915295536382634	0	0	0.000736171983720036	0	0	0.00358073281256808	0.01	0.24674064839949	1.00289634295693
TCGA-3X-AAVB-01	0.00227034648886988	0	0.0115319546030925	0.0525676457441753	0	0.194747198972326	0	0	0.0437414333329753	0	0	0.0497105133719239	0.0179545472750428	0.133310824937526	0.035123207273094	0.368535152849597	0.0201862995925143	0	0.0703208755588623	0	0	0	0.253	0.0625409628908363	1.07631101803854
TCGA-W5-AA2U-11	0.0690938527273358	0	0.0055147820469453	0.0869623144839732	0	0.0828242757910281	0	0.0789874467345884	0	0	0	0.0521246070960275	0.0148069979877538	0.144481803484224	0.0947374500337995	0.345045736184615	0	0	0	0.02542073342971	0	0	0.265	0.0598525274546347	1.08307242921302
TCGA-W5-AA2I-11	0.0590622102319971	0	0.00239576424719847	0.050328865475298	0	0.234333442441532	0	0.034598810089957	0.0374190527996405	0	0.0252472576139886	0.0310186235010423	0.0242208605876385	0	0.124797149039257	0.277394862302938	0.00748109941962534	0	0.0917020022498878	0	0	0	0.973	-0.0398143954195439	1.10892104681297
TCGA-W5-AA2X-11	0.013562855403333	0	0.0361698271454349	0	0	0.232413288359985	0	0.0104791166265488	0.000615819823813962	0	0.0509851545790664	0.0383416295293833	0.0659924489459422	0.118757966673691	0.0270793203500436	0.170523252926759	0	0	0.19565546239552	0	0	0.0394238572404785	0.435	0.033258983470025	1.07000810118005
TCGA-W5-AA2Q-01	0.137811734923368	0	0	0.0541948140272799	0	0.074561023394856	0	0.08264330957452	0.0379645225632921	0	0	0.0639712761456415	0	0.21617045370692	0.140742694053476	0.146851154509017	0	0	0.0450890171016289	0	0	0	0.55	0.0186318166671525	1.09926678320294
TCGA-W5-AA30-01	0.109082096260321	0	0.0422817969703708	0.132920989087098	0	0.13161335692178	0	0.0249248749558112	0.0740561918564414	0	0	0.0643051789574869	0.017262906572914	0.0434749400882025	0.0880324765352508	0.229016794287434	0	0	0.0430283975068896	0	0	0	0.473	0.0289678097845073	1.07683834912417
