B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-CA-5256-01	0.0587267698320066	0	0.0915221818953667	0.127450252383908	0	0.175061845218344	0.0287721679227346	0.111479597889365	0	0	0	0.00870444232633694	0.00812795912629251	0.0639643965093276	0.0608531698435253	0.242104354204896	0.00352485496201247	0.0146267743584543	0.0050812335274298	0	0	0	0.508	0.0367523167451359	1.06860864193031
TCGA-AZ-6599-01	0.106453444893718	0	0.028720615627834	0.189183773382602	0	0.295330613723605	0	0.0970245235011653	0.0276500208262043	0	0.051742061129928	0.00976992913442585	0.0661538079431585	0	0	0.0182972199282919	0.00157626659749944	0	0	0.103247972316031	0.00484975099553723	0	0.654	0.0187220938029339	1.11694333081258
TCGA-AA-3655-01	0.00467504217180165	0	0.0417934440663296	0.0538749084387186	0	0.170481346720468	0	0.0581977071716318	0.0511845939917115	0	0.0234637329613361	0.00234058487664573	0	0.175688576659519	0.102828129799689	0.244825459575398	0	0.0156480699554953	0.0543183061696118	0	0	0.000680097441643759	0.348	0.0586114599264389	1.07310807269223
TCGA-A6-6137-01	0	0.0350722681388844	0.043794675048325	0.00758079275262034	0	0.222685573900219	0	0.0439749535464586	0.12330586032402	0	0.0877499827940949	0	0.0315815273453645	0.142032932304651	0.00895995480942321	0.130348553733189	0	0.0796192413147623	0	0.043293683987988	0	0	0.368	0.0560060739413848	1.06363231088368
TCGA-CK-4952-01	0.0293971108948541	0	0.0138572543384871	0	0	0.229016614661221	0	0.0160942835609736	0	0	0.0598524828330992	0	0	0.216563693908229	0.0292132071909733	0.159206743016002	0	0.0216732025915832	0	0.0708358310246445	0.0112351520490716	0.143054423930862	0.427	0.0482974315991305	1.09000713597424
TCGA-A6-5657-01	0.314586023829419	0	0	0.0448214715090565	0	0.180099316100363	0	0.147165338198269	0.0377256301165104	0	0.0342121839348723	0	0	0.0937453569939269	0.0732178563681723	0.0701125561036157	0	0	0	0.00431426684579534	0	0	0.249	0.0786046993587776	1.07517712556442
TCGA-AD-6963-01	0.00400171672282304	0.0137545325452406	0.0105602154258571	0.14265031992233	0	0.160768906172391	0	0.174419683647903	0.00709114309930357	0	0.034070382879255	0	0.0241340924248267	0.147919327709675	0.0850894596572186	0	0.0128366562654235	0.0343222219580104	0	0.113929736015355	0	0.0344516055543877	0.23	0.0824860261638925	1.07028608051609
TCGA-AA-3663-11	0.0870507058700589	0	0.138270009447529	0.035279098449981	0	0.198648669661379	0	0.0374251386442393	0.00872847111466463	0	0.0290070443866006	0	0.0847637835748315	0	0.00603607500464855	0.292937273799681	0	0.00523382964970821	0.0766199003966781	0	0	0	0.095	0.119029436052131	1.02465008907494
TCGA-A6-6138-01	0.0426450564553408	0	0.0172081319582127	0.0494052906333055	0	0.142448626850397	0	0.0800863284108779	0.0705016266402555	0	0.0806383516469846	0	0	0.228746679225408	0.143470397053185	0.132602183012192	0	0	0.0122473281138408	0	0	0	0.00700000000000001	0.273085665831639	0.984635592147558
TCGA-A6-A567-01	0.136851594687616	0	0.00181532792178871	0	0	0.138445054638713	0	0.109330173838883	0.0683772043263167	0	0.0973172605921597	0	0.0325702690416447	0.215933688766986	0	0.0799875099670122	0	0.0537212185314227	0.0656506976874574	0	0	0	0.766	0.00394077684958347	1.08436286040602
TCGA-AA-3712-11	0.0151025855540094	2.80594295393006e-05	0.257015743855789	0.0317248109513172	0	0.197465963324731	0	0.0149981666354385	0	0	0.0296532289504081	0.00793799580042309	0.0146201198180019	0	0.0020122105674185	0.336482024639758	0	0.00218479147567147	0.0894864801898664	0	0.00128781880762806	0	0.207	0.0873149059331356	1.03402257304539
TCGA-D5-6928-01	0.0490765170989395	0	0.0197941833641735	0.173840726238075	0	0.102139121648018	0.0068488064122825	0.123638429062591	0.0171572686157579	0	0.0448014604618454	0.0182474576664614	0	0.156133480511008	0.147782240558506	0.0928743841927693	0.00455400225549642	0	0.0226058312188216	0	0	0.0205060906952541	0.002	0.35890779220542	0.941030838840026
TCGA-AZ-6598-01	0.0550248679581386	0	0	0.0161035124783023	0	0.202033930607235	0	0.0841824261471709	0.013686032169548	0	0.0514760531579506	0.0492455820170364	0.00388982818153804	0.171728392548899	0.0877676744555543	0.198806021899102	0.000138318809687244	0	0.0659173595698383	0	0	0	0.091	0.12128750334166	1.04479897125018
TCGA-D5-6931-01	0.0212228275042273	0	0.053420418212706	0.0552660089486455	0	0.181887640575106	0	0.110717351804516	0.038373614100437	0	0.0536736780737327	0	0	0.0858080580101549	0.0519468933475767	0.239701484077195	0	0	0.0807391436745914	0.0272428816711115	0	0	0.226	0.083628816260312	1.04914067957458
TCGA-G4-6295-01	0.106576069981772	0	0.0426064256487778	0.152262028238177	0	0.0842164084106913	0.07005728045647	0.130547021588621	0.0280361798849732	0	0.0606332261901319	0.00293959752007386	0.0189027845912526	0.0313449962257899	0.0834869953165204	0.143602102587644	0.000930156185910321	0.0193619664983826	0.0244967606748113	0	0	0	0.128	0.108670314899245	1.0436410438398
TCGA-AA-A01X-01	0.0718992458383793	0.0319032771337406	0	0.0290505826206503	0	0.233502389788223	0	0.0384470026484906	0.0799868538434221	0	0	0.0567298823142706	0	0.195044950384882	0.0534931644036611	0.0161834575219339	0.00862772216197884	0	0.185131471340367	0	0	0	0.584	0.0275876655175902	1.08055297266462
TCGA-AZ-4313-01	0.0537752941946271	0	0.0187742898657558	0.127375640883588	0	0.216717281704947	0.00552739074158947	0.0474820571771792	0.0472961391063339	0	0.0587198686659368	0	0.00556192767724342	0.197759553413905	0.069292636301104	0.0406069018025602	0	0.0213277429603196	0	0.0897832755049094	0	0	0.668	0.0161317183773785	1.0968932060413
TCGA-DM-A0XD-01	0.0397048597674622	0	0.0219688091145712	0.0726605553376352	0	0.00236207082509176	0	0.0747527175562056	0.166241697371697	0	0.0744058969754217	0.0260943319364164	0.0234781160959451	0.166316918794153	0.00967209181473831	0.211807430325283	0.00751209005178608	0	0	0.103022414033593	0	0	0.715	0.0103488998597612	1.0944618063889
TCGA-D5-6535-01	0.0169166032482979	0	0.061706582343145	0.0305187275546755	0	0.234774057894952	0.0131884641427165	0.0521610448294848	0.0346800181980903	0	0.0651871599078374	0	0	0.228221920824776	0.100738448335553	0.133606009177907	0	0.00913092094409425	0	0.0191700425984694	0	0	0.173	0.0964331026458085	1.05927302905014
TCGA-AA-3509-01	0.0153603401051441	0	0.038028747454829	0	0	0.145789265764625	0.0336247707770699	0.0933702470356556	0.0469822890659954	0	0.0497970187003997	0	0.0283146293770748	0.258939346699548	0.0916869664214385	0.182553975022497	0	0	0	0.0155524035757231	0	0	0.288	0.0692327748874546	1.07414183671354
TCGA-DM-A28E-01	0.088758571743172	0	0.0369309902214583	0	0	0.292324782129239	0	0.159103636838413	0.0199004919492783	0	0.0968900082189469	0	0.0136841549592771	0.0472691982698196	0.0706622883057653	0.124649603990562	0	0.00436700420312189	0	0.0454592691709459	0	0	0.93	-0.0250598378736672	1.10517727995097
TCGA-A6-5667-11	0.0284169033409417	0.123536888747806	0.0598366003211526	0.0704941389832501	0	0.164507115157884	0	0.0987235471843478	0.0357483656863682	0	0.0266101924374184	0	0.0126186012526062	0	0.00293919796762277	0.265740843469823	0.00135858638417483	0.016246961581151	0.0171627691492025	0.0760592883362506	0	0	0.321	0.0629479959750472	1.05437420947657
TCGA-G4-6307-01	0.283597100819028	0	0.133030229290093	0.0262520511734608	0	0.0495519571026038	0	0.130359594063383	0.0553657544636106	0	0	0.0189910627084827	0.00713766625146758	0.168860378090293	0.0246828168099512	0.102171389227626	0	0	0	0	0	0	0.621	0.0225921257649966	1.07776543506049
TCGA-A6-2682-01	0.0251375770947736	0	0.0193502838707808	0	0	0.0220408941901786	0.0257604608142726	0	0.0373607669590692	0	0.0670731382210968	0	0	0.519490824084128	0.00228314658571763	0.0405446553406016	0	0	0	0.202633445467415	0	0.0383248073719659	0.001	0.410205846172304	0.945726263891082
TCGA-CM-5868-01	0.0039608695165504	0.0114333421090279	0.0157113269333639	0	0	0.160515627381937	0	0.0349371461826281	0.0944435821145208	0	0.0462059890418898	0.0211591961122705	0	0.518302197913992	0.00684344398406021	0.0566253647275646	0	0	0	0.029861913982195	0	0	0.199	0.0900736620612631	1.11720882706357
TCGA-CK-4947-01	0.0435788697761139	0	0.087994107643296	0.0791882023997142	0	0.229898164147733	0.00168050778375944	0.0667751706670822	0.0651391243560038	0	0.0171734254087614	0.00235075484143661	0	0.0258797225326444	0.056989539764908	0.206682099471217	0.0526119520698584	0.00904361258683282	0.0494762432960191	0	0	0.00553850325461984	0.226	0.0839396692679261	1.04470806565739
TCGA-D5-5540-01	0	0	0	0.0968466933504701	0	0.0831662767741718	0.108487726610594	0.146199798637425	0.0116384751671965	0	0.022411994422846	0	0.029167740106917	0.222528851121294	0.148304919472918	0.0149736640671985	0.0123653135083528	0	0	0.103908546760616	0	0	0.163	0.0981926531023948	1.06983669414835
TCGA-A6-4105-01	0.0250453638237749	0	0.0164854854504717	0.0623131475307539	0	0.188966688219375	0.0382824182139874	0.125648388533263	0.000596095173917968	0	0.0831241962411165	0	0.00291766855367357	0.142852573963103	0.0908256652111771	0.214966090488439	0	0.00136661853651255	0	0.00421321041863235	0	0.00239638964180282	0.052	0.150655263633166	1.03432982529315
TCGA-A6-6651-01	0.0665009795027811	0	0.0188265580644099	0.0373442085626346	0	0.114258542969786	0.00187584387226874	0.0193115167690582	0.0333878528877331	0	0.0349781086064193	0	0.00538112257982234	0.398749631019515	0.0296105434877618	0.203443240237863	0	0.00264158510599487	0.033690266333953	0	0	0	0.002	0.388435169193483	0.933823174126605
TCGA-G4-6625-01	0.0303598318249551	0.0285032578711621	0	0.0485444527994344	0	0.088590835415778	0.0159752075073025	0.110717868602295	0.05019793567404	0	0.0546418997100228	0	0	0.293254718734581	0.0528958079232085	0.143756015068652	0	0.0577961283407502	0.0247660405278187	0	0	0	0.01	0.259434861721583	0.98873096601525
TCGA-CM-5860-01	0.00574351264875619	0	0.00804340574905334	0.0260215075263502	0	0.088902812055684	0.00930691560659769	0.0434272869945084	0.0386833945302615	0	0.0277314901053241	0	0	0.328110161959923	0.115788513528981	0.238439838527641	0.00257056798140567	0	0.0672305927855138	0	0	0	0.036	0.172375220944255	1.04892621886648
TCGA-DM-A28G-01	0.0266193543845587	0	0.0791495280971008	0.0583772635995197	0	0.299672337298891	0	0.0241843767140829	0.0564526761087999	0	0.049947493344579	0	0.0050909533944763	0.227457379534944	0.0152845280310935	0.134772752503761	0	0	0	0.0229913569881933	0	0	0.674	0.015151657207956	1.09240932402401
TCGA-A6-5666-01	0.0784140158447583	0	0.0802849590597159	0	0	0.149869812839298	0	0.0170298841768363	0.0113065523943132	0	0.0531469160530334	0	0	0.329792746764032	0.0918324801482728	0.113490981052979	0	0	0	0.0307526417343758	0	0.0440790099323849	0.702	0.012636463683156	1.10702442720581
