B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-FF-8043-01	0.349926779740644	0.131387214115856	0.00443636496625501	0.113623578992472	0	0	0.00402616014444046	0.0291968590105111	0.0497617143211544	0	0.0484670378945725	0	0	0.176952266354495	0.0203577653038393	0.0718642591557594	0	0	0	0	0	0	0.001	0.334545374719995	0.957705274619684
TCGA-GR-A4D4-01	0.274847005965393	0.309777853295232	0.00635962218995034	0.0213015182253606	0	0.0699415886142722	0	0.0373635301248381	0.0248161110382703	0	0	0.00208910470678672	0.00900186318187391	0.164647411012503	0.0368145228746925	0.0362382595248935	0	0	0.00680160924593387	0	0	0	0	0.558485869539278	0.8293621900353
TCGA-G8-6909-01	0.0321266481578077	0.246027303166072	0	0.112173135512769	0	0.0300113345700635	0.0900480610989313	0.0321323078721653	0.0844103814794707	0	0.0202592549714026	0.0238463682461276	0	0.144508796528227	0.0536455870954673	0.0796548704009109	0	0	0.0465524208240028	0	0	0.00460353007658275	0.003	0.312891642866676	0.954953674456643
TCGA-FF-A7CR-01	0.226505787695216	0.139544717436504	0	0.122729743677963	0	0.00435225009177349	0.107520277829163	0.0291988156841755	0.000648282761978544	0	0.0511974123442593	0	0.00113814285531006	0	0.133910550322506	0.152926500387101	0	0	0.0178380916346353	0	0	0.0124894272794149	0	0.39593066706767	0.920609528532138
TCGA-FF-8062-01	0.0166738371712285	0.314383325428575	0	0.179301909747788	0	0.0297762960590698	0	0.0500307929863488	0.0572036607610189	0	0.0121908983277618	0.0196359932235651	0.00761698068369874	0.218633409290624	0.0397511298682936	0.0367661347621793	0	0	0.0180356316898478	0	0	0	0	0.541429414202216	0.843879504585153
TCGA-GR-7351-01	0.0593893527897125	0.239566323910624	0	0.0496683877239887	0	0	0.00621494991766648	0.0399039744683389	0.0427290713618114	0	0	0.0312234721766983	0	0.415879341935045	0.0347397485133773	0.0482914533916161	0	0	0.0323939238111213	0	0	0	0	0.686598075426161	0.744969892456391
TCGA-GS-A9TW-01	0.0486969279636494	0.180795156296171	0	0.0989331195621274	0	0	0.140233422228935	0.0241086098197323	0.00156048376422833	0	0.0348133381168034	0	0	0.193528435647845	0.0708787806329644	0.0255612017649612	0	0.145501021007244	0.0353895031953378	0	0	0	0	0.610587952406037	0.809055903012385
TCGA-GR-A4D5-01	0.0406652886993448	0.248436438991051	0	0.0651521903985806	0	0.0273318732486768	0.016570336366825	0.0588856711120301	0.0304368475449504	0	0.060198314725	0	0.0050551126060754	0.242248860376846	0.110315314628346	0.0818682556339473	0	0	0.00937375405086751	0	0	0.00346174161745877	0	0.635826261437902	0.790006425195524
TCGA-G8-6907-01	0.169627308887136	0.624180808317207	0.0108488279933827	0.00321478150584728	0	0	0.000524995052358111	0.019367965131305	0.0310841297125298	0	0.0196130497633077	0	0	0.0663910057235383	0.00770568302580747	0.0474414448875806	0	0	0	0	0	0	0	0.611949743766445	0.790927106160484
TCGA-RQ-AAAT-01	0.157351119718225	0.513890646027082	0	0.0212571837230296	0	0	0.0143889862427813	0.0926542047847192	0.013009966027168	0	0.0394880755227214	0	0.00862111566822731	0.096400852801024	0.0017617708793529	0.0307178756660913	0	0.010458202939577	0	0	0	0	0	0.503883801197046	0.865220264027172
TCGA-FM-8000-01	0	0.605297717198978	0	0.0202607783301179	0	0.0302923628163048	0	0.0386330995946723	0.0181075116938242	0	0	0.0144086177718318	0.0191548317813566	0.109906846464768	0.0302439276767278	0.10069610980959	0	0	0.0129981968618282	0	0	0	0	0.571662001775748	0.822241213740978
TCGA-GS-A9TZ-01	0.0222590085285544	0.191691254969361	0	0.0774135759263518	0	0	0.029293943061769	0.0392060258783534	0.100343538274665	0	0.0393221857189692	0	0	0.288041831809485	0.018472867998685	0.0945865031648798	0	0.0777110242395252	0.0216582404294011	0	0	0	0	0.57647200851403	0.82583592547585
