B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-L5-A4OF-01	0.106621002294943	0	0.0173363207233592	0	0.0489662945997307	0.370392237604512	0	0.060672602395007	0.0290956638842957	0	0.0989955246398793	0	0.0325275977398765	0.0676315597340538	0	0.023015406475737	0	0.0702662472593759	0	0.0744795426492294	0	0	0.644	0.0140455346457883	1.09903481365041
TCGA-LN-A49R-01	0.0174192508974386	0	0.000735450388242206	0.0753996074769749	0	0.116326438587569	0.0334612026901903	0.070734632971539	0	0	0.0147064877127962	0.0435856078011564	0.000765240012464364	0.10617550257114	0.138191049346495	0.274668726507098	0	0.0507329075565924	0.0570978954803044	0	0	0	0.03	0.180186886770898	1.02694734008007
TCGA-Z6-A9VB-01	0.0629536567315819	0	0.210909348308694	0	0	0.169197534935429	0	0.201024723009621	0	0	0.0573761704252249	0	0.0207204220530356	0.0927397522616235	0	0.146268969081254	0.00952655666831916	0.0241597417246161	0.00512312480060111	0	0	0	0.428	0.0398228503385656	1.05501139236363
TCGA-L5-A8NF-01	0.106355844351432	0	0	0	0	0.424311985835761	0	0	0.054209948174509	0	0.0463870844182407	0	0	0.16704261662771	0.0541838934034739	0.104737015635751	0	0	0	0.0391420870740698	0	0.00362952447905261	0.835	-0.0103623913003553	1.1078043977658
TCGA-2H-A9GG-01	0.191534544458467	0	0.0619914967042155	0.05835710949506	0	0.290813382922842	0	0.116141739770796	0.0221979849604381	0	0.0259478388371736	0	0.00920508310571648	0.0100667935200033	0.0565245952499119	0.155422397035043	0	0.000135969881640609	0.00166106405869261	0	0	0	0.42	0.0409242142833641	1.08036520300481
TCGA-IG-A3QL-01	0.0613806499110519	0	0.349725501168428	0	0	0.126450746681894	0	0.0297230662694577	0.0101053736885074	0	0.0400046761920922	0	0	0.247428919734972	0.0182559456572697	0.066912530273882	0	0.0228779517492481	0	0.0271346386731961	0	0	0.765	-0.0024332798653267	1.07046694700567
TCGA-VR-AA7B-01	0.0760169321027577	0	0.112290410980974	0	0	0.354317676085371	0	0.0160427609555989	0	0	0.00319953950929994	0.0319762201608563	0	0.282280199388863	0	0.0337259178735959	0	0.0675716327186254	0.0225787102240588	0	0	0	0.531	0.0260812929050952	1.08539670035766
TCGA-2H-A9GN-01	0.0338870839966454	0	0	0	0	0.383752523959394	0	0.0307406269347582	0.0401941492792474	0	0.0433962142432756	0	0.0170171113650394	0.134698049830872	0.0480487149892521	0.10701865273177	0	0.0411033876447339	0	0.0845002683878489	0	0.0356432166371641	0.92	-0.0265828803663294	1.10836721581843
TCGA-L7-A6VZ-01	0.119366139101552	0	0	0.0717426063452451	0	0.146850859016716	0	0.0225168964788527	0.0829052282966553	0	0.0686180439724014	0	0	0.139774818302732	0	0.128740648876863	0	0.178977171077561	0	0.0368044530529989	0	0.00370313547842254	0.508	0.0288862531222442	1.0823166287232
TCGA-L5-A4OF-11	0.122616772583942	0	0.0210575870656689	0.0532627057914843	0	0.312602754675345	0	0	0.00712555719488414	0	0.0756965659382155	0	0.0155684610023681	0	0.00930445210165681	0.0733784077896706	0	0.0199840129816481	0.227272574469558	0.0621301484055583	0	0	0.682	0.0094666235050025	1.09970529169717
