B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-27-1832-01	0.012389949512887	0	0.00420605036069153	0	0	0.142816950367877	0	0.0101291882086577	0.0279604111691083	0	0.0483298422878438	0	0.0322884822572699	0	0.00594318454863666	0.615715318093266	0	0.00150598679628065	0.0923149043848056	0	0	0.00639973201267594	0.272	0.0473581434311582	1.10526936950729
TCGA-27-1831-01	0.000958116835348419	0	0.00378200140036763	0.10317271963032	0	0.163279763030212	0	0.00983021860194241	0	0	0	0.0163314269138426	0.0269846523331742	0	0.065712859027907	0.586326022078593	0	0	0.0212937491108765	0	0	0.00232847103741591	0.138	0.0848660430996209	1.08782079407563
TCGA-28-5216-01	0.000238367022040773	0.000244957756030697	0.0185880042359068	0.00533424792945112	0	0.264915974254847	0	0.0820682155097275	0.00796038943252785	0	0.0905412953602764	0.0457154305431537	0.0849893524226942	0.11123419848289	0	0.258317531656113	0	0.000356888608044731	0.0150048968912561	0	0	0.0144902498950404	0.228	0.0571952664672903	1.07598894534607
TCGA-16-0846-01	0.010299532843827	0	0.0694932444985809	0.0401387041438246	0	0.0909386807561051	0	0.0279371674757457	0	0	0.00948522467077943	0	0.114722667354685	0	0.0652716251031199	0.535249405989078	0	0	0	0.0311398800217674	0	0.00532386714248739	0.098	0.108022445305087	1.06889678648624
TCGA-28-5218-01	0.0124785763633941	0	0	0.138201079886405	0	0	0	0.113279985376905	0.0310464791109688	0	0.0165867415811897	0	0.00676279304673254	0.332082605672154	0.0277868519777475	0.313040318743621	0	0	0.00253393477892607	0	0	0.00620063346195732	0.015	0.285191309174527	0.99443977914078
TCGA-06-0178-01	0.0540971903003956	0	0.0577173705781315	0.021173271549392	0	0.00927259892013833	0	0.0278626355045631	0	0	0	0.0186935585551576	0.0945578659889739	0	0.0130681962902025	0.597920280742953	0	0	0	0.0850028047595768	0	0.0206342268105156	0.005	0.348525629823752	0.956698746127828
TCGA-06-0238-01	0.00168289393356227	0.00267675696216854	0.00677725703793368	0	0	0.158733927409217	0	0.0109353255633886	0.00637045186781696	0	0.0308890713596041	0.0185557507468447	0.0412613824457687	0	0.00166187156187156	0.676318633112031	0	0.00191449379515507	0	0.0343289141374552	0	0.00789327006718268	0.024	0.246932820039393	1.01991131719156
TCGA-06-0125-01	0	0.00184603590793148	0.0550995419388408	0	0	0.252658125164105	0	0.0818096739301741	0.0184249497294508	0	0.105878623096351	0.0110714781560563	0.0548863630712887	0.215867796152224	0	0.0992227132342397	0	0.00314001275530447	0.0775751218055763	0	0	0.0225195650584576	0.174	0.0725306055571496	1.06117088077207
TCGA-06-0219-01	0	0.0128937978185415	0.00840432473713845	0.0498478473437162	0	0.114237210031944	0	0.0112480156089436	0.00785449990991151	0	0.0678547919905236	0.0108245469975011	0.0324508778603329	0	0.0162448919168124	0.594355091383013	0	0	0.0530056271854437	0	0.000831808208139192	0.019946669008039	0.157	0.0783917836063178	1.08773061361029
TCGA-06-0125-02	0.00103640194310494	0	0.0410897916393392	0.103958523404231	0	0.21819419977531	0	0.0893659758918985	0.0077706953445618	0	0	0.0512287113766866	0.0795198093013124	0.142426455615718	0	0.143613076700087	0	0.00572654339804603	0.0926037677873712	0	0.00195384296895853	0.0215122048533745	0.198	0.0666759529451585	1.06099182446863
TCGA-06-0174-01	0.0261497267167417	0	0.073370551847358	0	0	0.205203361028988	0	0.0345796787313043	0.0114402111816762	0	0.0268626761807594	0.0249278446740366	0.0207308749600324	0.305872919214827	0	0.212407069867072	0	0	0	0.0364998641010845	0	0.0219552214961199	0.071	0.124923091750051	1.05796053390511
TCGA-28-1747-01	0.000444948430929117	0.00321486641698551	0.00383822422293649	0.0522714691263625	0	0.213311281796993	0	0.0124680559717126	0.00292088598839003	0	0.0679285540990428	0.0152021088900998	0.0473053858390679	0	0.0192016896146884	0.478481755635366	0	0.00130883757001699	0.0753543706652518	0	0	0.00674756573215725	0.168	0.0743960172562089	1.07205953474786
TCGA-12-0616-01	0.0553332760698306	0	0.0200627006869371	0.108230553357707	0	0.0913375526082979	0	0.0462839954172636	0	0	0.0310983651826046	0	0.0802974843253303	0	0.0452324305910635	0.498554664709729	0	0	0.0178253566709668	0	0	0.00574362038026896	0.126	0.092173026275685	1.06590885050444
TCGA-06-5415-01	0.00117371295806279	0.000172573143272654	0	0.0659405331265054	0	0.282659717511551	0	0.0475527077315005	0.0462801030531131	0	0.000293230426723175	0.0332161507318842	0.0413015237012141	0.166888803667317	0.00260237821990629	0.252351128691023	0	0.00165136337395554	0.057916073663972	0	0	0	0.228	0.0573291513562338	1.07801202131771
TCGA-28-2499-01	0.000823388346621842	0.00254986436053959	0	0	0	0.363427825299394	0	0.010772233471989	0.02106202822091	0	0.0572569464119275	0.0323863187706484	0.0454697201187621	0	0	0.329438004938234	0	0	0.13371376382939	0	0.00309990623158356	0	0.453	0.0185845281062372	1.08721333437531
TCGA-06-5411-01	0.00131331519196802	0	0.0222379022558102	0	0	0.293644124279021	0	0.0348635433518286	0.00480614839315973	0	0.0127791471072583	0.0506711009447455	0.0557683508377078	0	0.0044586461892071	0.418690915017164	0.00228681641820566	0	0.0756912725347442	0	0	0.02278871747918	0.187	0.0687051114865029	1.06785294971935
TCGA-06-0211-01	0.00726309719270968	0	0.000332884649282938	0	0	0.126373747251851	0	0.0213160028392582	0.0186757988219454	0	0.0495778819714167	0.0369998579946586	0.00805100707394542	0.399605857322212	0	0.30439125140399	0	0	0.00292557290089907	0	0	0.0244870405778318	0.039	0.182854497501747	1.06802219704488
TCGA-19-1787-01	0.00129281847061272	0.00363077300147917	0.00450751586223827	0.0466940471382398	0	0.203648777481306	0	0.0510150428164839	0.0255406106738311	0	0	0.0186081988990977	0.0213564678431622	0.217381179886181	0	0.287931175151372	0	0.0207718590614662	0.0888887545174523	0	0	0.00873277919707713	0.0679999999999999	0.127791603091825	1.04995248425827
TCGA-27-1835-01	0	0.00266408333353521	0.011653464816562	0	0	0.379761833538895	0	0.0151755241115166	0.069626912839184	0	0.143291318125611	0	0.075966935227363	0.100953670458564	0.0180328300532777	0.099389042131402	0	0.00161535781807181	0.0818690275460174	0	0	0	0.479	0.0131434067386425	1.09346507981268
TCGA-28-5213-01	0.0293032868910892	0	0.00631615414803781	0.029983380218758	0	0.0460869221188439	0.0339311727533192	0	0.0302581472687414	0	0.0451605233615318	0	0.169980214714437	0	0.00746994861231001	0.473282807974456	0	0	0	0.0196277749151695	0	0.108599667023306	0.182	0.0707680136613171	1.09537052496606
TCGA-06-2561-01	0.00172536454264162	0.00383843276631651	0	0	0	0.13264935575865	0	0.00953127506804771	0.0458430314188738	0	0.0629718176222048	0	0.0786372782250491	0	0	0.524583610960653	0	0.0132264933895352	0.096214843521638	0	0	0.0307784967263911	0.306	0.0414716010444718	1.09389964746586
TCGA-14-2554-01	0	0.0294341370070952	0.00414736405517267	0.0157289502437532	0	0.23792885831808	0	0.028229276017619	0.0193950792202764	0	0.091639131029994	0.00574664889776347	0.0956151637464929	0	0	0.436025352714612	0	0.00309294880555046	0.0288460668276706	0	0.000371931162199339	0.00379909195372089	0.345	0.0334952640593701	1.08715666321386
TCGA-06-2563-01	0.000880156848145208	0.00240599053897612	0	0	0	0.30838201410663	0	0.026285229608729	0.0423098433642507	0	0.0256143401604612	0.0285474074636462	0.0443821566975522	0.130090141326218	0.0136367780942774	0.274471015218091	0	0.0106732490729894	0.0896583048628688	0	0.00266337263716448	0	0.226	0.0586040599574859	1.0695675084871
TCGA-41-3915-01	0.0123171887240888	0	0.00514557916306718	0.0602660281712911	0	0.105760497964609	0	0.0463139030729216	0.011477143647773	0	0.0876423822287679	0	0.0129082072815465	0.103724532228939	0.00235982835800627	0.459614780799108	0	0	0.00274006320861589	0	0	0.0897298651512647	0.086	0.114585697384682	1.0689270850319
TCGA-76-4932-01	0	0.00205085389544063	0.0224753356969968	0	0	0.332262716590282	0	0.0502774179373299	0.0642676502932181	0	0.0533976366822229	0.0334482673646738	0.0573292218873467	0.0519878374835888	0	0.24721763080344	0	0.0106074823742551	0.0585922883753425	0	0.00227188593864099	0.0138137746772222	0.366	0.0292509274553718	1.07945690327909
TCGA-06-5412-01	0.00315399086446443	0	0	0	0	0.152920886429695	0	0.00847322291813423	0.00916664094222163	0	0.0729208790529999	0	0.0460608005705486	0	0	0.645474756232224	0	0.00324805174866552	0	0.0405678156538062	0	0.0180129555872403	0.232	0.0552886828056371	1.11503404971905
TCGA-26-5135-01	0.000177334608910163	0.00221589801154723	0.0138641211121221	0	0	0.163129719666255	0	0.0205745776664519	0.0491059541846536	0	0.0799984138486964	0.0110419170786591	0.0290383032137811	0.33887746602586	0.00976582490867393	0.238940758759829	0	0	0	0.040186317293452	0	0.00308339362110825	0.049	0.15842864686822	1.05576089195922
TCGA-16-1045-01	0	0	0.0132435082542466	0.0254612194367434	0	0.213120997458478	0	0.0187166314423407	0.00700111473150649	0	0.0597402756512397	0.00442768243543087	0.0318663123083279	0.00662810049229402	0	0.552996406677427	0	0	0.0545889324949804	0	0	0.0122088186169848	0.22	0.0603991694666902	1.08908350583657
TCGA-06-0141-01	0.0469762415355059	0	0.00797768206885626	0	0	0.0729381796649883	0	0.00911506778774574	0.00715385588648325	0	0.0283452955696687	0	0.00449548571476765	0.0079317220781679	0.00467769400931653	0.698812344986227	0.000614777262423911	0	0.0548034166706857	0	0	0.0561582367651633	0.115	0.0996110586325749	1.10389923069479
TCGA-06-2557-01	0.00150256314498409	0.00676004540459722	0	0.0576716204426732	0	0.111875749974342	0	0.0178603622073177	0.00306822493950609	0	0.0601362350545638	0.000111119041362664	0.0316437015157819	0	0.0218086106970117	0.637417782347349	0	0	0.0398880224322556	0	0	0.0102559627982554	0.029	0.218225015951881	1.02620490979195
TCGA-06-0157-01	0.0145028306312629	0	0.042043649732094	0	0	0.158159559206065	0	0.0198812613893755	0.0293671458062708	0	0.0474863452124322	0.00530236577876804	0.0330569154092401	0.0740643933558013	0.00664890833026873	0.471359912446564	0	0	0.0668032266238098	0	0	0.0313234860780473	0.315	0.0395051165117584	1.08863534805647
TCGA-28-1753-01	0.00681296480156392	0	0.0111776347483502	0	0	0.0360520909353228	0	0.0411589976711969	0.0330622122581114	0	0.0304754092599611	0	0	0.405206847120807	0	0.420306269117239	0	0	0.0140811478085753	0	0	0.00166642627887208	0	0.508634567595284	0.872853821024168
TCGA-26-5139-01	0.00212248840194456	0.00195080071574037	0.00701671254787573	0.0573837555947897	0	0.162207689087593	0	0.034702226402677	0.0315563385664638	0	0	0.0186251438490166	0.0527805434951714	0.161959433208864	0	0.447780985487857	0	0.00945744141749418	0.00567447611831594	0	0.00107705651372889	0.00570490859246828	0.139	0.0844331030557254	1.08622387467126
TCGA-26-5136-01	0.0760547918085526	0	0.0279097007272266	0	0	0.055371019512458	0	0.0237219899586321	0	0	0.0155186021839918	0	0.158691957538962	0	0.0174113105087309	0.595147108439157	0	0	0.0301735193222897	0	0	0	0.26	0.0493610262491316	1.11303143683487
TCGA-28-2509-01	0.0133255339430676	0.00243058420477199	0.0166903991375646	0.0664273080873053	0	0.177698312294746	0.0217014345988107	0.0122786591174522	0.018082757452083	0	0.158300986388824	0.00164315625563947	0.0878675338271627	0	0.00204946614767002	0.235405922843298	0.0138600839916045	0.00236404096468883	0.142963441021059	0	0.0052422490165833	0.0216681307076683	0.553	0.00570720994847202	1.08534372004431
TCGA-06-0168-01	0.0117473922003447	0	0.00228977069370266	0	0	0.134767937604577	0	0.0419477646018965	0.0298886721002939	0	0.0743333646798877	0	0.0891529816473673	0.124220559982059	0.000771342135788007	0.44294923928231	0	0.00327189561644469	0	0.0300515013154357	0	0.0146075781398931	0.17	0.0738201235848025	1.08545040822993
TCGA-76-4928-01	0	0.00889512036869232	0.0255630032155288	0.0218342914019445	0	0.0886338825041502	0.0219674666226848	0.0242560551626861	0.0165185136038126	0	0.0679573054390015	0	0.0168603725360908	0.0987208923703074	0.00566035639048032	0.364296280086386	0.00721169382135865	0	0.196867588270276	0	0.00638929864669022	0.02836787955991	0.222	0.0596151799086568	1.07171870954441
TCGA-32-5222-01	0.000841559010558462	0.00423264797836113	0.00138343629681151	0.0367040037520151	0	0.272304617752817	0	0.00558163804586556	0.00738385617533025	0	0.0687327726896448	0.0165526524724928	0.0731450588305335	0	0.011379689713565	0.417532352752508	0	0.00423199067784965	0.0464317761752342	0	0	0.0335619476764132	0.082	0.117238292637674	1.05044562261725
TCGA-12-1597-01	3.71915463151754e-05	0.00416578991683956	0.0184704242981513	0	0	0.370751026395516	0	0.0348985995033126	0.0142818598309867	0	0.0871349373754193	0.0241505435653624	0.0535560247194073	0	0	0.345687677090856	0	0.00949606486444396	0.0231930017577397	0	0	0.01417685913565	0.253	0.0512065630292697	1.07903481714558
TCGA-06-2567-01	0	0.00776300345230519	0.00518932366651029	0	0	0.136257282296609	0	0.0140000580495694	0.0327545633012036	0	0.146243518139275	0	0.0900541758949073	0	0.000305660603639027	0.429633104436154	0	0.00187094360777738	0.0376616824454517	0	0	0.0982666841065969	0.117	0.0976078066484865	1.06738741368971
TCGA-27-2526-01	0.00551268696824445	0	0.011349872549769	0.0847541002476226	0	0.12375182026999	0	0.094040143034351	0.00168771601498757	0	0	0.012172604178438	0.00149733138639784	0	0.0917080800733946	0.445111404672301	0.00234343622484427	0	0.120368454940582	0	0	0.0057023494390786	0.208	0.0638232421938209	1.07282427755007
TCGA-28-2513-01	0.00878854804819741	0	0	0.0377437735437727	0	0.211954971935541	0	0.0410436474128895	0.034282246885403	0	0.0473942903997063	0.0529453343856537	0.105016842225101	0.0442313662687149	0.0752338391285567	0.284174783238826	0	0.00519024152374285	0.0410776856273354	0	0	0.0109224293765599	0.312	0.0402954276691045	1.0771483006526
TCGA-32-2615-01	0.000547381249559362	0	0.0424996632180611	0	0	0.271465021549999	0	0.100162169085914	0.00817777165770424	0	0.0705721013531495	0	0.0630829282599339	0	0	0.324628744462068	0	0.00396691880951436	0	0.0605636136800943	0	0.0543336866740022	0.437	0.0202632291922051	1.08212602929034
TCGA-19-1389-02	0.00630805141102678	0	0.0333762442359749	0	0	0.16754409978353	0	0.0543922503962108	0.0260765638781098	0	0.0342903858085325	0	0.19429433141295	0.0294895872948858	0	0.384851950093061	0	0	0.0504391058169823	0	0	0.0189374298687364	0.332	0.0359752192977543	1.08413772852915
TCGA-27-1834-01	3.33588048750964e-05	0.00559683086769201	0	0	0	0.17050452957627	0	0.0239823737948601	0.00782296976629032	0	0.0508405826420948	0	0.0264474907913942	0	0.0245830012957357	0.519652643573132	0	0	0.162375032256113	0	0	0.00816118663154345	0.091	0.111786545137346	1.05965986007391
TCGA-14-0787-01	0	0.00981859233273866	0.00469315875908383	0.0350561049959013	0	0.0950217563303246	0.00725463070226547	0.0454333323909415	0.0233857897339425	0	0.093255562638135	0	0.0906486793961362	0.0761587157463857	0.0109406469755332	0.373761597521708	0	0	0.114827987655442	0	0	0.0197434448214623	0.223	0.0595120979615917	1.07060480182364
