B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-CR-7383-01	0.00156222612771414	0.00386811144649759	0.0129806214825031	0.0489118728723147	0	0.139034558990612	0.0075707277419131	0.0624839378916578	0.0439608931808845	0	0.0176306904631891	0.0196614271342483	0	0.16346406442917	0.0874435931148659	0.259397083322133	0.0517372191023997	0.020990127090728	0.0588442214622163	0	0	0.000458624146952183	0	0.378274302057696	0.92787978866525
TCGA-CR-7398-01	0	0	0.00948971184426913	0.0148545772450995	0	0.143636286054285	0.0104463074558014	0	0.0294031605260364	0	0.0644966119542547	0	0	0.22425007436857	0.0161134142395158	0.160439624874544	0	0.0882386260327261	0.211062975559841	0	0	0.0275686298450574	0.017	0.201330550219834	1.01155633258834
TCGA-CV-A6JT-01	0.00561076708267495	0	0	0.0901186435077965	0	0	0	0.110145615585006	0.101098718157918	0	0	0.0829032949465801	0.00416365506809826	0.260421024609188	0.0469495021133131	0.100645679160816	0.132089144994535	0.0293641748362937	0.0348100000064714	0	0.00167977993130938	0	0	0.483148156710302	0.874798654196278
TCGA-HD-8635-01	0.00683665844748889	0.000958155375134832	0.0343105980662314	0	0	0.196077708312067	0	0.042472493304645	0.00661535033704767	0	0.0641547491975109	0.00876495809619136	0.0353561369845161	0.265545381647298	0.0943675581007045	0.16580106737737	0	0.0320403514949514	0.0466988332588425	0	0	0	0.029	0.17337217606324	1.02897960623059
TCGA-CR-6481-01	0.0531038635259186	0.0355124077777347	0	0.113748457142708	0	0.0969045584678986	0.0171532179460919	0.0793956075622586	0.0835186697972349	0	0.0532118072459356	0	0	0.21829404813361	0.123481433271883	0.0881139437490296	0.0122633520238793	0	0.025298633355817	0	0	0	0	0.516512946962261	0.856849559673794
TCGA-CR-7395-01	0.00396307127761883	0	0.0284326404027573	7.92904232017463e-05	0	0.180805942979925	0.0627032539394226	0.0667813234516724	0.0669919154825406	0	0.10052078363308	0	0.00457608501639494	0.130579266836185	0.126723720929378	0.10585714721749	0	0.080207389604083	0.0360631218116709	0	0	0.00571504699457893	0	0.41129660954061	0.911948285297199
TCGA-CV-7261-11	0	0	0.035232912133432	0.067297708114452	0	0.325987712954314	0	0.0179480499200718	0	0	0.0559643227027293	0	0.0181489474289288	0	0	0.237662774319316	0.145300049809185	0.0482932695605577	0.048164253057013	0	0	0	0.907	-0.0217576238857413	1.09440313684947
TCGA-BB-7863-01	0.0243038041997766	0	0	0	0	0.109859925685417	0	0.075510508844075	0.0446816149300837	0	0.0249905016546331	0.00763141628333339	0	0.389779010921834	0.0584853760525666	0.126143095604912	0.0338752758638208	0.0444289292777169	0.0534379659263336	0	0	0.00687257475549775	0.101	0.119408930482056	1.07299118090538
TCGA-CV-7427-01	0.0195238860655881	0	0	0.0848244766099449	0	0.209546073141621	0	0.164846608886882	0.0232868261368261	0	0.0493081967096802	0	0.0166867675944427	0.0232051974345737	0.259928098014894	0.0488997721508311	0.0445856256413637	0.0466224309740427	0.00179488012568205	0	0	0.00694116051362853	0	0.468562238976215	0.892560238397995
TCGA-CV-6436-01	0.00579410054280643	0	0.0106973262421513	0.368893883743851	0	0	0.0157981827801954	0.0962789264137922	0.00380644531819117	0	0.0332126375109006	0.0441286623924494	0.0167261048142224	0.0292151275081419	0.167452908366309	0.16730574521067	0	0	0.0400466880456734	0	0	0.000643261110645439	0	0.360919153065646	0.949113357326256
