B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-KN-8419-01	0.0808582717753737	0	0.051845496840932	0	0	0.23788417489766	0	0.0547263499131161	0.0092425100382761	0	0	0.0325371571098162	0.0607871637368945	0.0442060700128882	0.0671370660824301	0.255586177509934	0	0.0426433795769937	0	0.00904109812661146	0.0352774820237875	0.018227602355287	0.67	0.00273079389905738	1.07962656925044
TCGA-KL-8346-01	0.181803884524509	0	0.0127736563811252	0	0.0393212365543957	0.0980193089437835	0	0.0526678691358031	0.0771300868805565	0	0.0139102067008473	0.037951886801851	0.0233133400071627	0.163992412225991	0.00885684884985302	0.130133154924318	0	0.00346183086966115	0.156664277200143	0	0	0	0.955	-0.0322550650125115	1.09408401381366
TCGA-KN-8422-01	0.225200956291995	0	0.115337537154232	0.000221423008602682	0	0.167846396610481	0	0.0390583247704607	0	0	0.0329235705837608	0.0515397205133047	0.00295141008984078	0	0.0487340693360195	0.264793627998371	0.0220194812461713	0	0.0293734823967609	0	0	0	0.33	0.0465080622171852	1.05967412824166
TCGA-KN-8431-11	0.229920271536933	0	0.271907128406902	0	0	0.277354484275065	0	0	0	0	0	0.0606128298814228	0.0425836423980154	0	0	0.0782404647086193	0	0.011438728322501	0.027942450470542	0	0	0	0.861	-0.0168777981753913	1.08060066951718
TCGA-KN-8430-11	0.157070567853256	0	0.118588784195082	0	0.0303910962350292	0.345731622243303	0	0.00663765126728715	0	0	0	0.167044020531189	0.0702999560571246	0	0	0.0718573836856107	0	0.000967090125053817	0	0.0314118278070651	0	0	0.863	-0.0171236526519261	1.11905288721593
TCGA-KM-8440-01	0.261228909937882	0	0.210940540045624	0	0.0616907205687815	0	0	0.0208647921146219	0	0.0127255195594982	0.0567182183658417	0.0329938693140502	0.060213958218078	0	0.00360859832117168	0.216934339414035	0	0.0320444280018265	0.0297707842728906	0	0	0.000265321865698864	0.855	-0.0162604449965857	1.07594608773697
TCGA-KO-8414-01	0.0680126021736316	0	0.0266621047543509	0	0	0.123572918389875	0	0.0238924946811748	0.0594083952478277	0.0198730837973461	0.13988199026575	0.0963638369071994	0.0395059514727389	0	0.0434816774859783	0.251840161565169	0	0.0316024797829242	0.0759023034760338	0	0	0	0.196	0.0760586640079965	1.07078913406121
TCGA-KL-8323-01	0.156190476194971	0	0.102535140330457	0	0.0356788551930748	0.00670377555340833	0	0.00141134558822733	0.0513629745511149	0	0.146101954078579	0.0174884206978751	0	0.0622869495652384	0.00600161277331445	0.17215842506835	0.000283809106935821	0.158369015616035	0.0695065162093165	0	0	0.0139207294731025	0.953	-0.0311316582820058	1.08823245113651
TCGA-KM-8639-01	0.114471229927439	0	0	0.095783818788163	0	0.103583779475351	0	0.0591635394250853	0.0156694377222376	0	0.0307549679206341	0.0162798247532514	0.061746815389864	0	0.00937902718777106	0.211654544602283	0	0	0.276945973039843	0	0	0.00456704176807741	0.855	-0.0162743898495637	1.09543363963688
TCGA-KO-8415-11	0.0959526155880896	0	0.120007954055785	0	0	0.203188999713663	0	0.00925254901344861	0.0190289768247924	0	0	0.108848674082527	0.0440638436949942	0.0116866306766604	0.0151723704179501	0.166217483777183	0	0	0.206579902154907	0	0	0	0.95	-0.0299074722866797	1.08679050899224
TCGA-KL-8329-11	0.0861785186207229	0	0.00621946252154158	0.0587254742601075	0	0.216507438788517	0	0.000120169790080023	0.0318312977982706	0	0.00148193433022329	0.037085672628652	0.062222489775446	0.0335383508941127	0.0251847347137945	0.319328812894431	0	0	0.119006189608086	0	0	0.00256945337601515	0.601	0.0102834732330389	1.07945764303533
TCGA-KN-8423-01	0.0609119054934619	0	0.0823322176656433	0	0	0.321067932633101	0	0	0.0113420994752552	0	0.0625666673556148	0	0.0563767203936361	0	0.0263493243647882	0.370844372921901	0	0.00750704800634636	0	0	0.000701711690252822	0	0.753	-0.00496158978990259	1.08857586956168
TCGA-KN-8426-01	0.101955167579643	0	0	0.00685108288161985	0	0.134595089978618	0	0.0605048635324426	0.0253899197538283	0	0.143266929075989	0	0.0133118325018509	0	0.02846714777464	0.377096603061923	0.00976772269155787	0.0585961898648356	0.0310290540413106	0	0	0.00916839726174187	0.612	0.00918268975599466	1.08682981494107
TCGA-KO-8416-01	0.0808035351892727	0	0	0	0	0.113065082284721	0	0	0.0582321111874684	0	0.0678429227148867	0.0274342899719462	0.0151095024848541	0.270345823080302	0.00268809021309896	0.260399190928487	0	0.0523112447663534	0.0517682071786097	0	0	0	0.201	0.0744088960138921	1.07840404276284
TCGA-KM-8476-01	0.158151249517253	0	0.0703236837846873	0.0340938412924253	0	0.014808564857519	0	0.00665511040431314	0.0549166295357253	0	0	0.0385177635692804	0	0.0517924775862291	0.0274708614015178	0.461951306235947	0	0	0.0809166618703604	0	0	0.000401849944742708	0.283	0.0541330919456153	1.07521288952663
TCGA-KN-8434-11	0.217872302244679	0	0.110770392330269	0	0	0.187269174420133	0	0	0	0	0	0.0560842200539004	0.0639847294165198	0	0.0243438707656309	0.293952419786704	0	0	0.0457228909821639	0	0	0	0.93	-0.0262883679687791	1.08642006398386
TCGA-KN-8433-01	0.057658887942974	0	0.022378600625013	0.0714404057643163	0	0.0728184510323031	0	0.0556145383440609	0.0232578111204617	0	0.0879623071618682	0.00723120634017319	0.020212331988251	0.0196018538380307	0.0104256370408179	0.493506215027417	0	0.0108600335382567	0.043399450678022	0	0	0.00363226955803418	0.196	0.0758055344209007	1.07034706167753
TCGA-KL-8331-01	0.221913176208289	0	0.0667879929739037	0	0	0.0937242584102274	0	0.0809237732719147	0.0210915701437008	0	0.0563981108236066	0.0278625119106494	0.00173882102256167	0.105776009340455	0.0222936596127597	0.215453181876809	0	0	0.0860369344051236	0	0	0	0.725	-0.00214944372957575	1.07775931882342
TCGA-KN-8425-11	0.225784194653977	0	0.210022813651056	0	0.0119646940334818	0.18718579517028	0	0	0	0	0	0.133173196820741	0.0263762650404632	0	0.013843301854001	0.114409953522296	0	0	0.0772397852537051	0	0	0	0.944	-0.0281774936605265	1.09042244884657
TCGA-KL-8342-01	0.0942335574260202	0	0.010536230748351	0.058797878962116	0	0.15864603734265	0	0.00894419468037624	0.0265685677249302	0	0.0819446283437958	0.0362927182513626	0.0259286840468374	0.0307613057236588	0.130148662052871	0.249486590914001	0.00878528206752698	0	0.0789256617155029	0	0	0	0.388	0.0380744804787987	1.07905628775581
TCGA-KO-8410-01	0.107185154297774	0	0.0756913766012577	0	0	0.267082101033708	0	0.00636704471136945	0.0348468724230716	0	0.0230783462329036	0.0201668960330557	0.0303928656704578	0	0.0374809089836053	0.330901943046324	0	0.00973582429996378	0.0570706666665097	0	0	0	0.57	0.0133693540178908	1.07198663519069
TCGA-KN-8424-01	0	0.0140971936023166	0.0291560232654511	0.0437438958941389	0	0.261838583152748	0	0.0339659529559774	0.0153180827217583	0	0.041893671527204	0.0526309070813709	0.0923206205262276	0.0632767782852652	0.0140859980907636	0.138669162469271	0	0.002273540465906	0.196729589961601	0	0	0	0.669	0.0029568594825837	1.08367382495711
TCGA-KN-8425-01	0.103951558825019	0	0.0158023707503685	0.0434380073036486	0	0.0534113569384264	0	0	0.0395854035455011	0	0.0311345935072978	0.0153764753339846	0.00443352500466476	0.0441137903839408	0.0376281062415203	0.566892893013917	0	0	0.0442319191517113	0	0	0	0.083	0.121254931050935	1.06461951060484
TCGA-KO-8409-01	0.0965576149381657	0	0.0716089779967152	0.0420125796294265	0	0.0855615206714529	0	0.0154639926340308	0.0163462173918822	0	0.0553726773641834	0.11199658881675	0.127223481379552	0	0.0231018899958108	0.246106116297248	0	0.0126082262464882	0.0960401166382942	0	0	0	0.747	-0.00441598442866771	1.08552184999457
TCGA-KL-8324-01	0.0592379330097876	0	0.112634135651049	0.0684563674623078	0	0.0871545549115043	0	0.0702210459309207	0.029788024428129	0	0.129353752006442	0.0524911893530429	0.0886456574014201	0	0.0316773069484513	0.16995874633724	0	0	0.0987738972549617	0	0.00160738930474396	0	0.599	0.0105628907721265	1.07560163826404
TCGA-KO-8413-01	0.0567017315007877	0	0.0196094597273482	0.0831052079822256	0	0.146119082488555	0	0	0.00977800127185776	0	0.0512400215138178	0.00732972567706111	0.0539885927738307	0.032436100566603	0.0528605578277086	0.380295601171737	0	0.0120891015070253	0.076019312865507	0	0	0.0184275031259352	0.276	0.0562913346557674	1.06632349630344
TCGA-KM-8439-01	0	0	0.0595732716910671	0	0	0.349973270091165	0	0.0288731378455511	0.0551970408864243	0	0.0561551368456171	0.0303626424702426	0.167790422465103	0.0678498082333424	0.0239159894965477	0.0509607471874582	0.00966399537303908	0	0.0751038442992943	0	0.0245806931151477	0	0.793	-0.00862232052957926	1.08658216482612
TCGA-KL-8329-01	0.0296297841564188	0	0.0309227447552116	0.0391226414607835	0	0.204851453497116	0	0.0147462673645847	0.0447452571648954	0	0.00147995031560943	0.0359542652991277	0.0208518928369438	0.147768442925495	0.058081967627766	0.277266255469576	0	0	0.0945790771264721	0	0	0	0.325	0.0472921358696587	1.07054005892158
TCGA-KN-8419-11	0.243823811441766	0	0.119524456319489	0	0	0.2067767044231	0	0	0.0313122648439451	0	0	0.0513553365496475	0.123159128323498	0	0	0.13689629514414	0	0.0473341416201573	0	0	0	0.0398178613342573	0.936	-0.0271976781275515	1.08874310790834
TCGA-KN-8427-11	0.144011274846681	0	0.0292187474739186	0.0586061230051548	0	0.156056962660373	0	0.00545926095237656	0.0838144030396749	0	0	0.0885726819492759	0.133227641309136	0	0.021827324821347	0.159845855202317	0	0	0.115085580404582	0	0	0.00427414433516178	0.947	-0.0290685773309222	1.09145021365371
TCGA-KL-8334-01	0.127604786438114	0	0.0542617584133906	0.000396641317580805	0	0.0710976065221638	0	0.00411328736821182	0.0406233190360911	0	0.0162186761365134	0.0550179793461935	0.0418518694228556	0	0.0691937011102074	0.4046635043776	0	0	0.114956870511077	0	0	0	0.725	-0.00215041326590615	1.08916488575466
TCGA-KN-8429-01	0.195105282404236	0	0.103168121803696	0.0177115644197112	0	0.0121130056764069	0	0.0171518746805123	0.0413587630329007	0	0.0774028619078208	0.0409728935119217	0.000336349794704349	0.153476974919573	0.0375297610229099	0.247195848466384	0	0.0218312893647918	0.0346454089944314	0	0	0	0.566	0.0137036218803556	1.07993836512628
TCGA-KM-8477-01	0.140480276113611	0	0.0341182382883238	0	0	0.0981633636287313	0	0.00785199134808256	0.0504090911240752	0	0	0.0936134157633383	0.041173163627411	0.0890323711721834	0.0557007545142072	0.256495110017709	0.03923000155451	0	0.0914250381122183	0	0	0.00230718473559881	0.846	-0.0151840159976992	1.08783752943141
TCGA-KL-8343-01	0.0891007168639029	0	0.00669962312922187	0	0	0.221698034337719	0	0.00786499658313179	0.0191262107309294	0	0	0.0561378248379466	0.087978160724572	0.132774007223748	0.0224374227537369	0.266655919075285	0	0.00573205659281783	0.0776244368554867	0	0.00617059029150228	0	0.953	-0.0312970867719275	1.09962919400783
TCGA-KL-8341-01	0	0	0.0673675843765994	0	0	0.200932594966432	0	0.0315527172562287	0.0148512855982288	0	0	0.0703321761562599	0.0311196034346792	0.0874657534193487	0	0.177073270621416	0	0.124730644077996	0.135300976574906	0	0	0.0592733935179047	0.973	-0.0387579696034436	1.09122422094749
TCGA-KO-8407-01	0.148227265595283	0	0.0347903677011189	0.133195423887811	0	0.0730810942024202	0	0.0224376637968441	0.0287963466787523	0	0.0590871248050519	0.00746998241241009	0.0622398143799966	0.06525036497143	0.0788200117762153	0.18760543801505	0	0	0.0989991017776173	0	0	0	0.496	0.0221917226541392	1.06895316646595
TCGA-KM-8441-01	0.0323714617598442	0	0.0375175862762629	0.062133881288453	0	0.228002880473171	0	0.00280171250577543	0	0	0	0.0309502268528268	0.120520348600677	0	0.0591251076796767	0.350264966445412	0	0.0115589629090242	0	0.0601665006393085	0.00403943909106879	0.000546925478499795	0.8	-0.00961293696148504	1.0953941277158
TCGA-KN-8424-11	0.126744489895945	0	0.111546774086897	0	0.0822294527201782	0.168289257009059	0	0	0	0	0	0.0847258501171606	0.0168175577617445	0	0.0273961416313763	0.363092441763904	0	0	0.0182794573230933	0	0.000878577690642528	0	0.944	-0.0281574718550104	1.09410707625578
TCGA-KO-8415-01	0.0775202536372236	0	0.0891437834948817	0.0108848841469427	0	0.069168133950643	0	0.0222120363350999	0.0249666039395685	0	0.0421946267407616	0.0460693053192491	0.0318947525807979	0.0445489813056656	0.0706048956827016	0.317333196499079	0	0.0851171071164004	0.0590206983860839	0	0	0.00932074086490125	0.214	0.0713652204793913	1.05513534186987
TCGA-KN-8434-01	0.105605743183102	0	0.0480885660369892	0.0134297106700231	0	0.0665453490407786	0	0.0276541474919491	0.0104027871944798	0	0	0.0533812316695165	0.0254408991049742	0.0353691454618628	0.0590934846576071	0.395358461195449	0.0222646092233116	0	0.137365865069957	0	0	0	0.421	0.0328255299824007	1.07606101828029
TCGA-KL-8339-01	0.185225293714383	0	0.101154492178218	0.0185429866237669	0	0.0957526525313953	0	0.0221640878468618	0.0218960710895277	0	0.022165208687234	0.0391205700342162	0.0367144710827405	0.0149466463031492	0.0998444230972861	0.181623365031021	0	0.0923895145054543	0.0647549303303575	0	0	0.00370528694438917	0.359	0.0420769729568589	1.06378748086017
TCGA-KN-8432-11	0.120253293811209	0	0.193076231933901	0.0287726959943045	0	0.112287990337366	0	0	0	0	0	0.052393700417849	0.11962682924122	0	0.0301880170443387	0.292219661177958	0	0	0.0455113512383453	0	0	0.00567022880350841	0.93	-0.0260450956632116	1.0763398151954
TCGA-KN-8418-01	0.113586302536469	0	0.163999793169237	0	0	0.0740125822753299	0	0.0810585337813845	0	0	0	0.119432392763223	0.0447946527942832	0.0231470372033202	0.0105561604560317	0.182676654847253	0	0.0446459884176451	0.139226990837017	0	0	0.00286291091880768	0.953	-0.0316088135863945	1.07671689064913
TCGA-KN-8435-01	0.00050056438762674	0	0.101934142632316	0	0	0.216179848767469	0	0.0929287530038801	0.00974097602071367	0	0.0227361886240186	0.0594749987026168	0.0136594977228834	0.246092007928815	0.0499174909937145	0.086072954945923	0	0.0243918547372141	0.0763707215328085	0	0	0	0.909	-0.0234984763991182	1.09666976915358
TCGA-KN-8427-01	0	0	0.0538619005194221	0.160880707117918	0	0.193025627955093	0	0.0503215175060238	0.0800487717167823	0	0.000560590921416431	0	0.026008601243855	0	0.0391377225904319	0.259195303746317	0	0	0.0502243410784309	0	0	0.0867349156043102	0.586	0.0118442556447262	1.08428893087533
TCGA-KO-8403-01	0.139137998377504	0	0.0119861526755807	0	0	0.0724387452109124	0	0.0296852689479744	0.0302216579872588	0	0.0232455181622957	0.0220489221642823	0	0.0531530104088263	0.0912879873873272	0.439604969127291	0	0.0011241509258768	0.0849137540099277	0	0	0.00115186461494258	0.228	0.0687915042202227	1.07318053077852
TCGA-KN-8432-01	0.147513314321528	0	0.0272317302817508	0	0	0.167608612031579	0	0.00517888462587191	0.0509280975079815	0	0.0794231601246456	0.0628274691829901	0.0450001333618331	0	0.173141685000158	0.17576361425543	0.00195265511954214	0	0.0634306441866894	0	0	0	0.881	-0.0193947829558368	1.11559804078915
TCGA-KN-8437-11	0.0452727667583143	0	0.160383997560041	0.0850810153562926	0	0.25939553139724	0	0.00144041698364527	0.0394371082085647	0	0	0.0633343824607559	0.0623149580392552	0	0	0.222532130193087	0	0.00445725908304871	0.0563504339597545	0	0	0	0.531	0.0173841178517267	1.06782482416236
TCGA-KL-8335-01	0.0592954499424473	0	0.0353305632264185	0.0754176529111637	0	0.295310989532332	0	0.0444584303762439	0.00535984883628322	0	0.0914775563578519	0.000738252221544295	0.0378945069469754	0	0	0.211270196719159	0	0.0914234534122586	0.0520230995173223	0	0	0	0.891	-0.0202334079931006	1.09490968547086
TCGA-KL-8324-11	0.0674780165507198	0	0.0989746694639878	0	0	0.247455916659947	0	0	0.0624507922076018	0	0	0.0774577017260833	0.0355656604596224	0	0.0221912594537258	0.249092427315945	0	0.00642747153847448	0.132906084623892	0	0	0	0.903	-0.0224279898491723	1.08073738255133
TCGA-KL-8326-01	0.0791144431030991	0	0.152627112559571	0.0639247082175422	0	0.0918204487227269	0	0	0.012855761950497	0	0.0438744234554593	0.0412889539785718	0.09305736426234	0.0575880644065552	0.0409491193716651	0.116112955009416	0	0	0.206786644962557	0	0	0	0.916	-0.0244217536818101	1.07503099742724
TCGA-KN-8437-01	0	0	0.0595440900154412	0	0	0.434342302590246	0	0.0125353315281734	0.0979765836490425	0	0.0210448156006136	0	0.0879527413382522	0.0622896157187855	0	0.0322379919782251	0	0.00140551652519217	0.190671011056028	0	0	0	0.987	-0.0449319110241517	1.11493601330409
TCGA-KN-8431-01	0.0698047639893151	0	0.123490780624535	0.00919885894547191	0	0.128703604011312	0	0.06691768609449	0.0408390986586381	0	0.115967520059458	0.0580162863892422	0.0462366966705344	0.00273361278741528	0.0498708206691111	0.238544203568279	0	0	0.0496760675321978	0	0	0	0.685	0.00156057022088903	1.07759477588282
