B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-BP-4162-01	0.0136340219187779	0	0.0365798429599145	0.296237037409961	0	0.0824249262389575	0	0.0920730607496257	0.0168188831579606	0.0626217506435545	0	0.0318422273794685	0.00148011556100497	0	0.105932788789038	0.243421414548172	0	0	0.00914258615769157	0	0	0.0077913444858728	0.135	0.0978852761476393	1.07467248389138
TCGA-CJ-5677-11	0.0894996842346211	0	0.0277313208818801	0.061851717010136	0	0.183451528305365	0	0	0.03861819371571	0	0	0.0467875515644891	0.0595025482988619	0.00705660025973283	0.0166220953739046	0.288993503289525	0	0.00915164002488257	0.170733617040891	0	0	0	0.959	-0.0361306280737905	1.09238870537309
TCGA-DV-5566-01	0.0988295872957064	0	0.0618970068906783	0.0886271031932652	0	0.185730218617519	0	0.0164737860923474	0.0210491570143023	0	0.000375100860616838	0.00971899948175589	0.0162570879771432	0.0080152053640364	0.103837645067127	0.374161581042753	0	0	0.00415950836464524	0	0	0.0108680127381043	0.287	0.0607538436393105	1.06880232764286
TCGA-BP-5191-01	0.00367865877866233	0	0.0409325799025811	0.104260108902836	0	0.284735954871505	0	0.0347400261674319	0.0851411808027508	0	0.0659213903340417	0.00644468084902417	0.0189692724132117	0.085632322357553	0.0701212071977226	0.183888832723837	0	0	0.0155337846988426	0	0	0	0.001	0.358787508101284	0.93823966334315
TCGA-BP-5200-01	0.037611525292399	0	0.0292265359864831	0.159268173220064	0	0.205747911659485	0	0.0360630416464808	0.0346200675086854	0	0	0.0561670626911804	0	0	0.0635553001200613	0.291368120478296	0	0.00106189097319904	0	0.0526434422989863	0	0.0326669281246798	0.345	0.0497405286657057	1.07768106415128
TCGA-BP-4347-01	0.0928121279803533	0	0.0695777244423025	0.142287553366321	0	0.136257467313698	0	0.053605343359248	0.0152872195432372	0	0.0376672591555351	0	0.0300171508192845	0	0.112556590729169	0.234860472736528	0	0.000879042695960197	0.0741920478583631	0	0	0	0.43	0.03733062795842	1.06787785186653
TCGA-BP-4770-01	0.0364185754773949	0	0.00371019107060324	0.0614276772691179	0	0.227566711025755	0	0.0329733544389689	0.0281264180116636	0.00132515628417027	0	0.000433991941418427	0	0.344567973233343	0.00105134255402972	0.257462130213877	0	0	0	0.00493647847965775	0	0	0	0.611154347968583	0.794248782103372
TCGA-B0-5696-11	0.218893055983365	0	0.0950475006790259	0.00291392358197919	0	0.17444092056364	0	0	0.0107574895931826	0	0	0.0215518731315993	0.0491076179627831	0	0.0768841503648297	0.269991870549278	1.16309336414132e-05	0	0.0803999666566761	0	0	0	0.934	-0.0299439278761857	1.08738951304918
TCGA-BP-4762-01	0.0488440227121375	0	0.0384841374931714	0.110448066708401	0	0.191305930121349	0	0.0127407079609441	0.0149291918382879	0	0	0.00618732456881154	0.0377148823940778	0	0.0495939375304032	0.417239632193654	0.0020609497216588	0	0.0597314907254578	0	0	0.0107197260316456	0.041	0.153837473258466	1.0273779804618
TCGA-BP-4158-01	0	0	0.0115418792766431	0.0914522309399402	0	0.210705226472007	0	0.0175125248572616	0.0296187696318164	0.00383974222193559	0.0186771463190474	0.0196661378117994	0.0491755636879401	0.0534661521287705	0.0680961584203016	0.18739359733549	0	0	0.231428443631794	0	0.00742642726525293	0	0.624	0.0150549575484181	1.08215163476118
