B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-B1-A657-01	0.0407874035598642	0	0.0349002949153391	0.0923208255520478	0	0.152627927563615	0	0.040999838777459	0.0358388498288464	0	0.028506264221507	0	0.016338274925073	0.055261817586266	0.00367166685858115	0.44674687149138	0	0	0.0318906644675378	0	0	0.0201093002524838	0.041	0.164540398009606	1.02930509840234
TCGA-A4-A5Y1-01	0.151735804219877	0	0.102059548349348	0.0194221053673497	0	0.0625249349027561	0	0.0233486602558208	0.0101054543051953	0	0.0394878622047679	0	0.0306280248279258	0	0.0378981246709154	0.509056261786191	0	0	0.0137332191098523	0	0	0	0.202	0.0810816197339536	1.06572164983452
TCGA-Q2-A5QZ-01	0	0.00511726298749362	0.0565274028896589	0.0548955580243712	0	0.0659695456508191	0	0.00712109657660324	0.0597361847143579	0	0.00863414534331686	0.0354067522987803	0.0182128448120302	0	0.00760113271880649	0.598536241126927	0	0.016324859628465	0.0659169732283704	0	0	0	0.00600000000000001	0.250086349063764	1.00048022200553
TCGA-A4-8312-01	0.060221331415681	0	0	0.114082799501062	0	0.256643872908591	0	0.0823469346633444	0	0	0.0157108262276434	0.00497007825612496	0.0655699074780194	0	0.0220147891520217	0.181198022342342	0	0.0219829326192937	0.166664592795948	0	0.008449954999427	0.000143957640500726	0.376	0.0442881399045962	1.06843258479652
TCGA-UZ-A9PX-01	0.00152461305379789	0.00398872915654911	0.000170930074137726	0	0	0.286999442473229	0	0.00654668989748416	0.0557633849718684	0	0	0.080687289082075	0.0695496837114074	0.0272983976525574	0	0.187602916447146	0	0	0.279867923479748	0	0	0	0.516	0.0254546337085997	1.08836614742922
TCGA-A4-8311-01	0.066843270797158	0	0.0596074667726091	0.0813455823782205	0	0.259800772212437	0	0.017071541352412	0.0162675129620346	0	0.0460416907431709	0.0122951054292337	0.0415917142009034	0	0	0.22849308485847	0	0.00631059503916076	0.16433166325419	0	0	0	0.851	-0.013662073460028	1.08455603110978
TCGA-GL-A9DD-01	0.0203540181993624	0	0.00336024852899762	0.0150033734028667	0	0.126236636019397	0	0.00255312146056348	0.00460704367084291	0	0.021590965602523	0	0.0185659693924708	0.366961997708558	0.0126150980039288	0.374965364310158	0	0	0.0300222374633567	0	0	0.00316392623697308	0.001	0.325914532023042	0.984789350786063
TCGA-F9-A4JJ-01	0.0261203784584314	0.00696655541895765	0.0514886954035522	0.299518248534757	0	0.0360204655968627	0	0.0968372569434139	0.115868693468437	0	0.0286183995347351	0.00986599478644704	0	0.0416758269048974	0.0578796450714872	0.146101533990887	0	0.0105338600689001	0.067838740888373	0.00466570492986172	0	0	0.151	0.0943484139427814	1.06038015103267
TCGA-IA-A83V-01	0.0273212103724516	0	0.0286945001557915	0.0887416437321425	0	0.132700766162902	0	0.00717141990735918	0.0193330196545806	0	0	0.00229124620741322	0.00438843544225239	0.0585960741472747	0.0160544194898227	0.567945774616976	0	0	0.0467614901110333	0	0	0	0.001	0.377457408650692	0.935436447003918
TCGA-SX-A7SO-01	0.0233607337300108	0	0.00817920170184633	0	0	0.222211980008907	0	0.0069804282195593	0.0440020339382123	0	0	0.0613900418629709	0.0249978534321023	0	0	0.576296199721508	0	0	0	0.0325815273848823	0	0	0.122	0.109472989633115	1.07373842486563
