B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-E1-5319-01	0.084792099688201	0	0.0796915182400537	0	0	0.101684545753886	0	0.0219520450200696	0	0	0.00557360983885195	0.00588885657478089	0.00692419349570293	0.00881393886686664	0.0174250503613002	0.590551742470334	0	0	0.0767023996899538	0	0	0	0.576	0.0167364326864135	1.10877184025001
TCGA-HT-7693-01	0.0457838898913859	0	0.0869514850009119	0	0.0110553389083193	0.0161745152362261	0	0.0358636111695565	0	0	0	0.011206586267588	0.160029285631966	0	0	0.554785534622649	0	0	0	0.0399734234773872	0.00773273494465974	0.0304435948493496	0.186	0.0805333311600447	1.0925982322473
TCGA-CS-6665-01	0.00672773187165053	0	0	0.0117088979004425	0	0.0835413041061753	0	0.02687284088199	0	0	0	0.05850333971654	0.193505515094483	0	0.0027387239563761	0.442694262863469	0	0	0	0.143502328886522	0.0273343971979682	0.00287065752438297	0.00800000000000001	0.260456881779198	1.00019484096164
TCGA-S9-A7J2-01	0	0	0.261225530225554	0.019430264027854	0.0808422950551366	0	0	0.0257893486210136	0	0	0	0.0711115638625461	0.229444397364146	0	0	0.177174840377941	0	0	0	0.127184674277403	0	0.00779708618840605	0.967	-0.0355488367158774	1.09089560669427
TCGA-FG-A6J3-01	0	0.00866009565028835	0.00737163107580888	0.112017394032046	0	0.144927305588687	0	0.0265737914093621	0.00459944908563934	0	0	0.0701211179995359	0.0304176776670246	0	0.00245449400335847	0.514768169996344	0	0.00146454662028088	0	0.0681640225930254	0.00229756902171104	0.00616273525688848	0.097	0.120120229865993	1.06362298547131
TCGA-FG-6688-01	0.00264975645816493	0.00413840626711442	0.00460689577373184	0	0	0.190865611922273	0	0.0215529014194935	0.0137504491270766	0	0.0548086592618888	0	0.0421618873456733	0	0.00333444800882267	0.521183517921623	0	0	0.123447935722272	0	0.000679198759403099	0.0168203320124622	0.393	0.0385022380283309	1.09182124787106
TCGA-S9-A6TX-01	0	0.00869977136531339	0.108972878528055	0	0	0.225841995959528	0	0.0253751834291004	0.0370432434684922	0	0.123359157415218	0	0.0353128591917235	0.128460435627018	0.0019779172639256	0.041287484984171	0	0	0.247583160897802	0	0.00135843088004983	0.0147274809896036	0.948	-0.029783470010896	1.09509658548491
TCGA-VM-A8C8-01	0.0415864331877912	0	0.145888186828492	0	0.0559042461016704	0	0	0.00241160886483661	0	0	0.0140255267824458	0	0.196294553143839	0	0	0.520548840372643	0	0.00074614572578683	0.0225944589924956	0	0	0	0.44	0.0323973613431355	1.10449538370213
TCGA-HT-A74L-01	0.00265236792985426	0.00105179295568422	0.0244837526217024	0	0	0.281649921216074	0	0.147506980420663	0.0352550179100493	0	0.00940533752128172	0	0.0167037526579757	0	0.000551975457488636	0.329506462253526	0	0.00316806163938442	0.123560710444029	0	0.00276153643128804	0.0217423305409987	0.428	0.0341315246326506	1.07686035280783
TCGA-S9-A7QY-01	0.114860081497337	0	0.22868718381683	0.024116101084604	0.0324261685732123	0	0	0.108800339530444	0	0	0.00448042391915829	0.0213768447964716	0.184611080963816	0.00159686124778998	0	0.259734148835728	0	0	0.0193107657346098	0	0	0	0.973	-0.0381444157678912	1.08150278269643
