B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-FV-A495-01	0.00868437833636667	0.0154816637604268	0	0.12405764868226	0	0.200845800517132	0	0.0307178878708162	0.113849750503311	0	0	0.0333333872049563	0.0465607970916172	0.0558331411351229	0.0941889095347493	0.182695357194671	0.00704191479393102	0	0.086709363374641	0	0	0	0.31	0.0461186613896966	1.07340535047358
TCGA-G3-A3CH-11	0.0743090063559593	0	0.0104005389721108	0.215865029004579	0	0.0547774724674385	0	0.0427692487467531	0.0401888506804453	0.0185430632563798	0.0542162882614565	0	0.00277047212594887	0.0029339456725126	0.0947511353230604	0.362569665977484	0	0	0.0139116214394213	0	0	0.0119936617164497	0.394	0.0307346453373221	1.08966274202611
TCGA-CC-A3MB-01	0.101849693133359	0	0.00725655723287382	0.116188352761418	0	0.140658267493063	0	0.0450365652800244	0.0505039185313333	0	0.0357160410416219	0.0163782768516799	0.0124364172942196	0.0716087530162096	0.098073550939238	0.282286162056137	0	0	0.0220074443688227	0	0	0	0.924	-0.032161684798125	1.1074236969996
TCGA-BC-A3KF-01	0.137219278660028	0	0.039235957438414	0	0	0.253419235079408	0	0.0449577673519353	0.0555354307921305	0	0	0.0253175070147233	0	0	0.0665688808207284	0.304613850652602	0	0	0.063755230809363	0	0	0.0093768613806665	0.864	-0.0239032489729127	1.09138376590522
TCGA-DD-A4NV-01	0	0.00956143878211887	0	0	0	0.251621440988868	0	0.00646490322619363	0.0587127529332098	0	0.0711057396374624	0.0298337026420244	0.115231922095037	0.115758112547656	0.0425685159977062	0.105777658328899	0.0056983938977364	0	0.187665418923088	0	0	0	0.52	0.015697073384684	1.07820150954294
TCGA-CC-A1HT-01	0.00415041125846401	0	0.00991957992423669	0	0	0.171835821771173	0	0.0570331650403116	0.0107603978638671	0	0	0.0537191077763774	0.0195217452451041	0.115926884453603	0.152891259294463	0.338815283571674	0.00484041323628394	0	0.0605859305644435	0	0	0	0.012	0.274782852282375	0.985661290322168
TCGA-BD-A3EP-01	0.0841122180494108	0.0959745189850696	0.0263954526691581	0.0608063260969626	0	0.234210144891612	0.000871622657483348	0.0551961601622882	0.0545006269766767	0	0.0325663942680351	0	0.00315371734111521	0.0280876568812635	0.0544718228530872	0.268621530758958	0	0	0	0	0	0.0010318074088792	0.255	0.0600273752646791	1.06541723121071
TCGA-FV-A3R2-11	0.064520716704549	0	0	0.149949788095321	0	0.0950370016137183	0	0.0440038987541035	0.00480431092324563	0.0285494230368104	0	0.0112078065803352	0.0430134062563959	0.0356882112151602	0.0526634954084565	0.441040266852254	0	0	0	0.026703106488993	0	0.00281856807065726	0.345	0.0392165127053229	1.08844958681012
TCGA-CC-A3MA-01	0.0173907940804697	0	0	0.0513823025878852	0	0.0508134027484062	0	0.0227769599880768	0.0373691615429052	0	0	0.0312053235466007	0	0.560826740504751	0.0303644321625766	0.170846390516211	0	0	0.0261399517429846	0	0.00088454057913324	0	0	0.710689693910277	0.705257113202213
TCGA-ZP-A9CV-01	0.0771856798031533	0	0	0.0751556058489149	0	0.283918445212218	0	0	0.0443681969859017	0	0.0240909563467467	0.00658421294289363	0.0391791852989831	0	0.0832735151755492	0.283094719962854	0	0.0392116614579824	0.0319758175558359	0	0	0.011962003408967	0.597	0.00471967213768451	1.09074481286928
TCGA-DD-AACY-01	0.116850150708052	0	0	0.117250986980048	0	0.232404524222434	0	0.0594636568688961	0.0293063072147591	0	0	0.0796395941087832	0.00522950044370835	0.0449782151806382	0.0341629443421245	0.280714119930556	0	0	0	0	0	0	0.856	-0.0227403167881809	1.1138932674219
TCGA-XR-A8TG-01	0.124177973142569	0	0.0466735037496543	0	0	0.231987330734782	0	0.0468220659370781	0.0572461020582229	0	0	0.0600775770843452	0.012945624723768	0.0958740551954608	0.0999844388272088	0.146101820759599	0	0	0	0.0682314893059691	0	0.00987801848134316	0.612	0.00286110556591381	1.08844263655524
TCGA-CC-A9FW-01	0.0508765293828186	0	0.0243710725870667	0.121687107723428	0	0.0849750924142366	0	0.0399759009836508	0.0935953029851093	0	0	0.0427922284643446	0.016575329774065	0.267350725394327	0.0547076884681898	0.0828844228686765	0	0	0.120208598954087	0	0	0	0.475	0.0212233787687537	1.08549404666556
TCGA-BC-A10Y-01	0.0626346801238123	0	0.00983742302867685	0.0824550428128512	0	0.23771031741613	0	0.0684601685805393	0.0766139625234	0	0	0.0420755626678322	0.0485930796698553	0.0182381524948031	0.127075777053106	0.192926515107448	0	0	0.0333793185215464	0	0	0	0.666	-0.00326294112122926	1.10145924428475
TCGA-KR-A7K7-01	0.00812274128723858	0	0.0443604207764016	0.407412259866762	0	0	0	0.114257740806298	0.0516990032870892	0	0	0.00150982890535879	0.00691239065134406	0.217673682944894	0.0379499852117512	0.0505687399186102	0	0	0.0595332063442526	0	0	0	0.323	0.0427903235143999	1.09778158542843
