B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-69-7978-01	0	0.0385837295371262	0.0622098567142767	0.125249089738097	0	0.142404277719487	0.028023222276218	0.0309637675563849	0.041125716048885	0	0.0619200559643541	0	0.00981113293278441	0.0351165521326481	0.0875932713417296	0.271409622653593	0.0423735830414145	0	0.017425960363779	0	0	0.00579016197922316	0.003	0.301523145873831	0.960023374216957
TCGA-62-8399-01	0.0109094209126268	0	0.111746388154201	0.0767856441730439	0	0.157793494881122	0	0.0742372155730401	0.00374338871915971	0	0	0.0130485920859344	0.0675742323822032	0.054836820098852	0.00923777898058898	0.114414403441628	0	0.0683281979307302	0.194204137016155	0	0	0.0431402856507147	0.375	0.0491800892039648	1.05046870473386
TCGA-78-7539-01	0.0182822250624074	0	0.017772830130557	0.122411463094036	0	0.208665557912203	0.0235244684174782	0.0640123192406195	0.0304024647387233	0	0.0107440686405908	0	0.0230475226462755	0.112076802163331	0.111045252819802	0.140802009560222	0.0640308398048338	0	0.0531821757689206	0	0	0	0.027	0.183932833978626	1.0140256264278
TCGA-50-5931-11	0	0	0.00919738793713407	0.0537382165018291	0	0.113269701690977	0	0.0143773014686605	0	0	0.019951833413261	0.0485062648827657	0.0224266616798372	0.166707751237126	0	0.304263721232144	0	0.0866962961827502	0	0.153526610257282	0.00733825351623238	0	0.077	0.126226633463098	1.06301086965797
TCGA-73-4658-01	0.00510757992089917	0	0.019763667177049	0.0840440372746883	0	0.135951363710106	0.00527532540533962	0.0705037202069883	0.00766543143938677	0	0.00107023784268952	0	0.0366797725582275	0	0.00854415242933691	0.407671213085829	0.120749596644796	0.0570819787643432	0.0384291235038385	0	0.00146280003648146	0	0.002	0.31751172261794	0.956559486591359
TCGA-44-6775-01	0.00285322753308044	0	0.037118002879083	0.0113416268637384	0	0.0919552658882384	0	0.0408987424867625	0.0759128855936117	0	0	0.0235343267332077	0.017460627927713	0.269196259982966	0	0.297000164443729	0.024268803451241	0.046893528623494	0.05961966514375	0	0	0.00194687244938448	0.002	0.380257272215421	0.932059145938931
TCGA-44-2655-01	0.0444321135880532	0.102205349835089	0.133476848620627	0.0250115679103258	0	0.165587769979971	0	0.0665635083137307	0.00706740533486819	0	0	0.0121630867928747	0.0139986518894765	0.0475045916575542	0.0234765227046747	0.20716102759924	0.0985666031809119	0.0132199455802174	0.039565007012385	0	0	0	0.00900000000000001	0.222705593176885	0.984912914895952
TCGA-44-3398-01	0.00840829208927395	0	0.0142689084183418	0	0	0.188583109495684	0	0.0125384585326429	0	0	0.0233634086700091	0.0644567045733862	0.016312456154762	0.0164958098710091	0	0.179410618688654	0.251085636838332	0.0724346155157263	0.142724600913064	0	0	0.00991738023911423	0.00700000000000001	0.233396519454847	0.989686989963948
TCGA-62-8397-01	0.0396316537148796	0	0.0825527518143652	0.0267325822190267	0	0.160122950568057	0	0.00729887344722819	0.0185636329601357	0	0	0.0365777264799486	0.102004591300294	0.0709361098077814	0	0.160571802253829	0.10846403074027	0.0192252535518455	0.167318041142339	0	0	0	0.051	0.147823423954932	1.01497921753324
TCGA-53-A4EZ-01	0.0857871730499662	0.0311316034195698	0.0764810696850872	0.0405926228729975	0	0.0787330371695905	0	0.160657354906364	0.0350279339405613	0	0.0368440280922369	0.00807793607148423	0.0475294084576888	0.101768505243933	0.0481019054237808	0.146323637857068	0.0432005941626088	0.0170776776345868	0.0426655120124756	0	0	0	0.492	0.0319184350249357	1.05747782260086
TCGA-50-7109-01	0.0773061375791854	0	0.112902908078716	0.0273008440268705	0	0.197282174573696	0.0346162820436016	0.110918965633366	0.0227673491294155	0	0.0550513223260452	0	0.0086664535103897	0.0626938249001657	0.0646694463523108	0.159535966537689	0	0.0497695203815938	0.0135541648008884	0	0	0.00296464012606541	0.029	0.174129099962622	1.00822818689461
TCGA-38-6178-01	0.138395298388819	0	0.128460185065643	0	0	0.210971395749784	0.00743910645924378	0.0046220976747639	0.0273535473382869	0	0.0425491486542683	0	0.00644951327783638	0.0125433129171185	0.0563709084419486	0.237480883904019	0	0.0502658502664597	0.0770987518618084	0	0	0	0.0600000000000001	0.138454738123808	1.01680100199255
TCGA-86-8056-01	0.00656070291792985	0	0.0211106683173694	0.00215503339787187	0	0.293253201172266	0	0.0932394713132048	0	0	0.00229611798441358	0.0148248890506057	0.0660056571901045	0.0934168299121385	0	0.153055955856923	0.051774922975251	0.0618879355162367	0.138929101395664	0	0	0.00148951300002036	0.165	0.0851946468088952	1.04603878730188
TCGA-55-1592-01	0	0	0.0412288584899823	0.0478152521552895	0	0.106661341263509	0	0.0759598253776594	0.0179642013845412	0	0.0524144514419439	0	0.0434358275817748	0.221669441192544	0.0193416691208307	0.304545324654923	0.00200983538945407	0	0.0582310987887369	0	0	0.00872287315881076	0.004	0.259007002071624	0.988272349515781
TCGA-86-A4JF-01	0.00351043305010306	0	0.0846655785003469	0	0	0.127582357802048	0	0.123151107047939	0.00379125333775386	0	0	0.0850229704444551	0	0.124196149878475	0.0824833464509216	0.247262990807082	0	0.0322546259975845	0.0796514831958313	0	0	0.00642770348745926	0.018	0.200723317156638	1.00437991913489
TCGA-69-7974-01	0.00628980582414777	0.0131343450361935	0	0.021047854510956	0	0.147781288344186	0	0.0672780332959345	0.00294836155243955	0	0.0531262169606729	0.00241959886132847	0.0128258505629946	0.055931441080284	0.0614641956424827	0.456889721664098	0.0331333957391174	0.0290229858333469	0.0367069050918172	0	0	0	0.003	0.305136372781256	0.966774590087211
TCGA-86-A456-01	0.0551794822103617	0	0.0411621110569433	0.0112530804997289	0	0.181833678854332	0	0.0595230494186333	0	0	0.0145528459707689	0	0	0.195772044262654	0.0536229578921499	0.319332319252083	0	0.0302487544707254	0	0.0375196761116193	0	0	0.091	0.118191793033375	1.05395439980926
TCGA-49-4512-11	0	0.00417198451079641	0.0078192995003764	0.0307072371316572	0	0.159631675684567	0	0.0260256609934974	0	0	0.0231110209364431	0.0234928989347607	0.0447806362573084	0.0676887612037023	0.0698130513258133	0.323873601333802	0.0933558692017583	0	0.114657000469012	0	0.00382766418147831	0.00704363833502627	0.002	0.367816753985903	0.931700620585361
TCGA-97-8547-01	0.000355809710544898	0	0.00938107735661402	0	0	0.126127168601551	0	0.0372810182926731	0.0513143746051951	0	0.0170066482472626	0.00291679933783094	0	0.524214903579124	0	0.101288299575733	0	0.0856118065515101	0.0445020941419616	0	0	0	0.002	0.367155019731336	0.962222201704293
TCGA-55-1595-01	0.0618315942763062	0	0.104214551547898	0.0364768329839858	0	0.191434234254845	0	0.0882060468318126	0.0415777162431751	0	0.014386106967364	0.0143650262190314	0.00173723709277331	0.0462717035663858	0.0415221873487142	0.282717665713756	0	0.0472939259072503	0.0279651710467025	0	0	0	0.00900000000000001	0.225007802912247	0.989147623381392
TCGA-49-6743-11	0.0087041728412619	0	0.00412067933824213	0.0881045812174414	0	0.154263903403471	0	0.026268054809308	0	0	0.00958579593476086	0.0141523615887272	0.0821237649504711	0.197818580753835	0	0.162090472950111	0	0.0414714644998728	0.153389217844241	0	0.0521830025433268	0.00572394732492891	0.028	0.180898870631326	1.01510328453483
TCGA-NJ-A4YP-01	0	0	0.0923522166121192	0.0608043901479958	0	0.0800965037279854	0	0.0692476167643553	0.0586546682714616	0	0.0611426167225569	0	0	0.186612335924023	0.0496551077914409	0.2146285001566	0	0.0919468715569212	0.0331896909410951	0	0	0.001669481383446	0.00900000000000001	0.228046915354785	0.99430990585462
TCGA-05-4424-01	0.0411728591491102	0	0	0.042793168580043	0	0.215808459712024	0	0.0293759609987114	0	0	0.023260842858435	0	0.0122748927463187	0.106246373393351	0.054902939577982	0.362509358231737	0	0.0298080385582076	0.0717596049968368	0	0	0.0100875011972434	0.00700000000000001	0.23475520560843	0.995447758069168
TCGA-97-A4M7-01	0.0228820860912558	0.0415953692846927	0.0266169978945161	0.0423008170279644	0	0.155278287446209	0	0.100878495020469	0.0529819440704007	0	0	0.0193601499971593	0.0577229659364374	0.00108296560520521	0.0362968543926009	0.219147054512746	0.0575193503086512	0.0650988591348122	0.0982598922177668	0	0	0.00297791105911379	0.01	0.215933697414079	0.990244133826212
TCGA-44-2668-01	0.00293226740662229	0	0	0.0685558976319433	0	0.0914759185911445	0.0623966424185836	0.005084892369284	0.0268106546878582	0	0	0.038364935855001	0.0388651321931239	0.396433239938477	0.0791578159703257	0.108026063949139	0	0.0246845742229381	0	0.0473770183124866	0	0.00983494645307329	0	0.467387339142885	0.887061762577138
TCGA-NJ-A55A-01	0.0140509791738143	0.264827816753934	0	0.0771354691064468	0	0.137275600840542	0	0.132441411529708	0	0	0.00448810270833979	0	0.0109039318140529	0.0109651261537503	0.0481286978633057	0.159704344684351	0.00446838325495556	0.0310998339253366	0.104510302191462	0	0	0	0.02	0.19636008014509	1.0036537604283
TCGA-44-6148-11	0.0226926601894596	0	0.00222966688405889	0.0113215023369491	0	0.263292466215325	0	0	0	0	0.0614448834150754	0	0.0571884088632189	0.0965033314787816	0.0443644066499981	0.19878684725429	0	0.0363654533325784	0.11448109824236	0	0.0232694899100984	0.0680597852278061	0.029	0.171749334962743	1.01475099168564
TCGA-50-5939-11	0.00759350633713826	0	0	0.0519370566423635	0	0.17834644032839	0.000921024885617836	0.0320166151275233	0.00763019613890825	0	0.0604567273269671	0	0.141032260234399	0.143811175749152	0.00632624542599514	0.194316635128591	0	0.00441901029317994	0.0928000443975585	0	0.0337482669749683	0.0446447950092476	0.104	0.110917321143485	1.04484925751392
TCGA-05-5420-01	0.0306094172194861	0	0.078162241726927	0.0697304742017497	0	0.122236806747941	0.0152006620293696	0.0643755147492306	0.014967581864305	0	0.0157185276465179	0.012585234730735	0.0180758349546065	0.120021424290363	0.136046528492019	0.229007262724227	0.0223987318352562	0	0.0401283410235382	0	0	0.0107354157637277	0	0.560587253378673	0.836527764226416
TCGA-55-1594-01	0.0320541229516491	0	0.102814306707065	0.0278785975151623	0	0.182643527477914	0	0.0850130082504901	0.000258728826561712	0	0.0537311151345263	0.00442891435909124	0	0.117631896863119	0.0802228947799846	0.262358259289858	0	0	0.0317192558819352	0	0	0.0192453719626431	0.042	0.158205910951987	1.01942320507665
TCGA-44-2659-01	0	0.0332864930608942	0.104281690443335	0.130569827940572	0	0.245899162269641	0	0.0604538472574021	0.0778357131956578	0	0	0	0.00825694255248587	0.0356518293246603	0.0477429971927532	0.20165803924691	0	0.0177485171394939	0.0347854451123248	0	0	0.00182949526386877	0.031	0.168169170974774	1.01747020384023
TCGA-78-7162-01	0.0306495656266453	0.0432673160759604	0.033971488616023	0.119535622063529	0	0.128305714427125	0	0.101025813668796	0.0186261169449428	0	0.0516775604352565	0	0.00184733188734776	0.042283366022228	0.0859175576060682	0.212742621877042	0.00591745970972461	0.0489321135589315	0.0753003514803803	0	0	0	0.00600000000000001	0.242901153630338	0.984773409861933
TCGA-38-4632-01	0.0209218926882696	0	0.0127087881001214	0.0589995123348757	0	0.118638241349811	0.0515158918518542	0.0547658759295677	0.023943644971436	0	0.0388579918058996	0	0.0270517692526885	0.0164026602441698	0.0322561595587849	0.284255787526539	0.112643904814778	0.0639565809575196	0.0591698203053325	0	0	0.0239114783083523	0.003	0.282614215183592	0.965818058740398
TCGA-49-6761-01	0	0.0682079461528159	0.0304360035915883	0	0	0.227475414133802	0.0667940922110958	0.135185903143706	0.00768296122370141	0	0.0140739230175171	0.0619259684586153	0	0.124827856226127	0.0512940966302894	0.145814295248014	0	0.0621008968941653	0	0	0	0.00418064306856195	0.00800000000000001	0.232637414853711	0.992669533377493
TCGA-91-6828-01	0	0	0.0466821117597628	0.12050491187846	0	0.196763508930352	0	0.0671348174893514	0.000300737847158174	0	0	0.0163466249038528	0.0640921986623433	0	0.0827452278798776	0.316793328457578	0.040789453478769	0.00187951479791641	0.0459675639145784	0	0	0	0.00900000000000001	0.228443346340542	0.993208173631919
TCGA-05-4418-01	0.0283147033606925	0.0396529306821207	0.0720608750446823	0.0953252794818969	0	0.128763256479175	0.000230465382635642	0.136752892575176	0.0143387749998432	0	0	0.00742928937078697	0	0.102141233664039	0.0991964719711026	0.252885234915752	0	0.0144164652859133	0	0	0	0.0084921267861835	0.003	0.268527633170192	0.976956671544399
TCGA-99-AA5R-01	0.0450348306329109	0.133447664310781	0	0.127164547128191	0	0.0989254101083721	0	0.103885487506778	0.00712125975116553	0	0.0340416559814028	0.0154848404278257	0.0155242377554777	0.153737346270945	0.0568101468195186	0.170418383263902	0	0	0.0384041900427306	0	0	0	0.003	0.28231308496406	0.969815100721208
TCGA-55-7903-01	0.0222643248806754	0	0	0.086402067201225	0	0.213513880774005	0	0.0442168147826578	0.0293122750995023	0	0.0649283244891039	0.0191013632982673	0.0304651091121073	0.12038402551218	0.103795210824804	0.175641656541646	0.0130513860077868	0.01528052128738	0.0616430401886596	0	0	0	0.053	0.144686982862909	1.03456699245004
TCGA-55-A492-01	0.00717528551939269	0	0.385717108283714	0.0777056874065883	0	0	0	0.0997026241638626	0.0103490185729025	0	0.00313804897049785	0.0177827331283084	0.00168400431427533	0.0300330868426795	0.0126804658137104	0.183290346257438	0	0.0442939348642595	0.119224873383883	0	0	0.00722278247848866	0.029	0.172458403302594	0.996998254211935
