B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-NJ-A4YP-01	0	0	0.100511273730267	0.0626163362789479	0	0.0809391919822728	0	0.0688837691598931	0.0559238994002148	0	0.0592284643418892	0	0	0.184714196580209	0.0516645020451587	0.21152824420544	0	0.0877844855782376	0.0344382680300569	0	0	0.00176736866741285	0.021	0.227861847703232	0.993638100767065
TCGA-18-3417-01	0.00997055109281927	0	0.0926304786326683	0.00725828995375469	0	0.109656438494471	0.0119862217394658	0.0506109448361898	0.0127510419536794	0	0.0475459866751083	0	0	0.388620238453972	0.0298798039976872	0.19151615563125	0	0.00230064626906442	0	0.0452732022698694	0	0	0.012	0.269452813010942	0.997804653013598
TCGA-22-4613-01	0.031387392590984	0	0.0927087728432309	0	0	0.0995144550356552	0	0.135306322197253	0	0	0.0158456204078534	0.0235283907780106	0	0.121233594177272	0.105936629238068	0.298742300088044	0.00891718622324891	0	0.066221405820604	0	0	0.000657930599776071	0	0.405837539293721	0.913576883150964
TCGA-90-7769-01	0.0655798746040124	0	0.0969769820091621	0.0208226108267539	0	0.0934821207203114	0	0.109172392521531	0.0129139698342413	0	0.0470588974771799	0	0.0421799509743331	0.149378858803052	0.00797372671470764	0.142472832818599	0	0.13865539333817	0	0.0576152867726725	0	0.0157171025852733	0.335	0.0590352096169532	1.05440694346431
TCGA-62-8397-01	0.035757275016308	0	0.0825438449596605	0.0262776576724211	0	0.168375584471484	0	0.00155590375383088	0.0164579276649003	0	0	0.0363383677986038	0.102941799922407	0.0671288618794541	0	0.163066217484506	0.114217186209853	0.0192546272592175	0.166084745907354	0	0	0	0.075	0.148295494712584	1.01505142475671
TCGA-77-A5G1-01	0.0614087337820279	0.0151203508118256	0.017151160975833	0.0264151151529284	0	0.0904139523494539	0	0.0687733897891667	0.0230488304066264	0	0.007230427708736	0.00372628093162036	0	0.369936719937288	0.0613112458258101	0.21686322886138	0	0	0.0370176460581932	0	0	0.0015829174091107	0.00700000000000001	0.295204879604345	0.983602372052251
TCGA-86-8278-01	0	0.0104107156110748	0.071012322203306	0.0426739662989663	0	0.142274371219499	0	0.0388167814591181	0.0283101001069185	0	0.0553841325300877	0.0086009600296802	0.016758691574488	0.0868297627683335	0.0757334808743485	0.201574215501147	0.0617993232627711	0.0441155306972207	0.111622239909301	0	0	0.00408340595373971	0.162	0.102498662891652	1.03624236535295
TCGA-77-A5G3-01	0.0673720326182135	0	0.0756997632682019	0.103732775007208	0	0.12375236090666	0	0.123074535310739	0.00627409928526978	0	0.0121746020392313	0.0244435317684575	0	0.173858358442108	0.0712473039597827	0.18971477615531	0.000734729976960076	0	0.027921131261858	0	0	0	0.107	0.127551272564116	1.03569022695732
TCGA-05-4430-01	0.0147236177883774	0	0.00902194406565132	0.0214861953384106	0	0.11252770443126	0.00791968461337922	0.0294359648173277	0.0390166724871669	0	0.00904867477956541	0.00507105470306448	0	0.176065989810477	0.0318428771226856	0.371307844726263	0.0445155442930501	0.0496893243345468	0.0613517594092071	0	0	0.0169751472795666	0	0.405455382742926	0.917124528977485
TCGA-44-6778-01	0.0443202076087074	0.031811265522453	0	0.0285687953420769	0	0.226262573180284	0.0218252042889595	0.0645188728938412	0	0	0.0171195938923516	0	0	0.164654411805312	0.0713853002016121	0.314656647806636	0	0	0.0089824548197633	0	0	0.00589467263800275	0.004	0.321769514514973	0.957180079442254
