B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-18-3417-01	0.0109435423141024	0	0.0941275235148333	0.00746246810437247	0	0.10981256177667	0.0150072573224674	0.0488215996038825	0.0120595200003312	0	0.0485959917242146	0	0	0.396342234470102	0.0304168883685051	0.194265348223323	0	0.000205979301638685	0	0.031939085275557	0	0	0.00700000000000001	0.268046957827599	0.999586660806583
TCGA-22-4613-01	0.0304615556560517	0	0.0946277301460799	0	0	0.109344766522837	0	0.131465776793323	0	0	0.0186916322182925	0.0226878363933566	0	0.124615732850738	0.103226565410508	0.294928726122471	0.00855080125325923	0	0.0613988766330839	0	0	0	0	0.402636611027587	0.915061247929337
TCGA-90-7769-01	0.0614752471970993	0	0.0996492564504492	0.0210742177788092	0	0.0859752492827456	0	0.109892171262732	0.00972303219659307	0	0.0458411561074568	0	0.0440133085701163	0.151644401664752	0.00687953752290332	0.145439070737721	0	0.14258363614897	0	0.0586665983070624	0	0.0171431167725908	0.305	0.0602569197447748	1.05450757891797
TCGA-77-A5G1-01	0.0636008866786528	0.0121350655161141	0.0152723136290228	0.0256024656963076	0	0.0932024971187657	0	0.0682306453627274	0.023874167196868	0	0.00744355615424902	0.00363482270446924	0	0.372214207730966	0.0609579537762296	0.215255565977171	0	0	0.0371594246982844	0	0	0.00141642776017277	0.004	0.294939469493378	0.984038201077027
TCGA-77-A5G3-01	0.0674122141424171	0	0.0699044056936579	0.104329085037047	0	0.122357974854492	0	0.122659481322153	0.00973589253466912	0	0.00832482176405209	0.0275024547354577	0	0.177636045555859	0.0715184338799351	0.188845598792797	0.0010883599762159	0	0.0286852317112472	0	0	0	0.073	0.126827618585298	1.03672071093441
TCGA-66-2766-01	0.0698601033245243	0	0.0795386083842246	0.0611682087931836	0	0.129709965486217	0	0.0556991488934737	0	0	0.0498944085147512	0	0.00529273133753408	0.0434143190565637	0.09890903557844	0.383033181624101	0	0	0.0234802890069869	0	0	0	0.024	0.179002991635299	1.01648109989645
TCGA-37-4135-01	0.0507142789529765	0	0.0648184293826617	0.065609030619562	0	0.0785603311365587	0.0356871886075284	0.0868004592180135	0	0	0.0290001344017949	0	0.0114623413892927	0.0545973234400372	0.123978748352893	0.383290627039649	0.000796358756313756	0	0.0080258948053807	0	0	0.00665885389733879	0.014	0.228421144215386	0.998882553764662
TCGA-56-8201-01	0.00285752738128761	0.00909584635019882	0	0.110079060778944	0	0.109724100959209	0.0282812017333504	0.0382352997716996	0.0118010713080796	0	0.0548186434553654	0	0	0.278683841036145	0.0797777347688619	0.264071666783028	0	0	0.0108287868604484	0	0	0.00174521881338193	0	0.667843718958833	0.759592622939676
TCGA-56-7582-11	0.0103498360354923	0.00271537478036724	0.00372894368042232	0.134226629236674	0	0.122202357255025	0	0.0738080749331986	0.00628757442313841	0	0.0325600512204566	0	0.0303890251888894	0.0935671400246447	0.033454835553984	0.361015566913617	0.00107206837696883	0	0.0809331705596724	0	0	0.01368935181745	0.00900000000000001	0.244822628366642	0.990167954240295
TCGA-43-7656-01	0.0936477834493394	0.0612530785181953	0.0315741067370284	0.109098926480412	0	0.106768668086059	0.0122496270218635	0.12027637271278	0.0253650256523985	0	0.0532420767130864	0	0	0.106128365110191	0.132063292056759	0.134025917408451	0	0	0.0143067600534369	0	0	0	0.00800000000000001	0.260218786102796	0.983004842622717
TCGA-85-8481-01	0.03297335198756	0	0.0437871327898595	0.0303859211743329	0	0.156384679627519	0	0.0387491919633525	0.00103434393984305	0	0.0207418383429239	0.0124480542628862	0	0.321489960533555	0.112400742811065	0.186278038572174	0	0	0	0.0380298238050091	0	0.00529692018992	0	0.529112166367868	0.847869348344141
TCGA-56-A4ZK-01	0	0	0	0.00932161332326522	0	0	0	0.0603970304430882	0.0483582535495334	0	0.00998806761130673	0	0	0.449414572271043	0.12626177790184	0.234218207294347	0.0211255145065947	0	0	0.0409149630989816	0	0	0	0.51558002147682	0.865771679142336
TCGA-56-8309-11	0.00483358819671588	0	0	0.0352805714881091	0	0.178909859944074	0	0.00353946544172638	0	0	0.0290567731347231	0.0106138713262809	0.118430776121303	0.160140905663257	0.0758105938991838	0.253226772076333	0	0.0382546411711797	0.0552532550493793	0	0	0.036648926487735	0.015	0.223154159772431	1.00376568163319
TCGA-22-1011-01	0	0.132798314847134	0.22298341032213	0.0402069973916171	0	0.169252706319842	0.0139585600449428	0.0245593070556431	0.0266007665331074	0	0.068913072726403	0	0.0083870521249033	0.110397237134329	0.0527587264157943	0.0764169832474347	0	0.0331036419882715	0	0.0196632238484477	0	0	0.258	0.0692091764422602	1.03994909492634
TCGA-77-8156-01	0.0363193599970899	0.0138643310576941	0.0251656017236131	0.0667456364865055	0	0.0166075187712503	0	0.0886101996012384	0.0829326989235925	0	0.0386328665202076	0	0	0.388281723460712	0.0607324211337152	0.140238884971649	0	0	0.0418687573527323	0	0	0	0	0.453298758722237	0.892984177183994
TCGA-43-A475-01	0.0334250771517415	0	0	0.189858187536592	0	0.0453719477513264	0.0550550795057438	0.106560918007494	0.0261794791239	0	0.0143889165862358	0.00716041440145077	0	0.10601661869166	0.115243042911187	0.249912976969531	0.00535530886482235	0	0.0454720324983156	0	0	0	0	0.402744672436519	0.915860768465968
TCGA-37-3789-01	0	0	0.0166909468585937	0.0670939036886003	0	0.0629675355330485	0.0667505893660999	0.125207832574256	0	0	0.0580685729680001	0.0239943678428078	0.00926643948823635	0.0558785726858546	0.174298818399393	0.205775119021328	0.00635778184164266	0.0667737771506469	0.034094165798471	0	0	0.026781576783021	0.001	0.326960174659874	0.95866160618297
TCGA-22-4596-01	0.0408415104845601	0	0	0	0	0.183277695913098	0.0226501981240732	0.0576092333175578	0.0204976599139678	0	0.0563083184004161	0	0.00629724796252549	0.177707510784576	0.032415530375256	0.26944800902862	0.0456642636406332	0.033219504305929	0.0448701528977798	0	0	0.00919316485100765	0	0.439655661094006	0.897562744913544
TCGA-58-A46N-01	0.0562239550749652	0	0.186983098872719	0.0944243849729315	0	0.109295084423578	0	0.044141637483765	0.0294790952923737	0	0.0918991256332124	0.0089369628829686	0.030753684614063	0.0740340559945998	0.0128152787965508	0.0855630754118444	0.0428650143666018	0.0287777644106406	0.103807781769186	0	0	0	0.514	0.0303516572630548	1.05049587362809
TCGA-63-A5MW-01	0.0845486782465619	0	0.118245481745756	0.121790127333703	0	0.0173494260235244	0	0.124812737663015	0.0166702500874182	0	0	0.0684261689574068	0.0105128263198678	0.225457289559858	0.0292720161134941	0.150703481300571	0	0	0.0322115166488241	0	0	0	0.695	0.00836609309854968	1.08215999262244
TCGA-85-8479-01	0.00232661642344212	0	0.0110465248855062	0	0	0	0	0.134944181602751	0.0932179406344969	0	0.131548342227917	0	0	0.457281307881603	0	0.0812426952519314	0	0.0754331102505126	0.00951704293615821	0	0.00344223790568141	0	0.011	0.240040986107257	1.02302399968243
