B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-SH-A7BC-01	0.0133311510770469	0	0.024880122517743	0.0650556784503645	0	0.188434368652395	0	0.0336863235816965	0.0056680252141226	0	0.0322352590063862	0.0321701695817395	0.139681310205074	0	0.0799263885104885	0.359376573436234	0	0	0.0255546297667093	0	0	0	0.017	0.236089761423824	0.993954009324907
TCGA-LK-A4NY-01	0	0.0247693506501367	0.0422081354871367	0	0	0.375363755885068	0	0.116535143580227	0.0343168046056461	0	0.0915753170569929	0.0190724044792694	0.0502718079011107	0.0101402644311217	0.00536244445163803	0.219361800819895	0	0	0	0.00835263529601479	0.00267013535574252	0	0.293	0.051405376765779	1.08164861440139
TCGA-3H-AB3L-01	0.0671389220946871	0	0.0743038728290977	0.0184992012354201	0	0.14842021747347	0	0.0785512919457075	0	0	0.0660676227314566	0.0710545233974945	0.0103410096065799	0.01901327143518	0.0641065142247586	0.30220187997744	0	0	0.0692105488471842	0	0	0.0110911242015246	0.087	0.127064523853802	1.03237502200221
TCGA-3U-A98F-01	0.0431435412646573	0	0	0	0	0.235480875575016	0	0.00859656320455625	0.0252031155823625	0	0.0427748001553408	0.0303529525198873	0.0586525050611058	0	0.00576682467082452	0.480936884591017	0	0	0.0690919373752329	0	0	0	0.295	0.0506081796724795	1.08123769428552
TCGA-NQ-A638-01	0.00259551855619347	0.00510120682468155	0.00710413849317319	0.0820768504802363	0	0.0147803177405615	0	0.0690374876408466	0.11158846337057	0	0.00517925528644853	0.0467716229364235	0.0135428301026497	0.332689911843064	0.0464569164776799	0.203473268246653	0	0	0.0596022120008182	0	0	0	0.02	0.22318026201581	1.01497712797294
TCGA-MQ-A6BS-01	0.21493244217077	0	0	0.0428699790597221	0	0.122778899136123	0	0.0898110286067846	0.024105226317116	0	0	0.0556215654651643	0.0504085811737292	0	0.02625594568948	0.33570024700745	0	0.00429039912474281	0.033225686248918	0	0	0	0.305	0.0495831365235503	1.07013281205187
TCGA-ZN-A9VV-01	0.00214902840407511	0.00460970130677261	0	0	0	0.312750574786004	0	0.091267796134944	0.0173818441638441	0	0.0155521800719151	0.0691320516079971	0.0306413000158126	0	0.0214807640867879	0.394856939155214	0	0.00982066822789916	0.0303571520387343	0	0	0	0.166	0.0828493228640732	1.06775364227814
TCGA-3H-AB3X-01	0.0315570275246716	0	0.078515149202013	0.0960227444861313	0	0.057509861312502	0	0.0606694042156001	0.0266181045372758	0	0.0456521465604697	0.00169600144105918	0.0318314463031331	0.068251110036118	0.0563899279968341	0.409673586878164	0.00027190369743881	0	0.0353415858085891	0	0	0	0.091	0.119784661981195	1.04235180796281
TCGA-3U-A98G-01	0.0108868899631349	0	0.000417579282945961	0.0412947923060123	0	0.262733466479758	0	0.0619176931010867	0.000795870929570974	0	0	0.0255921062272732	0.0282496890182063	0.164370160278423	0.0488614280936899	0.338759699348642	0	0	0	0.0135765556405014	0.00254406933075548	0	0.018	0.227580834290927	1.00680875334238
TCGA-TS-A7PB-01	0	0	0.00601248821903729	0.174441434666137	0	0.0617669103046281	0.000558696985678538	0.0817768767213161	0.049101685644577	0	0	0.0648691937614233	0.0468109034974896	0.0652981044623788	0.0376432720497609	0.369171801233759	0	0.0385055444901234	0	0.00132695790820168	0.00271613005548937	0	0.12	0.0971381341077169	1.06291796659366
TCGA-LK-A4NZ-01	0	0.0336804842259326	0.103190560205196	0.000159134259206032	0	0.213171311027165	0	0.065204256245796	0.0592443911516643	0	0	0.0964430074403547	0.0721339641189219	0	0.0530116992808441	0.237651047002661	0	0.00368316723259017	0.0624269778096686	0	0	0	0.231	0.0656107826690714	1.0516412512592
TCGA-ZN-A9VP-01	0.0327077992962214	0	0.0505425381511413	0.110859487694202	0	0.104263068761334	0	0.112597176636382	0.00794908036587027	0	0	0.0260579029314869	0.175884793626528	0	0.0491039921094913	0.321129137801944	0	0	0	0.00890502262539806	0	0	0.308	0.0491198391257004	1.06921839479239
TCGA-SC-A6LQ-01	0.00832888020641128	0	0	0.0549468291708668	0	0.210064365159174	0	0.0295358035661189	0.00462126499386022	0	0.0700763412114544	0.0223852975806088	0.104105195664747	0	0.0349235609758159	0.446787164665246	0	0	0	0.0142252968056964	0	0	0.116	0.0992288985137541	1.06396923530353
TCGA-SH-A9CT-01	0.000221285267153667	0	0.0251186938340181	0.0571966661955533	0	0.257395062415067	0	0.0481072387912447	0.00363852472982175	0	0	0.0606773325054419	0.0675255745917969	0.0816823994668305	0.021697677619131	0.269587013591781	0	0	0.0917643666036518	0	0	0.0153881643885078	0.212	0.0706152023278744	1.05977813289962
TCGA-UT-A88G-01	0.00158069829231414	0.00286358596922863	0.000622905813952406	0	0	0.272819119829458	0	0.0224410326042992	0.0442984263450589	0	0.00229946216206319	0.0215463754423552	0.051853548951783	0.067209844049182	0.0481232885158166	0.243943611250169	0.015815576954962	0	0.204582523819357	0	0	0	0.487	0.0223671042436674	1.07745628696813
TCGA-UD-AAC5-01	0.00815361770148544	0	0.0404099090178802	0.137475101602941	0	0.086036522003433	0	0.0538546732108771	0.063471840493124	0	0	0.0249238380783081	0.225691885115828	0.000192715315921426	0.00841473227768492	0.287730001682291	0	0.00617116739204837	0.0480133540818532	0	0.009460642026324	0	0.187	0.0763569929420601	1.05746133797263
TCGA-MQ-A4LV-01	0	0	0.0493259212106563	0.333646520287205	0	0.0245411120404478	0	0.0940677340785188	0.0425472911351081	0	0	0.0184561650820996	0.0304927540330679	0.0562065061468423	0.105590748108709	0.245125247877345	0	0	0	0	0	0	0.005	0.311837506121218	0.964352479474848
TCGA-3H-AB3U-01	0.00406365058717801	0.020112408012319	0.00477938637664526	0.123816710135427	0	0.0623900860145279	0	0.028036330515399	0.10993185755031	0	0.0275631040724999	0.0511044063670466	0.101409090689597	0.00288968545014647	0.0324300265337756	0.267890718351466	0	0	0.163582539343663	0	0	0	0.389	0.0357807252693547	1.07058048997407
TCGA-LK-A4O0-01	0.0542027778000021	0	0.00467364288853729	0.0846047913090476	0	0.0542138333116606	0.00369441109867405	0.0375359791177996	0.0245347718737553	0	0.011639330025285	0	0	0.269146203441779	0.0448358422952817	0.395566576277396	0	0	0.0153518405607819	0	0	0	0.00600000000000001	0.304442238541088	0.981171691627678
TCGA-TS-A7P6-01	0.00439292157594489	0	0.0268621414646319	0.1191333632705	0	0.208130286816054	0	0.0192906100501102	0.0275918655292497	0	0.00572664352338956	0.0411910595191554	0.127070017064461	0	0.0410760399504205	0.363068429602178	0	0	0	0.0164666216339055	0	0	0.053	0.152663522154564	1.03283117261132
TCGA-3H-AB3S-01	0	0	0.013629947555016	0.062718752433942	0	0.246373741485821	0	0.0202702667197931	0.120226764054495	0	0	0.0870153543144222	0.108673015517117	0	0	0.326269595405371	0	0.000289513078119163	0.0145330494359035	0	0	0	0.309	0.0489901810248305	1.082831501483
TCGA-NQ-A57I-01	0.0157234391690151	0	0.0163871591677463	0.009764290121511	0	0.165325683855365	0	0	0.0294375792288331	0	0.0812020988488419	0	0.0052563854574837	0.114065575914395	0.0199199293744699	0.506770565900173	0	0	0	0	0	0.0361472929621664	0.187	0.0767311606162231	1.09034438837771
TCGA-TS-A7P3-01	0.00306026817627298	0.00103518347801837	0	0	0	0.4487485647636	0	0.0381747571907975	0	0	0	0.0262430973158734	0.10882448545912	0	0.00484595030519368	0.358474743394615	0	0.00282892735044049	0.00596273974890721	0	0.0018012828171615	0	0.241	0.0619484873319296	1.08165264348912
TCGA-UD-AAC4-01	0.0247459335170946	0	0.00271922897215936	0.0941699858516791	0	0.0611195855459263	0	0.0473415034191118	0.0441541089206722	0	0	0.0469281125814948	0.0158796886211758	0.0676345820920326	0.00349910740915109	0.424902320463149	0	0.00694693822800922	0.14906499643394	0	0	0.0108939079444043	0.411	0.0324399015281065	1.08637850912315
TCGA-UD-AAC7-01	0.0153791302034024	0	0.0579184967237681	0.147954281885259	0	0.0153315337620015	0	0.121438554541395	0.0227303146308135	0	0.0332871995332441	0.0150072936949913	0.0551577689199995	0.0294595286368858	0.0955274288966676	0.363344615032352	0	0	0.0274638535392202	0	0	0	0.111	0.101647025676845	1.05064762733055
TCGA-MQ-A4LJ-01	0.000110321527815052	0.0375034054115995	0.0316397461826632	0.162845572279685	0	0.0777634710230176	0	0.145848652751813	0.0146704538990772	0	0.0113900467634719	0.126040756588848	0.0511495100281705	0	0.0101343898580102	0.219439499481668	0.00554611897296938	0	0.104063400535847	0	0.00185465469534409	0	0.24	0.0621212867331029	1.07322331566117
TCGA-UT-A88E-01	0	0	0.0414793522226585	0.0822973260539477	0	0.108139023803522	0	0.0346042750144794	0.0750797961015094	0	0	0.116675615370085	0.0893828288422378	0	0.0671976574645346	0.315055433009463	0	0	0.0646617452165484	0	0	0.00542694690101411	0.255	0.0577389720146203	1.06997025247258
TCGA-SH-A7BH-01	0.00668926117517496	0	0	0.118093823673301	0	0.0301723754813453	0	0.0356344332563053	0.0654034798183992	0	0.010739118285952	0.0126608073528068	0.00789829487726814	0.013253376233449	0.120275575269708	0.521209757314384	0.000946196864760738	0	0.057023500397145	0	0	0	0.00600000000000001	0.300204459684772	0.975860014969889
TCGA-LK-A4O5-01	0.0011751282350404	0	0	0.150274924219908	0	0.186414143564397	0	0.0421581472711092	0.0285031323055868	0	0.0223159101562726	0.0312712716643223	0.128001334709301	0.0981913916886795	0.0605844476248658	0.222725006147406	0	0	0.0283851624131105	0	0	0	0.16	0.0840190541807364	1.06130578389327
TCGA-TS-A8AS-01	0.0413914130106182	0.0339899850248568	0.0446378422463549	0.080484603928442	0	0.223917025332246	0	0.0956457258403933	0.00647132962315127	0	0	0.0443498098521749	0.0756608746960393	0.00215462001982723	0.048555650863914	0.118949146877473	0	0.0681269923121837	0	0.0769976465269164	0	0.038667333845409	0.187	0.0763522137850168	1.05440441207853
TCGA-UD-AABZ-01	0.00139672887549196	0	0.0481202056561137	0.0885301383422295	0	0.063655240551171	0	0.164697525828551	0.0112338273614836	0	0.0383035920244668	0.0557810836669493	0.0396095385804252	0.250820790162725	5.66066751350024e-05	0.0168970008327328	0.00431060495614418	0	0.206442397328862	0	0.0101447191575189	0	0.427	0.0307089776290699	1.08401747433178
TCGA-SC-A6LR-01	0.0212311581758984	0	0.0261501265422584	0.0670342306806757	0	0.0528586784880943	0	0.0818072624845089	0.00925816943209432	0	0.0796350859718188	0.0553235973414067	0.12441682528606	0	0.0224600245328941	0.443569247133333	0	0	0.0162555939309573	0	0	0	0.394	0.0345956735138131	1.09110862460376
TCGA-MQ-A4LI-01	0.0526047143910662	0	0.0506965502866432	0.0902180014541104	0	0.174980395529611	0	0.0870667760496494	0	0	0.00723515731028132	0.0950950132487755	0.0764437879952562	0	0.0157955574723767	0.288331242885174	0	0	0.040863343379059	0	0	0.0206694599979966	0.551	0.0155810760658419	1.08208620012785
TCGA-MQ-A6BL-01	0	0	0.0636897313885986	0.331619528728214	0	0.0192947539765662	0	0.0800073483957786	0.0606360666186499	0.026723018650501	0	0	0.00215630133661925	0	0.198093758247175	0.202024363600323	0	0	0.0157551290575751	0	0	0	0	0.50215823353542	0.864919235596643
TCGA-SH-A9CU-01	0	0.0117000272130911	0.0337311701951499	0.0203311217115302	0	0.226026279299094	0	0.0773792586760429	0.0661610990781242	0	0	0.0992915044055166	0.0884232516426455	0.0213636331970088	0.0164767284655914	0.313294313233351	0	0	0.018350266666906	0	0.00148256577263247	0.00598878044331587	0.818	-0.0134635999383576	1.10053092193813
TCGA-TS-A8AF-01	0.00286250780933336	0	0.0360337442110506	0.095921999722914	0	0.1860897942543	0	0.0520328848383293	0.016380024994548	0	0.0443875260823789	0.0175027949427814	0.0733821288354192	0.0553450954580754	0.0315580371637271	0.26825974394185	0	0	0.110204385771512	0	0.00202587585409182	0.00801345611968992	0.279	0.0534450519808494	1.06106023933553
TCGA-YS-A95B-01	0.0013899309975963	0	0.0490694326514638	0.0348256137517185	0	0.106707713623971	0	0.0579536839087526	0.0329854074133273	0	0	0.115105235988298	0.0148545316845309	0.0274112806965497	0.0111934092453571	0.36121549169788	0.00757242530165755	0	0.179715843038897	0	0	0	0.705	-0.00117897180539342	1.09393582351777
