B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-61-1910-01	0.000414223640350893	0.0039999416827353	0.000839500748766962	0	0	0.196870069151209	0	0.0794815140733513	0.0936752654469755	0	0.0622061357672196	0	0	0.251195515859762	0.0330693754569241	0.235742312136031	0	0.00983397711019408	0	0.0326721689264802	0	0	0.198	0.075611957494194	1.0783169200064
TCGA-61-1728-01	7.06832413776819e-05	0.00684986659391208	0.0197423172195474	0	0	0.284966403254123	0	0.0312551307666011	0.0803631238758927	0	0.0352471347942157	0.00475660345717954	0	0.394324333651462	0.00133832022753257	0.138628102877418	0	0	0.00245798004073792	0	0	0	0.046	0.16149259402039	1.05807670952981
TCGA-09-1666-01	0.101827710074423	0	0.0190980824291083	0.0822714804207979	0	0.118249597279132	0	0.0692490969684331	0.0271097960997727	0	0.0319789372350396	0	5.91202171073848e-05	0.117411234234866	0.135622725538977	0.232384795076123	0	0.0431924427887466	0.021544981637474	0	0	0	0.042	0.167010658740607	1.02842102701129
TCGA-24-1469-01	0.102775584731702	0	0.102355999711031	0.0224522653475118	0	0.161853883804722	0	0.0446266853859992	0.054500335161037	0	0.0146390712607389	0.0267569295123437	0	0.266817502904047	0.093165555913994	0.0982353562816655	0	0	0.0118208299852081	0	0	0	0.085	0.122730013857817	1.04274339289569
TCGA-04-1348-01	0.00193710819354652	0.00323299087406125	0.00907511520045052	0.0630926307243218	0	0.0844725205936467	0	0.130065308038354	0.0497167170398424	0	0.0176868862299388	0.0311654177396011	0.0551790676706473	0.313427298815622	0.0747169851889126	0.145056772207837	0	0	0	0.0211751814832178	0	0	0.00900000000000001	0.279333467847163	0.98425170143825
TCGA-61-1917-01	0.0268202026384262	0	0.0370951422964341	0.0381649520750861	0	0.160891447539943	0	0.0285952136417117	0.0535308786593993	0	0.0219207414153317	0.0278137429000372	0.0251857091172484	0.273609422700867	0.0837097999818049	0.22266274703371	0	0	0	0	0	0	0.00900000000000001	0.280169116114456	0.982158096062622
TCGA-61-2009-01	0.000917601644860771	0.00259662212936957	0	0	0	0.244187419411273	0	0.0205984138595134	0.0343302054757887	0	0.0127274151025748	0.00678869348600007	0.0440703119299038	0.0972758497494685	0.100418255356428	0.306365335463723	0.00728344196555671	0	0.122440434425541	0	0	0	0.035	0.182699633741139	1.01757751181474
TCGA-31-1950-01	0.00155547409190562	0	0.252170679812289	0	0	0.194751621765207	0	0.0858277338436817	0.0860260149659125	0	0	0.0230848587434742	0.0109367402201504	0.050046715567434	0.171454003254032	0.0257275198249092	0	0.00498256471810658	0.0934360731928972	0	0	0	0.191	0.0783032105331562	1.05590749847197
TCGA-31-1951-01	0.00140662990155444	0	0.0625891624566453	0	0	0.314946042773055	0	0.0721555858763054	0.0471062201792773	0	0.0652592231543948	0.0132432364123382	0.0230344190945188	0.162620556157024	0.102246436957898	0.0461161240734922	0	0	0.0892763629634956	0	0	0	0.1	0.111636281728776	1.04575199514171
TCGA-61-1995-01	0.00920603641127244	0	0	0.0522713559120422	0	0.213931060049712	0	0.038252896443483	0.103803372751171	0	0	0.0359942773809135	0.0317569568229891	0.0412883320040013	0.052135073787824	0.398916916471903	0	0	0.0224437219646881	0	0	0	0.158	0.0876952296492455	1.06462505594732
TCGA-24-2297-01	0.101453232229906	0	0.178164209485596	0	0	0.210397885267874	0	0.084691014485582	0.0255422416639494	0	0	0.0387377900267872	0.0336295059301665	0.0705922689627704	0.0101359714311632	0.14158760125191	0	0.105068279264296	0	0	0	0	0.533	0.0202742319281441	1.0603432437289
TCGA-24-1555-01	0.0143301012273838	0	0.0392021705894863	0	0	0.337601527117021	0	0.0488600757868131	0.109983677452672	0	0.0456839142373199	0	0.042119811950354	0.298041563477119	0.00198410972893018	0	0	0	0.0521186638203626	0	0	0.0100743846125379	0.13	0.100613308585537	1.0641284897233
TCGA-25-1322-01	0	0.00178469843134971	0.0596531337496233	0	0	0.304408800745055	0	0.0756306571207143	0	0	0.0301466021945182	0.0553732808828248	0.0204917022960672	0.00589110625455084	0.00663600316851365	0.268360382568985	0	0.115482052573078	0.052796798129621	0	0	0.00334478188509938	0.334	0.050114400762514	1.06505714370723
TCGA-24-1427-01	0.0118157581119145	0.0136178161381035	0.0444360470890413	0.100053004934744	0	0.201684971007199	0	0.0703104716852987	0.0678332041286452	0	0.0248132095981431	0	0.0230270913157804	0.00699813533933507	0.0324744588418283	0.351732499823025	0	0.00379561861622524	0.0474077133707171	0	0	0	0.21	0.07124955028216	1.0599044979395
TCGA-29-1698-01	0.0762602831823416	0	0.091607321299208	0.0344122921752904	0	0.146694414618842	0	0.066420465004437	0.0895579796663526	0	0	0.0410639109752949	0.0291748585889473	0.0663784646377102	0.0796639785573855	0.261717812868786	0	0	0.0170482184254045	0	0	0	0.424	0.0360983813334738	1.0660360998908
TCGA-23-1023-01	0.0459984309012968	0	0.0134309328500951	0	0	0.23387365812413	0	0.131313263567007	0.0460901075398274	0	0.0215315885412798	0.0250090950494614	0.0299519129051772	0.181078075100703	0.150194283224013	0.0814009286916581	0	0.0055812556045208	0.0345464679008314	0	0	0	0.0679999999999999	0.13412572727422	1.0465653766458
TCGA-13-0924-01	0.0440118202195732	0	0.0420269010712263	0.172585092414535	0	0.0854029797549576	0	0.0834379238127922	0.0828069830078829	0	0	0.0435720051145336	0.0469683539866195	0.0522601169779116	0.0657021245818871	0.233157935720597	0	0	0	0.0480677633374838	0	0	0.031	0.191358583512872	1.01061294593065
TCGA-24-1847-01	0.0558323913489853	0	0.0461199428257469	0.165998535943849	0	0.194747087083378	0.00526761357157243	0.0316453739648397	0.074224175533883	0	0.0330044991387472	0.00187623859734581	0.0247574293305758	0.0534477948093179	0.118623421808144	0.174176440438427	0	0	0.0202790556051873	0	0	0	0.013	0.239322423998361	0.993814989191711
TCGA-24-1843-01	0	0.00587506120670757	0.100035209152944	0.0876941590384463	0	0.103655042131607	0	0.00934644578860133	0.0521240455740759	0	0	0.0265176670242287	0.00406591055183693	0.38044136243434	0.0368171193002974	0.193427977796915	0	0	0	0	0	0	0.004	0.373189102409418	0.94017371027334
TCGA-25-1321-01	0	0.00929311344706099	0.0119570682442502	0	0	0.334375817988412	0	0.0993675366235213	0.079616529042927	0	0.0169575165336373	0.0285455434472817	0.0691371238215611	0.174429264726591	0.012012105560875	0.0245621944612385	0	0.00371713275623114	0.12918531199646	0	0.00684374134995339	0	0.308	0.0552422766927991	1.07265559245508
TCGA-30-1891-01	0.053076566079524	0	0.0743851988326125	0.111023555916999	0	0.150569180039834	0	0.0115934834908461	0.03533724512658	0	0.0252787802977504	0	0.00118573991683952	0.145652867384039	0.0529368915167351	0.303256812025114	0	0	0	0.0131676298335081	0	0.0225360495396178	0.126	0.101642222429879	1.05087533366464
TCGA-25-1326-01	0.00177564588948876	0	0.0676753418843369	0.010360805063444	0	0.254822431289684	0	0.0325591223556334	0.0566192284121478	0	0	0.0450904429775848	0.0211577963852079	0.118953125436206	0.0945997769135365	0.27285535060175	0	0	0.0197641357727034	0	0	0.00376679701827627	0.046	0.161453392362638	1.02595346166041
TCGA-29-2414-01	0.189764050152559	0	0.173149096776758	0	0	0.0964572379293474	0	0.0535984956454026	0.0229605321066193	0	0	0.0293132645443635	0	0.303006713831847	0	0.0586621485163334	0	0	0.0730884604967706	0	0	0	0.302	0.0557567747600567	1.06491385928044
TCGA-09-1670-01	0	0.00364713752937705	0	0.0641833041487472	0	0.204767086923212	0	0.0430020730333977	0.034530013918391	0	0.0154820440673704	0.00824540413630929	0.0492047010630454	0.026640498073259	0.0394947157395896	0.357104184435135	0	0	0.153698836932166	0	0	0	0.274	0.0606540850331181	1.06521836435645
TCGA-24-2033-01	0.185942162916401	0	0.0861644690407786	0.187634364836116	0	0.119466429718719	0	0.0804207220306005	0.0602370989992901	0	0	0	0.0298797085121785	0.216730247925815	0.00259462166855434	0.0239190185244359	0	0	0	0	0.00624311067016973	0.000768045156941479	0.328	0.0515341044797214	1.07612165018106
TCGA-29-2414-02	0.042884165074071	0	0	0.0917916217505983	0	0	0	0.171003266364832	0.014480088627025	0	0.00525721577871356	0.0646041398013839	0.00209466684539868	0.185646883963254	0.124916377873135	0.169467870455144	0.0145886682864785	0	0.113265035179966	0	0	0	0.029	0.196229478919382	1.0146698618004
TCGA-61-1741-01	0.105463622184385	0	0.146813682956859	0.0244551912785442	0	0.057766682057818	0	0.0926140155102479	0.0488648576920428	0	0.00482166964348402	0.00454661920659617	0	0.26825816273918	0.0891177933937028	0.155456040141468	0	0	0.00182166319567191	0	0	0	0.155	0.0893726182814255	1.05704039055151
TCGA-31-1953-01	0.0125583809176172	0	0.000709774024928674	0.051064440339706	0	0.117911236340564	0	0.0366591740713179	0.0493691186782367	0	0.0262792178288057	0.0289842957037927	0.0344416887497265	0.255768629375071	0.0773723566514122	0.274808349071051	0.0138509772591476	0	0.0202223609886229	0	0	0	0.005	0.331797951961615	0.957742837779177
TCGA-30-1855-01	0.0592620429730515	0	0.00441262199822172	0.0710607920534594	0	0.162162454085942	0	0.062842412732855	0.098288339436835	0	0.0103306232504878	0.0181866467603076	0.0209734200863011	0.147582058295832	0.0828895741312766	0.249289681613996	0	0	0.0127193325814343	0	0	0	0.081	0.124629028744712	1.04465884794523
TCGA-25-1324-01	0.006393908783295	0.0285861383260697	0.0363833346627355	0	0	0.20481749363607	0	0.201239699509288	0.024262462584188	0	0.0770434933164869	0	0.0658981671064805	0.152144378795784	0.0465359590702096	0.0358012851185593	0	0.0465013303182315	0.0743923487726034	0	0	0	0.652	0.00739970899674444	1.08091301744655
TCGA-09-2056-01	0	0.00466964177899851	0.0496540484966235	0.0533335944543993	0	0.184592855406002	0	0.0338166592337939	0.0535589639887934	0	0	0.0316125556520577	0.0177028812307028	0.0418806767519623	0.0541684104293804	0.312740136446443	0.00752636568548603	0.0230743243024188	0	0.12829668496959	0.00127158781238253	0.00210061336096537	0.231	0.0678333492483631	1.06563541993352
TCGA-29-1701-01	0	0.0147573154335631	0.0284416035635807	0.0319502102048475	0	0.217689959423866	0	0.0569206079892482	0.0158054286946574	0.0434794506794402	0	0.0423156730911126	0.0267112382894798	0	0.115226608791368	0.307038945655235	0.000894372009244991	0.000147702500015877	0.0986208836743402	0	0	0	0.05	0.15553700233374	1.02734682068005
TCGA-25-1633-01	0.0764936255673995	0	0.00267257174943204	0.141234983317756	0	0.208733174966861	0	0.0606120300589252	0.0837989744574862	0	0.0163254214054302	0	0.0284115629221608	0	0.0771749360888037	0.285582996194014	0	0.00444340119985031	0	0.00414293211001516	0	0.0103733899618659	0.092	0.116833319835591	1.04945047858669
TCGA-25-2396-01	0	0	0.0631678065985697	0.0558710586707091	0	0.282405699704201	0	0.0763281788302105	0.0880519299972831	0	0.0291259160968824	0.0038169732856963	0.0282848807359788	0.106909314135364	0.123084468808075	0.096134100480256	0	0	0.0468196726567736	0	0	0	0.087	0.121426513891894	1.04566306506361
TCGA-61-1914-01	0.0352816600384675	0	0.106696191879716	0	0	0.0686436148145811	0	0.0841750965529969	0.00255485312134889	0	0	0.0366287160265253	0.0319989612904174	0.0356866330299409	0.171253556157285	0.38295133896061	0	0.00670100075120312	0	0.034100797287662	0	0.00332758008924546	0.035	0.183034541899341	1.02973980021721
TCGA-61-2094-01	0.0127994792675428	0.00737696181196928	0.0579638901869397	0.134228910098124	0	0.198213161560476	0	0.0454031301352494	0.0884173585378419	0	0.0416947974651646	0	0	0.128261666094528	0.105793458439541	0.179847186402624	0	0	0	0	0	0	0.00900000000000001	0.272955494217171	0.979488896329692
TCGA-29-1705-01	0.0622832968792262	0	0.0100874900715476	0.0153686935243785	0	0.205666101042511	0	0.0120753913663828	0.0324249971578298	0	0.026877214119834	0	0.00140926605052364	0.265895427956653	0.0569663454782172	0.304918894555901	0	0	0	0.00602688179699516	0	0	0.074	0.130094810008895	1.06066664034343
TCGA-36-1580-01	0.0152560568016021	0	0	0.0949981132812842	0	0.16100309407048	0	0.0285103618257852	0.0771974379225116	0	0	0.0421075392172639	0.0196109757105847	0.288795700326091	0.062904040356384	0.186729867588168	0	0	0.0228868128998454	0	0	0	0.051	0.154544903381271	1.04482211125056
TCGA-25-2401-01	0.0251450664450126	0	0.0102093252652637	0.0203365361408195	0	0.167059108279157	0	0.0550168670695367	0.0437888402977151	0	0.0111582527923654	0.0152375934457648	0.0689784326684851	0.0532320183131964	0.11684489240923	0.389363700603076	0	0.0100180794703651	0.00534394034150482	0	0	0.00826734645850781	0.013	0.233820829231721	1.00146416965203
TCGA-5X-AA5U-01	0	0	0.0531549897717062	0	0	0.305238730881946	0	0.107974424936849	0.00882113297305721	0	0.031486177455209	0.0257771940672826	0.00275204831692518	0.406191151828629	0	0.0037317989443641	0	0	0.0288909457047629	0	0.025981405119268	0	0.176	0.0816402333973512	1.09007636964152
TCGA-13-0916-01	0.0622149548028207	0	0.0311342264635543	0.0692623638434438	0	0.0700379144890694	0	0.128958975232085	0.063672660641586	0	0.00298859008871102	0.0096676473649466	0	0.251020018441473	0.17266205883535	0.122147043772942	0	0	0.0162335460240177	0	0	0	0.014	0.232247715233735	1.00899371932315
TCGA-23-2084-01	0.0622153085686546	0	0.082774250216343	0.0263766479895956	0	0.123664338253423	0	0.0412561381049833	0.0305729899644156	0	0.0239486138710593	0.0216984618811844	0.139225827747706	0	0.0720299230822516	0.248689924449526	0	0.102474196346707	0.0202873168769591	0	0	0.00478606264719234	0.226	0.068858557339879	1.05302684071894
TCGA-36-1577-01	0	0	0.034698736243303	0.171647607226291	0	0.0463602817233062	0	0.0155524138528305	0.0606289908675166	0	0.0481880894038837	0.0557338612519053	0.134055468660349	0.39583348570251	0	0	0	0	0.0315053763382211	0	0.00579568872988338	0	0.556	0.0182524359122245	1.11922216510261
TCGA-24-1551-01	0	0.00709447763827846	0.0496607897312669	0.0576750532945793	0	0.127958551130123	0	0.00608071257591522	0.0963375295441349	0	0.0153239255977206	0.0398431506681529	0.0506571393764288	0.270305501030487	0.0630565112233367	0.183551177408839	0	0	0.0323267200355547	0	0	0.000128760745182703	0.00800000000000001	0.297677328168121	0.969127585364688
TCGA-61-1998-01	0.00111608830354119	0.00376318316253967	0.00202866867480348	0	0	0.140102495771277	0	0.0179866392875138	0.0348352565095147	0	0.00857700425841773	0.0384453528614051	0	0.553366126799966	0.00425858382570737	0.184977164424669	0	0	0	0.010543436120645	0	0	0.00900000000000001	0.288620369125378	1.02867722353525
TCGA-20-1684-01	0	0	0.0588294059863144	0.116437388473518	0	0.0661333492411408	0	0.114986639654854	0.0494932590855043	0	0	0.0302861594861385	0.0253417478433122	0.247614581186764	0.0730431938928469	0.082388792012767	0	0.0275023953491509	0.103721731892807	0	0	0.00422135589488207	0.299	0.0563033148141409	1.06795161314586
