B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-2L-AAQL-01	0.00360037995594894	0	0.000471823371434206	0.107205421317873	0	0.0927538232819639	0	0.0360624458754001	0.0852542391758987	0	0	0.0340875050524641	0.024649635235314	0.0980532575218847	0.0174595736508781	0.259540894774327	0.00957402367326694	0.0285073981653265	0.20268351496658	0	9.60639814410472e-05	0	0.093	0.122061647158379	1.03881652862488
TCGA-2J-AABI-01	0.159460698751912	0	0.0102426064296924	0.0413121395426956	0	0.0707670378776673	0	0.0489654604001987	0.127410771556989	0	0.0396303208612785	0	0.029703362757009	0.335964176403141	0.00565357519418785	0.0569726238438582	0	0.0312929577760143	0	0.0426242686053564	0	0	0.028	0.184913761575409	1.02480028899696
TCGA-3A-A9J0-01	0.00214156321153701	0.0363147791538655	0.0633104556930459	0	0	0.179522417976036	0	0.0484437471684906	0.0182048003616652	0	0.0439303965569791	0.0223273146184128	0.0264246199072846	0.422091013533595	0	0.11133316697606	0	0.00191797105457726	0	0.0176414177823644	0.00639633600608593	0	0.029	0.18208366699635	1.04378921374032
TCGA-3A-A9I7-01	0.192468094570893	0	0.0188438804263574	0.0913359353405693	0	0.106896038673365	0	0.0945655371868725	0.0627799656019565	0	0.00808932855147929	0.0135673361169736	0.00178848132290002	0.0828712182108666	0.0630369403417909	0.206187088254401	0.00347376185599851	0	0.0540963935455762	0	0	0	0.094	0.121629083531916	1.03586372179602
TCGA-2J-AABO-01	0.111566584295965	0	0.0230956093292286	0.0602923109517135	0	0.204997575880638	0.00354447335540686	0	0.0258107448582636	0	0.0189218064586648	0	0.00415405234425913	0.183471063828239	0.0223340664678161	0.252262475399271	0	0.0133558803563085	0.076193356474225	0	0	0	0.12	0.108919154919685	1.04590485379798
TCGA-IB-7890-01	0	0.000803683063077177	0.037657468508473	0	0	0.200829819919061	0	0.0141353876474223	0.0387349449636474	0	0	0.0197387348758397	0.0178488159019776	0.39413875857776	0	0.177485067960139	0	0	0.0972960591197109	0	0.00133125946289193	0	0.002	0.339763283471317	0.960305775388545
TCGA-3A-A9IN-01	0.170103712819962	0	0	0.043254721423442	0	0.148557309570705	0	0.0841460979712883	0.026661204497584	0	0	0.0510012342027418	0.00983288119312536	0	0.0228783382314258	0.324332575358266	0	0	0	0.119231924731459	0	0	0.778	-0.000172429463859961	1.09571723104038
TCGA-HZ-7926-01	0.338659755273109	0	0	0.0462035889012537	0	0.135818423501	0.0168148305931527	0.0347653885734556	0.0372858122075457	0	0.03567644691253	0	0.0181210853115146	0.0210591457203595	0	0.154499883133886	0.0302162367183343	0.0922499231426685	0.0361177024284445	0	0	0.00251177758274587	0.137	0.1047892383635	1.04888732226347
TCGA-3A-A9IH-01	0.0267006684236258	0	0.00586828873320468	0	0	0.130494246946965	0	0.0890421443526864	0.0627539191641019	0	0	0.0452992874288932	0.0119379448421108	0.112056769041873	0.0422616244201094	0.286965153075421	0.0536978726906354	0.0513391976331689	0.0815828832472041	0	0	0	0.355	0.0544460280588027	1.06568978777415
TCGA-2J-AABH-01	0	0.0118810000916646	0.0237968412888345	0	0	0.386749319262933	0	0.00819825010815278	0.0865182823976553	0	0.00799656520583369	0.0353680209946285	0.0577757948038416	0.111398644788425	0	0.15031212697754	0	0.00979826525409511	0.0922326693047015	0	0	0.0179742195216942	0.356	0.0543999106768736	1.06889726075051
TCGA-US-A774-01	0.0503815557315167	0.011423589606543	0.0554210687888932	0.0577592595100878	0	0.0377194052508016	0	0.0554405973273465	0.047316063605958	0	0.0201226105788698	0.0229874745772189	0.00485570420620213	0.119411612578631	0.0759286130223292	0.290687318775633	0.0269282054663497	0	0.111891855532966	0	0	0.0117250654406534	0.072	0.133413666929152	1.03044779239068
TCGA-HZ-8001-01	0.0753094522487359	0.00637390159084283	0.00840540392929731	0.0635010383312602	0	0.0722841295026002	0	0.0491782462955218	0.0537992555028238	0	0.0012818801031875	0.0047189706929395	0.0578449354787907	0.0344780393818703	0.0193316287831132	0.400386435076207	0	0.010423840475868	0.127880403776121	0	0	0.0148024388308205	0.002	0.350117002325746	0.939722900485785
