B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-S7-A7WN-01	0.0636672472929181	0	0	0.00984080632723395	0	0.194459535680699	0	0.0176996686265352	0.0464303478431264	0	0.0451954803071301	0	0.0348134750330178	0	0	0.392665990674439	0	0.0744409427876293	0	0.0572208601355524	0	0.0635656452917185	0.575	0.0102173568519209	1.08903292229787
TCGA-WB-A80V-01	0.00144166063884031	0	0.0252388606203094	0.100198816638573	0	0.105095039264088	0	0.00573513343797716	0.0140593267023081	0	0	0.0848420948239137	0.0603749738281281	0	0	0.419437316265769	0	0.0328451525292727	0.15073162525082	0	0	0	0.847	-0.0176404271139676	1.10415475246957
TCGA-P7-A5NY-05	0	0.0166430318371278	0.0287935849479795	0.00176136997031802	0	0.336183402029865	0	0.0295376778584935	0.0315143353602854	0	0.0525461249423435	0.0337692521615594	0.097451586738921	0.00867383426258991	0	0.265413260874278	0	0	0.0944461902734407	0	0.00326634874279782	0	0.299	0.0458665487525119	1.06831083798746
TCGA-S7-A7WR-01	0.0572977270244459	0	0.109037220968309	0	0	0.120078422330371	0	0.0166578267689693	0.0243780228371319	0	0	0.100121004706077	0.127564714271695	0	0.00299435176298727	0.240084125212472	0	0.0118500400342946	0	0.180878910049081	0.00905763403416601	0	0.699	-0.00111499785447056	1.09715451503618
TCGA-WB-A814-01	0.0451466990276884	0	0.0551465218582953	0.000944167415676335	0	0.186898782940805	0	0.0392204715908688	0.0102944860437738	0	0.0167550136064689	0.0356870971434142	0.0298684999925322	0	0	0.471040743824925	0	0	0.105311616598852	0	0	0.00368589995670052	0.555	0.0111761199987845	1.08907428120534
TCGA-P8-A6RY-01	0	0.0394593226401523	0.0469494451389047	0.0736226387985947	0	0.277139945304929	0	0.0236284725248649	0.0849776049615682	0	0.00476049068346169	0.0327453266486743	0.123057054556758	0.112594968128126	0	0.0250698900967632	0	0	0.153480780296111	0	0.0025140602210925	0	0.444	0.0228185029264483	1.07629644686351
TCGA-RW-A67X-01	0.0242921306547136	0.0626433389428773	0.218791007331272	0.0460798908809179	0	0.131831152286872	0	0.0505617063545621	0.0247909043767519	0	0	0.10119795051071	0.0192659848951535	0	0.0148642382273292	0.208709735028754	0	0	0	0.0969719605100869	0	0	0.121	0.0969451095535429	1.03801991435864
TCGA-SP-A6QK-01	0	0	0.0431491985158419	0.0939829511593698	0	0.495202339694328	0	0.0397453951204056	0	0	0	0.0672634902912335	0.103758576325453	0.0206043844516251	0	0.0116485094147542	0	0.00537071084104098	0	0.0624085803881469	0	0.0568658637978015	0.274	0.0525778148955056	1.10458016242264
TCGA-W2-A7HA-01	0.00321733813006329	0	0.0543987759943359	0.0268130559759136	0	0.391234452339915	0	0.0427193088739908	0.0289860962904415	0	0	0.0671478942109116	0.0741496734182258	0.0362489540153586	0	0.158321220471591	0	0	0.108747627974471	0	0.00801560230478192	0	0.335	0.0407472728712952	1.07477549705783
TCGA-QR-A70O-01	0	0	0.158761967764855	0.00513760649518384	0	0.170262964999422	0	0.00342639109726155	0.03015426584756	0	0	0.085436743358776	0.0699884170458386	0	0.0165318462944221	0.428702294489912	0	0.00267076300793114	0.0289267395988381	0	0	0	0.94	-0.0327180664432925	1.10011896076965
