B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-XJ-A83F-01	0.0926952333759265	0	0.330508463026734	0.0431879639124498	0	0.0293326065343802	0	0.030459397268431	0	0	0.0210937926997543	0	0	0.220308208609827	0.00736997405375279	0.158732862720739	0	0	0.0663114977980055	0	0	0	0.808	-0.0130225401712051	1.07453471147082
TCGA-G9-6348-01	0.106393378961276	0	0.231039175993389	0.0838637835219359	0	0.248756569207579	0.00317812131437033	0.0257321777752397	0	0	0.017220965536648	0.00157618705836561	0.00745609445484693	0.00151395399389281	0.0443970456677166	0.16502623170696	0.000983245855587598	0	0.0628630689521933	0	0	0	0.707	-0.00145506349319165	1.06551304515732
TCGA-CH-5766-01	0.108789501273969	0	0.159527166427822	0	0	0.276352519632184	0	0.121971201700349	0	0	0	0.0218083721456354	0.00757747462590314	0.0396470874606215	0.0960246823327279	0.138369406956697	0	0	0.0299325874440902	0	0	0	0.397	0.0343192334094183	1.06452002257987
TCGA-EJ-A65G-01	0.0188300698389898	0	0.305475610263199	0.0519789126591275	0	0.0980414110719895	0	0.134430360247144	0	0	0	0.0566376679463273	0.0332902815454313	0.0387466490893668	0.00311785652069591	0.0859399157761473	0	0.0091624698137383	0.164348795227844	0	0	0	0.916	-0.0282295277218995	1.0679311211183
TCGA-G9-6354-01	0.118934627802286	0	0.259777275974738	0.055734968926626	0	0.134729251916714	0	0.095907213299766	0	0	0	0.0289585516424321	0	0.112286571316241	0.0671081202248602	0.0839832157675301	0	0.001686683648671	0.0408935194801355	0	0	0	0.884	-0.0235060465605589	1.07113355125926
TCGA-EJ-5527-01	0.132183585230727	0	0.194622311636023	0.0401678807644086	0	0.238959089146216	0	0.0313516937364962	0	0	0	0.00395331516568468	0.0148715882383088	0.00361361939968915	0.0407407254963357	0.159145570281775	0.0224490593215868	0.0229187545987105	0.0950228069840388	0	0	0	0.707	-0.00144583189018534	1.0615210054535
TCGA-HC-8213-01	0.125556594289632	0	0.35726221214224	0.0593009480209474	0	0.0930849654688321	0	0.0311011152544991	0	0	0.00202469319076789	0.0118511104909801	0	0.126436154533275	0.0522161367837986	0.114149812349403	0	0	0.0270162574756248	0	0	0	0.998	-0.0657452500385229	1.07985639646368
TCGA-Y6-A9XI-01	0.0484178497375186	0	0.0647011804610486	0.0624549350249755	0	0.18905498656764	0	0.085363553299388	0.0308308711706018	0	0.00576184013449809	0.0231278306213214	0.0246051484830276	0.0420397157061762	0.0508147442204673	0.198302265437804	0	0.00288582588901478	0.171639253246518	0	0	0	0.964	-0.0389779996604251	1.08875692873052
TCGA-EJ-7125-11	0.0718527964556711	0	0.230297939381163	0.0796165254330221	0	0.136892137594115	0	0.101899769137035	0	0	0	0.027543511045482	0.0154004905864849	0	0.058672957822508	0.126891855593781	0.0290167083885285	0	0.12191530856221	0	0	0	0.226	0.0660845899952018	1.03715740186368
TCGA-CH-5744-01	0.107892185892437	0	0.144007147567114	0.0442440712761107	0	0.182787438604764	0	0.109541874244819	0	0	0	0.0223926095763672	0.014062056676215	0.0531377329040256	0.0666946965807393	0.149909059119998	0.0244749194392901	0	0.0641615149469993	0.0166946931711204	0	0	0.684	0.00139185490984833	1.06597749340268
TCGA-EJ-7782-11	0.1172253727299	0	0.161785479089816	0.0280343369233836	0	0.266552597042078	0	0.0949714215707021	0	0	0.0162614891048813	0	0.0018072246580861	0.026248746039851	0.0988541393835013	0.0994550351921384	0	0.0126838618444712	0.0761202964211909	0	0	0	0.158	0.0862380914388238	1.04334886747234
TCGA-HC-A9TE-01	0.0647119432162743	0	0.0658608507685996	0.0754063390230543	0	0.302064885609653	0	0.0799347100614653	0.0404441677127702	0	0	0.0222663283925748	0.0182591889064942	0.0280082563129984	0.040053211409402	0.15824685483286	0	0.0469031573194234	0.0578401064344301	0	0	0	0.097	0.114292464103924	1.04000306784178
TCGA-EJ-A7NJ-01	0.0665825415558187	0	0.24039212302951	0.130016540019056	0	0.130643791054094	0	0.154370753962382	0.000885131610690802	0	0.00796737944126495	0.00848226552174817	0.0144198051147584	0.0441704790888257	0.0908650448456805	0.0766176636798359	0	0.00464680008080948	0.0299396809955249	0	0	0	0.36	0.0405717617979213	1.05935724117583
TCGA-SU-A7E7-01	0.0382694600658644	0	0.121085571589943	0.0527975108210887	0	0.228294414538419	0	0.126825941152013	0.00117506254016405	0	0.00776995733399451	0.0311788542978194	0.0686528470680009	0.116474019109979	0.0359265586395132	0.00391617336739322	0	0.0191089104361111	0.145337060432617	0	0.00318765860707955	0	0.304	0.0494581722015441	1.0556429567729
TCGA-CH-5772-01	0.0579284333301089	0	0.244656164473536	6.27626768950463e-05	0	0.172541659445993	0	0.0879551201315965	0	0	0	0.0690795732484293	0.0223330096284339	0.00499208216608228	0.0643020093537112	0.110706642413517	0	0	0.165442543131697	0	0	0	0.918	-0.0286333667725916	1.07171435254622
TCGA-HI-7168-01	0.170452305609814	0	0.0907786650269102	0.0198297800424648	0	0.155567076149209	0	0.0208135774635365	0	0	0	0.0409171070182796	0	0	0.0737844514736422	0.357218834065053	0.00270379548800585	0	0.0679344076630845	0	0	0	0.957	-0.0365023472540601	1.0945878097014
TCGA-ZG-A9L0-01	0	0.01055798152561	0	0.0429672574574937	0	0.21277651913086	0	0.0432816111753913	0.103114066824152	0	0.0278272155011965	0.0502269380611593	0.0799417642281384	0.0658356971866728	0.035422905371465	0.194349439502464	0.0014481329794691	0.00100963566783745	0.108700430343831	0	0.0225404050442595	0	0.866	-0.0200121816226842	1.09174758054675
