B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DC-6156-01	0.0364669265245006	0	0.0186724290355318	0.0715780569978544	0	0.159235773455344	0	0.013673616413285	0.0303513572516807	0	0.0201277868941563	0	0	0.415305254456959	0.0640524199066409	0.164304778089678	0	0	0.00405490235057589	0	0	0.00217669862379257	0.002	0.313782720235718	0.979398419304335
TCGA-DC-6160-01	0.0360633125298933	0	0.115906129143996	0.0190404489983637	0	0.223472090456197	0.0266391303487997	0.0462651510476646	0.0572799459285096	0	0.102969180933843	0	0.00451969083719941	0.122987757947047	0.0656110467088454	0.134188424332367	0	0.00735032386296929	0	0.0377073669243066	0	0	0.296	0.0658295121216773	1.05475368055973
TCGA-EI-6512-01	0.00990036804196143	0	0.0308258710749884	0	0	0.377254893455581	0	0.0656192544657121	0.0786530621995212	0	0.0556326528631142	0.00315940005274909	0.0267227096818228	0.218370369441769	0.0180960694955098	0.0688341968367392	0.00150156563800105	0	0	0.0423372882826277	0.00309229846990316	0	0.427	0.0444649568824341	1.08738807623767
TCGA-DC-5869-01	0.0511955750978077	0	0.017113950302566	0.00570339309098506	0	0.243853867898749	0.0305706803638208	0.0767892628334742	0.0247549951566642	0	0.0464946292160188	0	0.00179754324758296	0.0956504039984584	0.0689423596873375	0.158316911158141	0.0881692539455236	0.0585960139097532	0.0247650647489753	0	0.00728609534414203	0	0.535	0.0309207846343849	1.07000862826046
TCGA-EI-6507-01	0.0609394413275127	0	0.00518449352974643	0.0958160041382771	0	0.0448382524246598	0	0.0454626096837276	0.060844762344271	0	0.0471944149709018	0	0	0.370800070345495	0.0254362173539008	0.103535858372672	0	0	0	0.106892567296423	0	0.0330553082124124	0.01	0.236140847741665	1.01341724354977
TCGA-AF-3911-01	0.089934377307069	0	0.0430028437525588	0.0600123898030729	0	0.126407203410532	0.0363292530121417	0.0484695351833686	0.00239708167990383	0	0.0496345554604527	0	0	0.102499876203964	0.065164962379211	0.320693105241543	0.0017698486368783	0	0.0365485583131272	0	0.002311409504756	0.0148250001114201	0.433	0.043534494695124	1.06791379445903
TCGA-EI-7004-01	0.0703214595171226	0	0	0.000128909324191153	0	0.120661067819957	0	0.0145015389234843	0.0365936514107467	0	0.0356171237007398	0	0	0.312896564687519	0.0317951438479843	0.353674123078371	0	0	0.0146249542064635	0	0	0.00918546348342051	0.011	0.231247231595254	1.02356801262746
TCGA-G5-6572-01	0.00303899800450567	0	0.0945889462381831	0	0.00527372689902057	0.0737076681469412	0.0723064363216012	0.0379858242312237	0.0119600698677661	0	0.117968888514661	0	0	0.465324674055378	0	0	0.00290043571548659	0	0	0.0703869361026954	0.0445573959025379	0	0.419	0.0457409210950398	1.11613483799512
TCGA-EF-5830-01	0.037295411615059	0	0.0448751133621688	0.059093363218651	0	0.160135031216192	0	0.00682373646764913	0.0833432607017212	0	0.12219763349599	0.0338496844725293	0.00941299675278143	0.148618737831974	0.0701359930497649	0.181755075128877	0	0	0.0424639626866432	0	0	0	0.692	0.00912708016338372	1.09155246844923
TCGA-F5-6812-01	0.0788089728985571	0	0.00952112750743123	0.0366340821539928	0	0.176353037881639	0	0.0660370185043773	0.0484803494445405	0	0.030025461444316	0	0	0.287528286316464	0.116203296319673	0.141911666929255	0	0	0.00849670059975404	0	0	0	0.039	0.170687037559106	1.03577923904809
TCGA-CI-6624-01	0.0678652212166174	0	0.0576297687993659	0.0306111089375429	0	0.202742199087048	0	0.043791091212792	0.0956648940845768	0	0.0503880092466251	0	0	0.208814527677449	0.0379389684954327	0.143960544257654	0	0.0343126811279973	0.022795240880349	0.00348574497655004	0	0	0.147	0.105724614984395	1.04549023083132
TCGA-AG-3902-01	0	0.0040345893727714	0.0291879127890316	0.161203105343307	0	0.0547270397773355	0	0.136919117775709	0.040234586677453	0	0.0384571568395251	0.0343355822751788	0.0326465967739785	0.0732668279624539	0.0840355853870123	0.224698472314032	0.010972099822372	0.0443745535112805	0.0166314571657534	0	0.0142753162128052	0	0.051	0.158975138556911	1.02743814017769
TCGA-EF-5831-01	0.108083263861145	0	0.0867574808967547	0.014712973101157	0	0.11805221967243	0.0394710851856744	0.0474837410156794	0.0355640577368894	0	0.041911243507024	0	0	0.213021976577301	0.0809256954602969	0.197595380937717	0	0	0.0164208820479311	0	0	0	0.34	0.0584629021095731	1.06356462959851
TCGA-AG-3731-01	0.0694695930707538	0	0	0.0277988712543024	0	0.202422271768214	0	0.0843659032438543	0.0295584833629448	0	0.0334802856350336	0.00360348584614919	0	0.146609042220455	0.160544115881654	0.194952695082827	0	0	0.0288617332762628	0	0	0.0183335193575488	0.00800000000000001	0.251601736014095	0.993155601792886
TCGA-AF-A56L-01	0.0739135333163672	0	0.0326540015297943	0.0508400308988729	0	0.0523517664559136	0	0.0978652457035691	0.105077719036639	0	0	0.0174341553595422	0	0.24581170477397	0.111335537500943	0.168182944345473	0	0.00109957684550546	0.0434337842334108	0	0	0	0.435	0.0428820840284862	1.0829784520605
TCGA-DT-5265-01	0	0	0	0	0.00606699177109958	0.100617785579906	0	0.0134741984287933	0.0472243344229367	0	0.0463558811612937	0.00281026495830459	0	0.427690241930846	0	0.341704326561461	0.00280600841367291	0	0	0	0.011249966771686	0	0.032	0.178354230799966	1.08323237952112
TCGA-F5-6465-01	0.0393422276282261	0	0.0478793889466451	0.0158197029868249	0	0.20191405875966	0.0657103087915341	0.0905684660849349	0.0310265759711489	0	0.0893803796171127	0	0.0203402786258762	0.173948411915781	0.0560997943590744	0.137735161000984	0.00407234893564167	0	0	0.0261628963765556	0	0	0.103	0.121822915076428	1.03755198646807
TCGA-AH-6547-01	0.022466058085322	0.123959355539762	0.0646429523202088	0.035583691493029	0	0.154451197358681	0.0135473191654239	0.0404968306836387	0.0376686758680695	0	0.0786610949091955	0	0	0.235517873627818	0.0363091603207575	0.134203324965205	0	0	0	0.0224924656628894	0	0	0.025	0.194518278309978	1.00843687133888
TCGA-F5-6811-01	0.0702989987118884	0	0.0449706546345391	0	0	0.1699840665444	0.00767167229452599	0.0242970679146349	0.0572651627726248	0	0.0237784866842934	0	0	0.335975167042202	0.0652209055900388	0.177895382784667	0	0	0.0226424350261852	0	0	0	0.11	0.119325357693957	1.06092045367247
TCGA-F5-6571-01	0.0208396376441391	0	0.00657511427027553	0.0354033491591358	0	0.217819338123633	0.0265480265464342	0.0326654303522673	0.0386467063267905	0	0.0563336818811976	0	0	0.272210406861524	0.0240831365542392	0.170355439797693	0.00904707726063923	0.0653485741877411	0.0241240810342903	0	0	0	0.05	0.161562237222942	1.03472076539308
TCGA-AH-6903-01	0.0584426423692548	0	0.130206684741987	0.01608446165667	0	0.364877908611231	0.0473306247066534	0	0.0456632925401524	0	0.052758521191156	0	0.0103036758759073	0.056402189392917	0.00704404676891156	0.146573850174075	0	0.0316333010209766	0	0.0326788009501082	0	0	0.816	-0.00773906860801026	1.08176205679084
TCGA-DC-6682-01	0.107202757478688	0	0.0120668202620929	0.095672838920553	0	0.197751353385945	0.00632234012825486	0.0747784633017525	0.0763098938768835	0	0.00483645020551981	0.0115793652129019	0	0.216275421600972	0.0559873763748066	0.136627899600428	0.00458901965120082	0	0	0	0	0	0.548	0.0291737095671554	1.08900788076448
TCGA-AF-6672-01	0.111436796834371	0	0.021941512098991	0.0993228239385354	0	0.244037225098961	0	0.105527406220753	0.0799653706974898	0	0.0782196847466338	0	0.0313231695331354	0.0258448961158622	0	0.0716992586822942	0	0.0345398126243198	0	0.0961420434086542	0	0	0.44	0.0422067480453809	1.08579039534999
TCGA-EI-7002-01	0	0.0154067577292095	0.0109221274009871	0	0	0.254764945088456	0.00774248757166868	0.0491979477944083	0.090917655725507	0	0.121096788069153	0	0.0410798267205828	0.261490757315677	0.013069550827238	0.0635369708980425	0.013561709142668	0	0	0.0572124757164011	0	0	0.401	0.0485797969082569	1.08533198208799
TCGA-BM-6198-01	0	0.01150986907546	0.038667692226709	0	0	0.147119970676678	0.0221995474152793	0.106868876868764	0.0147803077739923	0	0.0622278044763474	0	0	0.285215355643139	0.0799620888689926	0.18118308006671	0	0	0	0.0464518897616032	0	0.00381351714632434	0.03	0.182734864879175	1.02753288915375
TCGA-F5-6864-01	0.0714804710014989	0	0.0137956535434156	0.0376932293138168	0	0.158159728278077	0	0.060692553736237	0.0237031119269824	0	0.0206825144583376	0.0078807503910816	0.00440477046093229	0.24734208998841	0.0908336832844736	0.225983287457223	0	0	0.0373481561595143	0	0	0	0.149	0.105285533733316	1.05970683069318
TCGA-EI-6881-01	0.0480299239423723	0	0.0423561487691999	0	0	0.257485968835814	0.0287944206360185	0.0286030097339576	0.0557127822692368	0	0.0950460167750134	0	0	0.113532476902875	0.00886604521629033	0.130033055294187	0	0.0580230142308078	0	0.0723310625092824	0	0.0611860748849455	0.41	0.046842858927854	1.06548907642273
TCGA-DC-5337-01	0.0407149721324166	0	0.0219429480523028	0	0	0.322044474621958	0.0466863497451622	0.194854708773584	0	0	0.0270057291493085	0	0.00869190448877362	0.0871114886435031	0.124390517747768	0.102557071602234	0.00669825979634928	0.0170321277587899	0	0.000269447487850038	0	0	0.33	0.060151979916117	1.08149478094725
TCGA-G5-6235-01	0.0317654392907305	0.139227974800066	0.0122122602811053	0.146471733912221	0	0.0994906996896747	0.0613560841435369	0.212217330704836	0	0	0.0543762957609228	0	0.0264722718223963	0.10230752117312	0.0478533906566254	0	0	0.0340772029811471	0	0.0321717947836177	0	0	0.934	-0.0285428581894806	1.11061887362838
TCGA-G5-6572-02	0.0173360186939689	0	0	0.0883365925264232	0	0.192024508718973	0	0.011905294066399	0.0651526121255805	0	0	0.0471306307621722	0.059647230818939	0.177172929233779	0.0781951326125156	0.096983418884159	0.006604502704813	0	0.159511128852278	0	0	0	0.382	0.050946326955214	1.06939299564287
TCGA-DC-6681-01	0.0599186718727977	0	0.1560440140752	0.00774602374775259	0	0.200120921376772	0	0	0.0463287362321081	0	0.0347924932414464	0	0	0.338559551451876	0.0367834464703874	0.0936099303961037	0	0	0	0.0260962111355563	0	0	0.32	0.061549912280713	1.07429753887377
TCGA-EI-6511-01	0.0480122361490575	0	0.0627756031387956	0.0544225604417492	0	0.146045146355618	0.0471622805475501	0.0247149533852462	0.0409217644589079	0	0.0563685424042131	0	0	0.305256853355573	0.0718036367341746	0.137721493209616	0	0	0	0	0	0.00479492981949985	0.00800000000000001	0.253131605419513	0.991152785427468
TCGA-F5-6464-01	0.0402886932022857	0	0	0.0935755007615276	0	0.15434196650736	0.000133960496561062	0.0326454546153485	0.0699708428324563	0	0.0058929696162717	0.00355724995235926	0	0.203552008370926	0.0644338982161715	0.295847276698309	0.00348222672863608	0	0.0243422167006392	0	0	0.00793573530114833	0.041	0.168030192400386	1.03282647806294
TCGA-EI-6509-01	0.00101899204029095	8.90537921438827e-05	0.0360442551302666	0	0.0540400296688235	0.193880026713002	0	0.00359924099467162	0.0115463425565736	0	0.053797307724254	0.01204148844745	0	0.582297351384198	0	0.00657375016976616	0	0	0	0.0450721613785597	0	0	0	0.526761448141696	0.857386435168189
TCGA-AH-6897-01	0.0357953916463726	0	0.157956765390922	0.00538536593330066	0	0.272905474785069	0.0701410600961193	0.0311587051699352	0.033307716994056	0	0.0697983046027317	0	0.00130902471822471	0.101727770703949	0.0565567214138593	0.10822120800303	0	0.0483425256616239	0	0.00739396488080686	0	0	0.928	-0.0265423488146154	1.08321863202061
TCGA-EI-6508-01	0.0678930114665143	0	0.139175245583444	0.00619150996667065	0	0.231580253844897	0	0.055035889154033	0.0613590033542704	0	0.0347561555187662	0.0169603248851844	0.0147407025725018	0.0320246510365823	0.0390551606345507	0.256867893780153	0.0111400534751127	0.0230002867194183	0.0102198580079015	0	0	0	0.844	-0.0114146299473526	1.07619260477947
TCGA-AH-6544-01	0.289713238226717	0	0.174125687812843	0	0	0.147288200146743	0	0.158805785777872	0	0	0.0205715928892414	0	0.000856030883434402	0.120821776938009	0.0013681841557744	0.0141759066838555	0	0.0450612052946031	0	0.0272123911909075	0	0	0.749	0.00194184792489787	1.08436886986962
TCGA-DY-A1H8-01	0.0142180679587005	0	0.0297464904777109	0.0227583795642963	0	0.444800255472597	0	0.0527299978372611	0	0	0.115718335642156	0	0.0203270377373484	0.174943020505933	0.038817682597438	0.063222804097815	0	0	0	0.0227179281087442	0	0	0.539	0.0298929434555073	1.10103722762373
TCGA-AF-2693-01	0.0825855202623497	0	0.0929107619696653	0.0382436624385801	0	0.212200880616196	0.00441256478202534	0.052769454599916	0.0563916881566152	0	0.0382163228871578	0	0.0048337020414352	0.109107689622835	0.0490823844729937	0.160750172028759	0.00467007553392622	0.0303449249259923	0.0329116768630615	0.00252139968627431	0	0.0280471191122176	0.438	0.0425527932487607	1.05805868242189
TCGA-AF-5654-11	0.0424723896069222	0	0.332099115786354	0.0402638700534829	0	0.103327658530894	0	0.0353012614683805	0.0149674898595222	0	0.0157836629715135	0.0269397405958149	0.0599180744353639	0	0.0227238670707474	0.199858881454026	0	0.0326978836902954	0.0736461044766828	0	0	0	0.968	-0.0411725552716507	1.06216797717568
TCGA-CI-6622-01	0.0479715027802268	0	0.0924127470552384	0.0742360213294973	0	0.256502084970522	0	0.0507380027759341	0.0668614101830623	0	0	0	0.0499610331052057	0.0561492172748757	0	0.176260843878433	0	0.0167881920085803	0	0.089711010385307	0.0224079342531173	0	0.936	-0.0293690363039278	1.0902041537479
TCGA-EI-6882-01	0.0317180527782567	0	0.093292251910447	0	0	0.318217219696987	0	0.0357121062415914	0.0586401019955467	0	0.0297348481966961	0	0.0105588915668786	0.186638480752178	0.0722718771565858	0.122927746646741	0	0	0	0.0402884230580909	0	0	0.401	0.048646181711187	1.06943773413797
TCGA-AH-6643-11	0.354977735216636	0.0261121493390019	0.0785093208275614	0.0677941039623512	0	0.092200849071789	0	0.0981290818432001	0.0259505894229807	0	0.0462352196987429	0	2.32328241036351e-05	0.046615889500802	0.00658108536085624	0.134272375951389	0	0.00808199798533259	0.0122986286155707	0.00221774037968265	0	0	0.055	0.154857917764992	1.03385087651593
TCGA-DY-A1DC-01	0.110046766980877	0	0.104587606063305	0.0577731717286872	0	0.125621501177605	0.00084080694590941	0.0614822197958516	0.116671951380063	0	0.0271962539362054	0	0	0.0893965600599674	0.0915746248214459	0.203339805850208	0	0.00296238875694819	0	0.00850634250292717	0	0	0.354	0.0562855319282138	1.05913290550896
TCGA-EI-6884-01	0.0370905658643242	0	0.115026408392472	0.015371208533098	0	0.159021186531181	0	0.0427081990738905	0.0829167136126832	0	0.0707575720706069	0	0.0209931377721401	0.186729077988133	0.0302461527097323	0.177937490212734	0	0	0.0228801187996012	0.0383221684394039	0	0	0.213	0.0855381714864874	1.04663762594847
TCGA-AF-5654-01	0.0621982145319027	0	0	0	0	0.301751277970857	0.116161751742259	0.0386947693917508	0.00144969191768443	0	0.117367907621701	0	0.000289634799643347	0.0879006575473949	0.0557661586678448	0.138961738568597	0	0.0488335341175402	0	0.0306246631228249	0	0	0.703	0.00729760624229737	1.08989661109908
TCGA-AG-3725-11	0.0443173985326805	0	0.153599860681323	0.0103627006362227	0	0.135401514443616	0	0.0040646892297932	0.0227536198436225	0	0.0208872828788901	0	0	0	0.0264154229829809	0.364831045998162	0.0883446164630799	0	0.121339423378806	0	0.00768242493082313	0	0.018	0.215004079946108	0.991802048682337
TCGA-AG-4021-01	0.0175202543127407	0	0	0	0	0.106027663495394	0	0.00700129676061701	0.0339916944132684	0	0.0830403178821211	0	0	0.478274006013282	0.00528324045880851	0.164027294435136	0	0	0	0.0897438497549792	0	0.0150903824736532	0.042	0.165691965045164	1.08397699376757
