B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-FX-A48G-01	0.0562559785257855	0	0	0.117568100820964	0	0.0720921210460433	0	0.0731005562304561	0.120065926671627	0	0.0222142938760915	0.0578934950091624	0.0832485928927226	0.0186723641165312	0.0160642193344614	0.221425216107619	0	0	0.141399135368536	0	0	0	0.206	0.0759977010014638	1.05460108841919
TCGA-HB-A3YV-01	0.205541806307624	0	0.00391208525650092	0.184927717672372	0	0.063867267913101	0	0.114972547466956	0.0435117523379417	0	0.0108284470205337	0.0330782766828479	0.0822373127401945	0.0325640785430953	0.0303837808816038	0.194174927177229	0	0	0	0	0	0	0.79	-0.00970932881725503	1.09923818455221
TCGA-DX-AATS-01	0.00224319530618732	0	0.0373775092153376	0	0	0.150245598103755	0	0.0309697500144123	0.0535304107436802	0	0.0370056433651503	0.00251682708014519	0	0.34332476636535	0	0.286525765608546	0	0	0.0562605341974364	0	0	0	0	0.691976473426755	0.739260381245275
TCGA-FX-A3NJ-01	0.0364480464547305	0	0	0.0228898504473027	0	0.1307631049012	0	0.0114459935907454	0.0198986704882726	0	0	0.0347023390176415	0.0720062839358974	0	0.0454115252580562	0.266684893626509	0	0	0.359749292279645	0	0	0	0.338	0.0497389991494496	1.08706169845601
TCGA-DX-A1L2-01	0.00248151858777031	0	0	0.0206725908336181	0	0.149696534397327	0	0.00374958340996198	0.00283864273868709	0	0	0.0395329810746363	0.0355690945652154	0	0.0484996447439253	0.553149521957111	0.00363080973169131	0	0.140179077960055	0	0	0	0.053	0.151885006507974	1.0480660868965
TCGA-3B-A9HX-01	0.0182352653366807	0	0.00228170158579638	0	0	0.130526266145899	0	0.0414123232562366	0.0375066152453234	0	0.0883034917149953	0	0	0.135344066329598	0	0.200075407608152	0	0.119689396578845	0	0.177254195622333	0.00196221237998225	0.047409058196159	0.028	0.19208083213649	1.02109448013284
TCGA-WK-A8XX-01	0.0125890057739206	0	0	0.00834076122551792	0	0.0847297273288537	0	0	0.0201910383929753	0	0.0257943709238511	0	0.045805866542683	0	0	0.684441211896556	0	0.0173154334219874	0.100792584493655	0	0	0	0.00800000000000001	0.264852456865877	1.0101875377619
TCGA-DX-A3LS-01	0.0493171576121157	0	0.0132194241035145	0.0318009770225504	0	0.252761913945176	0	0.00301304163806789	0.0483920485501093	0	0.033933415681936	0	0.0206571100350418	0.0224839703944571	0.056586330307568	0.467834610709463	0	0	0	0	0	0	0.002	0.386943451691881	0.9256377595758
TCGA-DX-A3UD-01	0.000569515077310807	0.0143241969633261	0	0.00597773303432299	0	0.0764977506455584	0	0.0315207793728385	0.133260547973249	0	0.0374840546060452	0	0.0260038573740205	0.000679851703726753	0.0440826645330468	0.416349388972068	0.057600447931437	0	0.155649211813049	0	0	0	0.302	0.0553687076629061	1.06990914784657
TCGA-3B-A9I0-01	0.0263968409698366	0	0	0.0383495813136994	0	0.138753473327929	0	0.0435416098910599	0.0878663502756301	0	0.0449572966285086	0	0.0512829545024507	0.0359974855615454	0.0423795381948242	0.383228573121617	0	0	0.107246296212899	0	0	0	0.012	0.245800860220785	0.986572157262009
TCGA-DX-A8BM-01	0.00722793945507748	0	0	0.044367940402614	0	0.228641395462165	0	0.000571945603241888	0.00139087385434382	0	0	0.0228918297098452	0.074922425539902	0	0.0181684381753273	0.472181309288327	0	0.028880358162219	0.100755544346938	0	0	0	0.212	0.0746660272113164	1.07052472151536
TCGA-DX-A6BE-01	0.0442428876896261	0	0.000189196828231896	0.135541367149516	0	0.127423529283883	0.00897160493907942	0.0112250621725743	0.0133797327238405	0	0.0348600328315379	0	0.0277260853677382	0.00159422854890164	0.0659553657453985	0.49876865793275	0	0	0.0301222487869223	0	0	0	0.002	0.402929621756391	0.917698420989481
TCGA-DX-A8BP-01	0.000375128403441829	0	0	0.284683828242945	0	0.0346131643058325	0.0395773148133659	0.0788883960749761	0.00317340581586002	0.00428758787613411	0	0	0.0061432229080549	0.0408917759771432	0.11241469639343	0.382111347888329	0	0	0.0123449380409527	0	0	0.000495193259535489	0.002	0.405202700360508	0.917444133953621
TCGA-MO-A47P-01	0.00107494803526594	0	0.0451508574810009	0.239675152428382	0	0.181919881733621	0	0.0621768422372847	0.0174783018792807	0	0	0.0561870118427467	0.0521407510640286	0.0657116300414507	0	0.104096787293783	0.00654948330736064	0.00211267645652735	0.149504097652455	0	0.0162215785468128	0	0.49	0.0278366424980455	1.08651699916242
TCGA-WK-A8XO-01	0	0.00106763467258175	0	0.0423679714989906	0	0.137176710088743	0	0	0.0156816195175145	0	0.0166764869512492	0	0.0331816740099134	0.0504761205246924	0.0226330239464974	0.42845528475104	0	0	0.252283474038778	0	0	0	0.001	0.476016152000239	0.879163195488863
