B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-YD-A89C-06	0	0.0121500221358076	0.0151481665469447	0	0	0.168389166348955	0	0.132385525580652	0.0771374381495126	0	0.153435630915808	0	0.1212435770864	0.146696962208688	0	0.10521488238095	0.000949863928060802	0	0.0606383991808784	0	0.00661036553734334	0	0.865	-0.0180817046764257	1.09841891453559
TCGA-Z2-AA3V-06	0.0329638990504543	0	0	0.148736396844037	0	0	0	0.0636171388860766	0.112237765451666	0	0.0452765757852245	0.0455971203307205	0	0.347358697554993	0.0613369425846538	0.113402337626989	0	0	0.0294731258851848	0	0	0	0.002	0.425385129338062	0.908503487041279
TCGA-EB-A3Y6-01	0	0.00223090451617283	0	0.06235035550745	0	0.0114901480761522	0	0.156178454158122	0.0121210925413509	0	0.0456417414611455	0.0174531718816083	0.0287569681194074	0.185446130142638	0.119908795955554	0.0848586042737333	0.0151978622023925	0	0.258365771164273	0	0	0	0.492	0.0250654925392563	1.09171530225522
TCGA-EE-A3JA-06	0	0.0207732178278994	0.136366455081615	0.240975644692934	0	0	0.00740484147707379	0.0979736692704685	0	0	0	0.00178322866946233	0.0131060563135837	0.0719041676708226	0.0495178779887409	0.276193580629062	0	0	0.0807281063125005	0	0.00327315406583773	0	0.709	1.81427153809818e-05	1.07502103866652
TCGA-D9-A4Z2-01	0	0.107633160550726	0	0	0	0.228054437325169	0	0.0276884341055932	0.0677626330416417	0	0.171376316449954	0	0.0225047610858721	0.18977170964124	0.00672162796895688	0.0741120379349635	0.00686124148940467	0	0.0975136404064782	0	0	0	0.746	-0.00333425461134829	1.09491729606451
TCGA-D3-A51G-06	0	0	0.0131807466928685	0.122109766531916	0	0	0	0.169498372251084	0.0393576467469565	0	0.00447843461849059	0.0107818841835289	0	0.399483699426727	0.0869025637659476	0.127327733339065	0	0	0.0268791524434163	0	0	0	0.00600000000000001	0.27552296048548	0.9969480330703
TCGA-3N-A9WD-06	0.0909537810877472	0.0553175959667824	0	0.0563087648601407	0	0	0	0.165786879142675	0.0888901608302591	0	0.0533121733472629	0.00376546177406725	0	0.346940738514545	0.138724444476521	0	0	0	0	0	0	0	0.005	0.290066103839359	0.982137143141865
TCGA-GF-A2C7-01	0.00341529588644394	0	0.00528661926260686	0.0130064327515746	0	0.210485123560516	0	0.062553634984831	0.0397198288723114	0	0.141593610736625	0	0	0.261541202860572	0	0.238404640321302	0	0.0180651796283567	0	0	0.00592843113486076	0	0.403	0.0366577851730062	1.10302109927811
TCGA-WE-A8ZY-06	0.0408667055241589	0.0267695755520554	0	0.0259901852401681	0	0.0252766093755237	0	0.135596329814836	0.0786107456622231	0	0.107805730191455	0	0	0.308916169850127	0.00949446046294117	0.201116891802138	0	0	0.0385514394937709	0	0	0.00100515703060344	0.337	0.0478288036376946	1.09213342302978
TCGA-D3-A8GI-06	0	0.00362204253550951	0.0119023873268742	0	0	0.0884878509960651	0	0.0500675157604894	0.0313629073928672	0	0.0426106553407644	0	0	0.562968414832702	0	0.163104176920704	0	0	0.040011965112842	0	0.00586208378118126	0	0.004	0.296270500229537	1.02046585357394
TCGA-FR-A7U8-06	0.000762598702979204	0	0.0246706747498103	0	0	0.0721510692717909	0	0.0113243489215898	0.0592546908981547	0	0.0454878361332071	0	0	0.777669620096216	0.00529752552158751	0	0.00338163570466478	0	0	0	0	0	0.004	0.303999192140807	1.06642496970675
TCGA-D3-A51K-06	0.00755855216519336	0.00274918251948353	0.246906403854875	0.257236071562283	0	0	0	0.138025746733946	0.029034366914576	0	0.0273642631587073	0.0461230793349407	0.0260602381882038	0.00955109858233426	0.0368885224951321	0.162384935055019	0	0	0.0101175394353057	0	0	0	0.2	0.0781342213355534	1.05113743430526
TCGA-BF-A3DJ-01	0	0	0.00908631673740131	0.0449057831159038	0	0.0830385731819988	0.0116343577027694	0.0332032763775972	0.0337219200471935	0	0.0506023745961712	0	0.123749072666993	0.073685454837231	0.0664150384734108	0.416414694909569	0	0	0.0435137229928912	0	0	0.01002941436087	0.202	0.0769811011193973	1.07292143728171
TCGA-BF-A3DL-01	0.00548205458031404	0	0	0	0	0.0876996714116807	0	0.0463201167840227	0.122974925565	0	0.143181935774594	0	0	0.349501014311116	0.0166173403130026	0.122982138077467	0	0.00232211845645171	0.0980612412161343	0	0.00485744351021685	0	0.288	0.0564170581473615	1.09273767096648
TCGA-EB-A44N-01	0.125373589281675	0.0321536055464119	0	0.0592656623817467	0	0.0949497270822413	0	0.156348043728242	0.0569126945962258	0	0.0116964345627201	0.011181686301689	0	0.245951498479619	0.0640877972351916	0.0910283469953844	0	0.00692934463095415	0.0441215691778988	0	0	0	0.151	0.090448281834014	1.05805815566974
TCGA-EB-A6L9-06	0.196397265160555	0.0279739883767575	0.0151784751117561	0.165483224964366	0.0112066752690829	0	0	0.08403931597995	0.123809563386997	0	0.0698237921077734	0	0.00653229852050559	0.157379994170756	0.0679412701642104	0.0700521174353453	0	0	0.00418201935194361	0	0	0	0.003	0.390514508141869	0.922268681227945
TCGA-GN-A26C-01	0.0130398065560611	0.00737264454875958	0.0251561831917392	0.226338469012031	0	0.0412722213088889	0.0238472929769752	0.0580442809761507	0.0225081289037265	0	0.0272305216504385	0	0	0.130191725628583	0.130612380226332	0.286717360855331	0	0	0.00766898416498389	0	0	0	0.003	0.363425182050881	0.938557440651
TCGA-EE-A29N-06	0	0.135576660121101	0	0.0919845884643454	0	0	0.00284399299948984	0.134003858524548	0.10068730818517	0	0.0479019581483238	0	0	0.235123049488484	0.0960240581661731	0.113135519175917	0	0	0.0427190067264487	0	0	0	0.0659999999999999	0.135168604463548	1.0385868641965
TCGA-EE-A3J4-06	0	0.00593928821982412	0.0156267703882306	0.11637156536367	0	0.0835743934061523	0	0.158579174245035	0.0326736403112393	0	0.0121751906150593	0.0300336115662843	0.0481403268259221	0.102083375496733	0.149670625119464	0.165706907469388	0.0118064998512444	0.00031703309664716	0.0673015980251064	0	0	0	0.491	0.0252239193852376	1.08888087135969
TCGA-D3-A51F-06	0	0	0	0.519654225626294	0	0	0	0.0808114957137627	0.102871067770274	0	0	0.0313709955816876	0.0381047343299003	0	0.070327953649741	0.15476669534556	0	0	0.00209283198278123	0	0	0	0.003	0.397207473580244	0.934451359775376
TCGA-EE-A29X-06	0.0318625184404805	0	0.027140655058346	0.141026798379872	0	0	0.00268797776611043	0.0974141409588883	0.0537215206183997	0	0.0403109355314676	0.0347129036067183	0.028401377419708	0.153528882887583	0.0667365003940563	0.24173392176167	0.0129876422543842	0	0.067734224922316	0	0	0	0.139	0.094631679798533	1.05140272839698
TCGA-EE-A2GM-06	0	0	0.0329581284456865	0	0	0.201535831126583	0	0.12511940424843	0.00597878654107647	0	0.11338426236393	0.0198934373591842	0.06420725081183	0.106591266787636	0.0391547918449864	0.123107899326872	0	0	0.168068941143787	0	0	0	0.671	0.00462057192683065	1.08140894525607
TCGA-BF-AAP7-01	0.0231418807279428	0	0	0.291283947965165	0	0	0.0562862073120928	0.0508798020189355	0.024037728508729	0	0.05455243880834	0.079988812229257	0.0536760468022952	0.0576203761524856	0.071181842546445	0.172913772072192	0.00956537435974564	0	0.054871770496374	0	0	0	0.047	0.156298363230671	1.04047379343036
TCGA-ER-A2NH-06	0.0394747336200918	0	0.0232864235114379	0.3282283005714	0	0.0648370225272452	0.0237756467388375	0.0371314947914666	0.0585862482371227	0	0.00476669495638304	0.0693101843597002	0.0546189262597689	0.0289321892307143	0.0730916656134041	0.123277568998589	0.00570293256606998	0	0.0649799680177694	0	0	0	0.044	0.162342606524138	1.03634477347408
TCGA-EE-A3JH-06	0.0255444063595648	0.0264257301391543	0.0497912861783688	0.246091090249605	0	0	0.0117296654407246	0.0369758543865286	0.0854720313607059	0	0.0749385509925605	0	0.00870492629559532	0.233900044668969	0.0649566924645347	0.122695875731335	0	0	0.0127738457323541	0	0	0	0.003	0.407310391299463	0.914373551095312
TCGA-DA-A1I7-06	0	0	0.0101979322626168	0.0628303598103076	0	0	0	0.0945311055401512	0.0620633385130224	0	0	0.0215777692235972	0	0.540281670121598	0.0622079242057475	0.123181595512095	0	0	0.0231283048108645	0	0	0	0.004	0.33483195794456	0.987086626122857
TCGA-EE-A2GT-06	0.171505835523517	0.0300800966217373	0.0032266391990267	0.0935834969188931	0.0638798064550059	0.071608265982173	0	0.0948496391415191	0.0752212948694084	0	0.0521807822263564	0	0.00354012025953519	0.130292895419959	0.0198688408459336	0.190162286536936	0	0	0	0	0	0	0.019	0.210627492524021	1.00563168616321
