B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-FP-A4BE-01	0.0469963601511183	0	0.0120801594201996	0.0990073070768248	0	0.192905058317072	0.0558410970447107	0.0694808034760154	0.0488449946200217	0	0.071744537316512	0	0	0.065761713493195	0.0834180969828967	0.243543112878335	0	0	0.0103767592230992	0	0	0	0.023	0.217380593821627	1.0020282745827
TCGA-BR-8081-01	0.0537037883855426	0.0377195572491415	0	0.0770777342378018	0	0.169393933937594	0.0311009048633031	0.0887992493421249	0.0362737295160566	0	0.0445353280549233	0	0.00533565370066664	0.0907577882208826	0.166265804512973	0.175581040746927	0	0.0168766205201696	0	0.00657886671189368	0	0	0.002	0.335788393002116	0.952375210282032
TCGA-HU-A4GP-11	0.0579840937787963	0	0.029281563316014	0.0785797790426079	0	0.216706816668996	0	0.00255251776135296	0	0	0	0.0186250492102266	0.0434627808210195	0	0.00380774819715174	0.396083973582939	0	0.00657740926649458	0.146338268354401	0	0	0	0.401	0.0419686640154557	1.0714542173359
TCGA-IN-7806-01	0.208851412349878	0.0223842747184278	0	0	0	0.148013633657359	0	0.0648350439514908	0.0580927155738206	0	0.0439162400371694	0	0	0.228246309349208	0.0152468955196848	0.200993373752671	0	0	0.00942010109028955	0	0	0	0.613	0.0141505914816328	1.0954542727517
TCGA-BR-4257-01	0.053731897339169	0	0	0.0364622478654351	0	0.149860515312106	0.0734990769023609	0.0416254681298667	0.0170698500870855	0	0.0456357170006536	0.000969937615131803	0	0.162983924444346	0.0465120888756919	0.279909068646722	0.00440361174547617	0	0.0186155575723536	0	0	0.0687210384636014	0.02	0.2249116904071	0.998995926441178
TCGA-RD-A8N6-01	0.132930571180465	0	0	0.0342785141586962	0	0.137808247460628	0	0	0.0913473375026076	0	0	0.0685037713517018	0.0112966099825544	0.0893061169543407	0.0645230417172359	0.317961823424511	0	0	0.0520439662672589	0	0	0	0.922	-0.0233965711827601	1.10189633192104
TCGA-D7-8575-01	0	0.0117645302367291	0.0412515557964282	0	0	0.204461197335489	0	0.0380870676885627	0.0581727316339516	0	0.039016627325897	0	0	0.501911183064579	0	0.0400191344009422	0	0.0165803914360703	0	0.0487355810813511	0	0	0.026	0.196268408500894	1.05302898291832
TCGA-VQ-A94P-01	0.121381618947648	0	0.0015740767453886	0.106700462570176	0	0.220524104982655	0	0.0951037887325546	0.0346013202130968	0	0	0.0144550522826653	0.0564515151745326	0	0.056362747862145	0.253461598633868	0	0	0.039383713855269	0	0	0	0.241	0.0733140171461868	1.06039925727449
TCGA-CD-A4MG-01	0.095565573214977	0.0152362422565551	0	0.0315144572913519	0	0.205995875838958	0	0.105281441942722	0.00716655164172688	0	0.0581947066053612	0	0.0126886750984546	0.106458671424703	0.0640063007305777	0.258428005346653	0	0	0	0.0359822991994781	0	0.00348119940848194	0.095	0.122977770315074	1.04048551475518
TCGA-IN-A6RO-01	0.0537173176845161	0	0.0159729052283302	0.0329223807990273	0	0.261852927242979	0.0293910091505237	0.0791649033660673	0.0752791852286711	0	0.0837528597657758	0	0	0.0602288341873233	0.128717089454675	0.134812624836484	0	0.0222700835877313	0.0219178794678957	0	0	0	0.42	0.038408849885469	1.08680497844446
TCGA-IN-A6RI-01	0.122882216984413	0	0	0	0	0.261807624496111	0	0.0140248168160513	0.119237005390918	0	0.0378533224034874	0	0	0.214420798495826	0.000517632391980529	0.152225853437484	0	0.0364434308543309	0	0.035124339778728	0	0.0054629589506703	0.149	0.0973902982501793	1.05731077100241
TCGA-IN-A7NU-01	0	0.00365398194576138	0.0307849250353784	0.0132073473874903	0	0.212859744195131	0.00167464181047816	0.0758165107525173	0.0926131759058916	0	0.030391699261212	0	0.0416518105494937	0	0.119772771646137	0.254875760766628	0.0536092072187977	0	0	0.0483103914191536	0	0.0207780321059292	0.103	0.119579762601301	1.04136522218249
TCGA-MX-A5UG-01	0.165463604280334	0.203639793628739	0	0.055364116031054	0	0.15023878038552	0	0.0676336821544957	0.0235372946414747	0	0.0305031604637462	0	0	0.0326486902148975	0.005993852484124	0.138041417083535	0	0.0599013588291138	0.0505515076682255	0.00669024718400018	0	0.00979249495074001	0.032	0.180773366617057	1.0160801801026
TCGA-FP-7735-11	0.0466263508015063	0	0.0476024136302095	0.0172156740135847	0	0.255028389126126	0	0.0181097072590314	0	0	0	0.0190153548100225	0.0832211786765807	0	0.00968072998394291	0.305638095351783	0	0.00615877068384684	0.191703335663366	0	0	0	0.288	0.0629913332951979	1.05627465293224
TCGA-VQ-A8DZ-01	0.0466798948732014	0	0.0198575828300098	0.0304388338515576	0	0.140354572460315	0	0.108409662314175	0.058985773622125	0	0	0.03460485524719	0.000199943917378689	0.120116618150725	0.017879169923068	0.228146431428203	0	0.0182404796772591	0.108716708046122	0.00353811878432792	0	0.0638313548743411	0.517	0.0245554851111083	1.07289572257881
TCGA-FP-7829-11	0.0725406803888734	0	0.0329836937337962	0	0	0.19276426121329	0	0	0	0	0	0.0307020267250303	0.0761644133233692	0	0	0.454138120712455	0	0.00305285882304717	0.137653945080139	0	0	0	0.584	0.0171476619025811	1.08851189119929
TCGA-BR-8679-01	0	0	0.0145851071324835	0	0	0.310420323264847	0	0.0235169466151954	0.0475078745057405	0	0	0.0457021372291137	0.00712375778636177	0.0870063223360155	0.034426850984089	0.329543233223798	0	0.0519196887030212	0.0482477582193348	0	0	0	0.417	0.0387383944696078	1.08027632827926
TCGA-VQ-A8P8-01	0.0955696343687885	0.286967518059505	0.0449726348268139	0.0397257562426344	0	0.184733636690715	0	0.0604253288302459	0.0494353900822429	0	0.0125587337195711	0.00320105186789671	0.00593246631615419	0.028890275254714	0	0.0272246273984787	0	0.065981484908244	0.0943814614339957	0	0	0	0.07	0.138717358061363	1.03613453568427
TCGA-VQ-A8P3-01	0.052696134071694	0	0	0.250202663167791	0	0.103814758802232	0.0156164761836843	0.0954564613320445	0.106678207780955	0	0.0423985601854824	0.0711468233403197	0.0219997147229367	0.0441207228290008	0.0289499972199373	0.0774478331673597	0	0.00522762072713326	0.0842440264694299	0	0	0	0.189	0.0856305255380857	1.08136511240373
TCGA-VQ-A8PU-01	0.147568486285567	0	0	0.0271145033269608	0	0.34494154225913	0	0	0.0658899978697777	0	0.0554841468699007	0	0	0.0612036604423767	0.0108793137489819	0.183690918239992	0	0	0	0.038886449901117	0	0.0643409810561967	0.855	-0.0138759642412008	1.10130143673002
TCGA-CG-4465-01	0	0.0125443049412099	0	0	0	0.218355625192148	0	0.065182736323154	0.00750642316155569	0	0.0375290117258896	0	0.0309621913538441	0	0.041533288858707	0.404294568883212	0.0124209381379913	0.00402517010685362	0	0.161710845356441	0.00393489595899481	0	0.138	0.101171619070575	1.0618211101267
TCGA-BR-8077-01	0.0631618909761263	0	0.0162299381382341	0.0826217638607185	0	0.176694266176534	0.0412737223762221	0.0613052234362933	0.0720520618749863	0	0.0111143177219746	0.0275194121899353	0.0165841206338694	0.125837644819858	0.0630292495921479	0.185304228705806	0	0.0432439698308542	0.01402818966644	0	0	0	0.056	0.150700979422227	1.02746820600423
TCGA-BR-7703-01	0.0218400800804752	0	0.096554670070973	0.142218731125111	0	0.246358534211303	0.0134539559269574	0.0839598085709198	0.109909248400865	0	0.0486108309908417	0.0160150270729028	0.00957155020733953	0.0223987865385492	0.0344904287663366	0.128664658278899	0.0156904719114854	0	0.0102632178470409	0	0	0	0.272	0.065390719800835	1.07473457818728
TCGA-HU-A4H6-01	0.172006633923239	0.111361398243372	0.0576772889559255	0.0594692525539566	0	0.182970250823976	0	0.0821024068840432	0.0247008244053717	0	0.0221094508975565	0	0	0.0462909531155645	0.0403903443185374	0.087890103925377	0	0.024259376958307	0.0321269505703082	0.00766761284598089	0	0.048977151578485	0.104	0.118543844367548	1.03744674593715
TCGA-BR-6452-01	0.0470042292667188	0	0.0163152769301237	0.0444000903947799	0	0.198034212686054	0.0183736147919136	0.0775567617055505	0.0751570553380354	0	0.107738355655346	0	0	0.158635618286882	0.0545254532027034	0.163735405752985	0	0.00306152785187378	0	0.0354623981370333	0	0	0.054	0.152531616924298	1.03136922801323
TCGA-VQ-A91Q-01	0.138529351132547	0	0.0717893417278196	0	0	0.26274313727383	0	0.0265405316093099	0.0601244585088558	0	0.0808684244143954	0	0.00612326281009724	0.0789457482639682	0.0367649868966847	0.104794164822722	0	0.0864348952545225	0	0.0463416972852477	0	0	0.526	0.0226046074220638	1.07176884886411
TCGA-CD-5801-01	0.0593747977277967	0	0.00848881772474037	0.303663264542936	0	0.125792639562021	0.0553289350251086	0.0479983569607973	0.0524059925217789	0	0.0259379510336304	0.0247135940779433	0.0264020710591364	0.0167461206482786	0.10898354297189	0.0698618914045381	0.00637368786713881	0	0.0679283368722668	0	0	0	0.004	0.309512389357054	0.969172655991984
TCGA-HU-A4HB-01	0.253567885579725	0.0817353207341322	0.0138212649474783	0.0693250587445794	0	0.181330148737901	0.00524073631091352	0.0438010144047583	0.0796274965810278	0	0.0154981553997882	0	0	0.106369357585112	0.0415218640687081	0.0555487522092737	0	0.00788740654539513	0.0447255381512067	0	0	0	0.002	0.350222207098098	0.942181454266952
TCGA-BR-A4J6-01	0.112763331651764	0	0.270655445343445	0.0797941536563771	0	0.209041685686377	0	0.0486112681011615	0.0456193614779387	0	0.0187655836325424	0.0113504773007463	0.0126758091428096	0.00250481032105326	0	0.126108711432145	0	0.0260265944229923	0.0360827678306482	0	0	0	0.187	0.086253830331667	1.03586668738149
TCGA-IN-A6RR-01	0.100446985579178	0	0.0724481250404504	0.0696331110643117	0	0.273796892221081	0	0.106167145354895	0.0669735491461124	0	0.0357052111459248	0	0.0272171347705824	0	0.0420723584568974	0.147799980557716	0	0.00991683808121577	0.0185148279683114	0.0293078406133236	0	0	0.344	0.0524801317570387	1.0683519623101
TCGA-BR-8381-01	0.00875030897731736	0.0417816364969889	0.0501221144816691	0.147025284858027	0	0.151160059864072	0.0272555344365416	0.112728520341968	0.0895349906472384	0	0.0240099230160023	0	0.0124564629970783	0.0746401548533053	0.137488429542648	0.108695748094951	0	0	0.0143508313921915	0	0	0	0.002	0.344322656546268	0.94604923350806
TCGA-HU-A4GD-01	0.0495958519102987	0	0.00955060145825229	0	0	0.214356689885021	0	0.285763447638908	0.0746012655285134	0	0.0811604867285203	0	0.0504205134227644	0.0274976339733184	0	0.0139074678135263	0	0.089780000754987	0	0.100501806089112	0.00286423479677829	0	0.826	-0.00931221104742682	1.11482674127318
TCGA-BR-7716-01	0.0309266446213073	0	0.0123376383798991	0.20971136357484	0	0.140009846744567	0.0141307075623791	0.0867854540944929	0.0941249061310145	0	0.072190329903315	0	0.00334792629723076	0.0853517411382057	0.0911056092284325	0.149730214000507	0	0.000126638198992318	0.0101209801248161	0	0	0	0.025	0.200308463705623	1.01963350621812
TCGA-HU-A4G3-01	0.0573939770439547	0	0	0.0403302588134124	0	0.202283723927151	0	0	0.0692243095082198	0	0	0.0748097518357089	0	0.117896956305492	0.0062360024374416	0.194630297442671	0	0.00942733703008454	0.215642044556613	0	0	0.0121253410992504	0.222	0.0778722667663606	1.05896864279797
TCGA-VQ-A8PB-01	0.0502067232878043	0	0.036830695571363	0.0962279426185931	0	0.131568608477322	0	0.0905603685005254	0.0433190509695044	0	0.0735104891740279	0	0	0.227994963445477	0.0357224118713609	0.104845894992004	0	0.0135850082840969	0	0.0701751469292323	0	0.0254526958786891	0.171	0.0911593435677229	1.0582149551615
TCGA-BR-7722-01	0.021096057343036	0.0214388143096247	0	0.0662740729561641	0	0.247848955118979	0	0	0.117371600587947	0	0	0.0494522050603457	0	0.0949895988942276	0.00739311316389104	0.199736545043657	0.00659461958156187	0.00699642892853607	0.16080798901203	0	0	0	0.043	0.164870716203703	1.02227434848828
TCGA-D7-6820-01	0.0576880611965811	0	0	0	0	0.21194122479644	0	0.0476851071542598	0.108995624421268	0	0.0400192420664165	0	0	0.241133586270875	0	0.0922800293456237	0	0.0704102183928991	0	0.0785344779453226	0	0.0513124284103147	0.116	0.11147616601454	1.05251091637752
TCGA-VQ-A8PD-01	0.0731087454436398	0.181900050711181	0	0.101366589056069	0	0.277481189588965	0	0.028176520727652	0.048269335926637	0	0.0390803753425038	0	0.0154821498345801	0.0427671631472204	0.0560923479073523	0.0627046906393868	0	0.040279677518796	0.0332911641560163	0	0	0	0.026	0.197039635419256	1.0145472004894
TCGA-BR-6563-01	0.122718315495895	0.025857964809957	0.0530431761542124	0.261712920706378	0	0.0273902794214749	0.000378615622632445	0.0345649008867596	0.118198923360146	0	0.0158571786843748	0	0.0161152659866406	0.0318840784840558	0.0165977470868796	0.205502380395816	0.00615087467544445	0.0105936838886474	0.0534336943406854	0	0	0	0.00600000000000001	0.283729047391118	0.968374024178645
TCGA-HU-A4GT-01	0.0853357301279796	0	0.00657048868226381	0.0436865066156819	0	0.218490967215043	0.0318434081982963	0.0831803202201242	0.0850004384358883	0	0.0295691307117424	0	0	0.155934246405804	0.0779662115546086	0.171918242441198	0	0.000845678873342792	0	0.00315959092380428	0	0.00649903959422307	0.356	0.0500497583359283	1.0747302206178
TCGA-MX-A5UJ-01	0.0885766758308887	0.0388365470269263	0	0.0210445201355919	0	0.269369033016173	0	0.137913442574883	0.0353208407340179	0	0.0674967719527113	0	0.0462991132818098	0.0091924331731657	0.0821257315086979	0.137941545267886	0	0.0260381385440098	0.0150956578608612	0.0247495490923768	0	0	0.289	0.0628020159517997	1.06816565086798
TCGA-BR-8365-01	0.0960021980406189	0	0.0463426463350909	0.0580061342025495	0	0.316768650986737	0	0.0277656201317425	0	0	0.00533382007502967	0	0.0231793954897792	0	0.0385978799223475	0.262836739110374	0	0.0341905523449813	0.09097636336075	0	0	0	0.137	0.10209610196849	1.04059666998646
TCGA-BR-6707-01	0.0774449505282973	0	0	0.235558387984731	0	0.146416563673836	0.0267594569988856	0.0690098490158711	0.0936346048213432	0	0.0400248249231727	0	0.0207920679737807	0.0783661651939101	0.0903404141533692	0.119624441243945	0	0.00129233631297881	0	0.00073593717587867	0	0	0.00600000000000001	0.287698096001649	0.977385566074426
TCGA-VQ-A8E3-01	0.0593490689392578	0	0.0358164485305511	0.100869863745679	0	0.0463439009346076	0.012921399530356	0.09728502148587	0.105889878256415	0	0.127795005048214	0.0259751612446212	0.00256656482763927	0	0	0.133342303048885	0	0.211208444663961	0.0355965303358011	0	0	0.00504040940814224	0.0610000000000001	0.14698217427759	1.03736950022212
TCGA-D7-A4YV-01	0.0697508760467356	0	0.0279323919312157	0.160150209177666	0	0.230472184716045	0	0.0647234024978643	0.0589874596662013	0	0.036937774646253	0.0053851139653483	0.03708189813521	0.0705193854743107	0.0637614463532552	0.134273012243431	0	0	0.0400248451464644	0	0	0	0.0679999999999999	0.139693440016496	1.03665450874667
TCGA-BR-4201-01	0.065047328528697	0	0.0259963443860094	0.00567514766577655	0	0.176669603639354	0.0586912732953985	0.0125069815386209	0	0	0.0847247016757633	0	0	0.100944157237766	0.0769869062105367	0.272303397145759	0	0	0	0.0362581208296152	0.0109223755741355	0.0732736622725685	0.01	0.260797452689581	0.980197233539362
TCGA-BR-8588-01	0.146556883015522	0	0	0.127553635887004	0	0.166096411719544	0.0258392344595018	0.080192392687422	0.0220210076632802	0	0.0319059643861042	0	0	0.0842168836179765	0.0339606878377191	0.195068121674768	0	0.0223080410976726	0.0397887244485619	0	0	0.0244920115049234	0.225	0.0770601810291958	1.0554223200382
