B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-2G-AAHP-01	0.247965552045058	0	0.0874151876012721	0.239729939145298	0	0.0324340586436184	0	0.0617755149314814	0.0777638030157525	0	0.0178627670142785	0.031202928303743	0.0166592279967461	0.0591740214229343	0.0482379870571019	0.0700043165855817	0	0	0.00977469623713392	0	0	0	0.219	0.0762529319466686	1.06731878988115
TCGA-4K-AAAL-01	0.157518552786804	0	0.0423870162239733	0.110745142497616	0	0.120087920068886	0	0.0724246957237647	0.0314880744336226	0	0	0.0300509412892362	0.0178250992692372	0.160898144930163	0.0574299287138504	0.15886740836111	0	0	0.0402770757017373	0	0	0	0.026	0.200407518884584	1.00364707872286
TCGA-2G-AALP-01	0.0995698340149751	0	0.101463408084575	0.0386174203100748	0.0118039336014115	0	0.0149861624421544	0.064625313534897	0.0323162679061226	0	0.0524871699256404	0.00229365489609288	0	0.383540049547348	0.0503204932770035	0.121853116055702	0	0	0.0261231764040034	0	0	0	0.0570000000000001	0.146398386962995	1.04748463365142
TCGA-2G-AAGI-05	0.371599624577216	0	0	0.0732998216697862	0	0.092147926556763	0.00673236650173239	0.117433309152096	0.0214771969040964	0	0.116987289518224	0	0.00157949631548059	0.0942784862834894	0.0705364001635631	0.0306683700562048	0	0	0.00325971230134907	0	0	0	0.003	0.418204024005754	0.911548180376224
TCGA-ZM-AA0N-01	0.168842761724433	0	0.0230184392812319	0.25963388668689	0	0.070173383057116	0.0417050643555434	0.0716453024885253	0.0987073740450634	0	0	0.0180535190303266	0	0.136605433100859	0.0623280659739096	0.0258059320968488	0	0	0.0234808381592528	0	0	0	0.004	0.333602342217943	0.95237592318006
TCGA-2G-AAGI-01	0.0306883333962274	0	0.0469446301434546	0.0718987658985787	0	0.077086269945555	0	0.0938317394748686	0.0355375849790646	0	0.0266370341629278	0.0123689103849717	0	0.237486384776198	0.100736637173206	0.243244566483004	0	0	0.0235391431819441	0	0	0	0.012	0.242910453249856	0.99675980721598
TCGA-2G-AALT-01	0.0289372261431894	0	0	0.0616387228380055	0	0.0104957383600851	0	0.0548006686650355	0.0792185336353041	0	0.0609788951486032	0.00412990094039831	0.0337936580518062	0.256302860157701	0.0785955478792672	0.315949562134251	0	0	0.0151586860463541	0	0	0	0.005	0.323800074878418	0.964021058055118
TCGA-2G-AAKO-01	0.348182153413707	0	0	0.0541349989894716	0	0.0658426973707641	0	0.0968793767187392	0.0773168863782184	0	0.050544844055378	0	0	0.162193637337644	0.119767947955071	0.0251374577810069	0	0	0	0	0	0	0	0.524813927317084	0.850854175182366
TCGA-2G-AAFG-01	0.0973782126537665	0	0	0.157916442464014	0	0.0827448570144561	0.012829642150407	0.0324195630830346	0.0612531554302155	0	0.0514998653945632	0	0.0116540892089644	0.359340088796543	0.0827993871681059	0.0365888356300649	0	0	0.0135758610058653	0	0	0	0	0.479482825503453	0.877149576579694
TCGA-2G-AAG6-01	0.051524506285167	0	0	0.0451522954713833	0	0.132663990884528	0	0.0519859032228251	0.0533417533352743	0	0.00285480992257605	0.0300777575146497	0.0170135504475877	0.187871115805586	0.0110488605176349	0.241914568391073	0.0190546438700299	0.0657590957209192	0.0897371486107653	0	0	0	0.086	0.129316740443756	1.03821681671923
