B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DJ-A4V5-01	0.00196451846402763	0.0195408664905699	0.00320550844207906	0.105382063168546	0	0.216899261374208	0	0.0603374060036206	0.0637138692125681	0	0	0.035096010549257	0.0197494387390764	0.0661618463279166	0.028465059862451	0.19665027940042	0.104193037685286	0.0393180230980906	0.0393228111818823	0	0	0	0.135	0.0992246322572964	1.04751057172651
TCGA-L6-A4EQ-01	9.13375425318047e-05	0.0139094600321095	1.31260622505054e-06	0	0	0.245933964555168	0	0.00174578167958477	0.0766651653321542	0	0.170340702575562	0.00141802790044815	0.0703979022740619	0.174667020219507	0	0.128333909554915	0	0	0.116495415727733	0	0	0	0.384	0.0420703513209742	1.07907416309578
TCGA-FE-A3PB-01	0.0966040732526968	0	0.0211683846688042	0.082091086758304	0	0.100072035737922	0	0.142642438860156	0.0432729268215745	0	0	0.0384218879040366	0.0110636572557429	0.0949598472024388	0.0236169149677762	0.240623416291507	0.0157709402040378	0.0392847603474178	0.0481361469945187	0	0	0.00227148273306677	0.0600000000000001	0.150690450956058	1.02265971738674
TCGA-E8-A2EA-01	0.0343837642213307	0	0.0729031079785946	0.116371607614404	0	0.12038075290482	0	0.0819597740443055	0.0190210701218411	0	0.00797210960846788	0.0204308166075657	0.00485998399604694	0.216997504430594	0.0894666264663225	0.162475381120424	0.0201617093273171	0	0.0326157915579658	0	0	0	0.00800000000000001	0.246110720767727	0.988266498211588
TCGA-ET-A3DS-01	0.17146574386214	0	0.15035828924703	0.0298791947098537	0	0.143470178586659	0	0.219900034129284	0	0	0	0.0583257900399365	0.0321199084863441	0.0487466631126783	0.0500593372132071	0.0587499124930748	0	0.00907689332936919	0.0263683687631129	0	0.00147968602731025	0	0.616	0.00873488906148699	1.07779887039348
TCGA-EL-A3T8-11	0	0	0.0481156758788788	0.195819138593196	0	0	0	0.186462574259641	0.0202276774687398	0	0.00325739092888514	0.0564912999026789	0.0461040466278015	0.167919139042423	0.0400399178114269	0.188699595362441	0	0	0.0294644305473481	0	0.0173991135765399	0	0.453	0.0292285218328854	1.08275029930851
TCGA-E8-A432-01	0.00357180650856485	0.00874831563041211	0.00291634887913219	0	0	0.152105262139322	0.000615343130884523	0.0377832702080986	0.0256636559946981	0	0.0557296497029745	0	0	0.405379583219926	0.0193434082268941	0.225068287903763	0	0	0.0630750684553304	0	0	0	0.267	0.0627030121174287	1.11377845251317
TCGA-ET-A39M-01	0.0218773817470697	0	0.191989894788099	0.119949370875488	0	0.0840167337701642	0	0.101610723605655	0.0286521933946064	0	0	0.0284792239261472	0.0161557385895749	0.0507087867926512	0.0517703434750876	0.284206270923972	0.0104606061040184	0	0.0101227320074658	0	0	0	0.049	0.163165122688776	1.01159766583289
TCGA-EL-A3T8-01	0.0278644726568058	0	0.00196061024249047	0.170984839730711	0	0	0	0.159848906853306	0.00597419160562218	0	0	0.0230452043624885	0.0376047220914033	0.403641206447149	0	0.125934580267699	0	0	0.0364487695081732	0	0.00669249623415076	0	0.327	0.052327485952946	1.10948958259923
TCGA-ET-A25K-01	0.141065759604421	0	0.11991003150508	0.0225101059278123	0	0	0	0.113269759802137	0	0	0.0339150642972403	0.0147798116595954	0	0.134636261210371	0.0321134897251082	0.34186123739833	0	0.00755897923655083	0.0383794996333538	0	0	0	0.495	0.023539052612007	1.07669179549625
