B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-ZB-A96P-01	0	0	0.0260704409386807	0.317466600756114	0.0927594188664738	0.14000110951612	0.00977867061614851	0.195426728175843	0.0696702420502776	0	0	0	0.0360006809330038	0	0.00872454770912339	0.00748479861488118	0.0755498762236931	0	0	0.0210668855996407	0	0	0.003	0.32102587201832	0.980774322854521
TCGA-X7-A8M4-01	0	0	0	0.296745103283389	0.149658017608478	0.0460688878042621	0	0.302678967863962	0.0494758078958234	0	0	0	0.0412705582137244	0	0.00200159611546181	0	0.0929983870519737	0	0	0.019102674162925	0	0	0	0.446424394211273	0.906888953195243
TCGA-4V-A9QI-01	0	0	0	0.247795274301299	0.28692436494429	0.0608689217864747	0	0.219875960429352	0.0753093317224425	0	0	0.00590923608808528	0.0272527970080104	0	0.00999203207349982	0.0221013451094674	0.0235771450332529	0	0	0.0203935915038255	0	0	0	0.377257290453071	0.958776194692883
TCGA-4V-A9QL-01	0	0	0.00500156588986408	0.458934996145923	0	0.0719516326683397	0	0.143145309794942	0.073019555518881	0	0.0188393143283364	0	0.0612779458361598	0	0.0160924078734378	0.00893401048994884	0.128563403360291	0	0	0.0142398580938757	0	0	0.004	0.303315640809322	0.988046126072612
TCGA-X7-A8DE-01	0	0	0	0.28684681177566	0.30108182754022	0.0140335543283945	0	0.106370473755415	0.10653890279178	0	0	0	0.0407158512899355	0	0.0306965917020438	0	0.106093172696475	0	0	0.00762281412007629	0	0	0	0.389208861082385	0.940670516043714
TCGA-ZB-A963-01	0.0408966213615049	0	0.00265189322346141	0.142430577418459	0.261009449206681	0.148880875366368	0.0110180907698919	0.163155515327753	0.0249877355889472	0	0.0360117628243133	0	0.024834257484696	0	0.0167645820071691	0.0870981619799219	0.0401397888604403	0	0	0.000120688580393478	0	0	0.004	0.309341546732397	0.981572492317519
TCGA-3T-AA9L-01	0	0	0	0.283407735196419	0.0832795129465349	0.151564471100547	0.0162900189710785	0.222695202984829	0.0960041090050938	0	0.00119079543201872	0	0.0434627807132895	0	0.00992974786110573	0.0198815802391731	0.0531830165738738	0	0	0.0191110289760369	0	0	0	0.44835769089878	0.904121521653794
TCGA-4V-A9QW-01	0	0.0202668937154864	0	0.213740290856426	0.126833200073808	0.0718351606291159	0	0.272444508347115	0.148711646340923	0	0.00278448156951032	0.0166917235446981	0.0216879072423517	0.00215128131202065	0.00718079979973634	0.00861973225196517	0.0811376452008581	0	0.00591472911598515	0	0	0	0	0.552306096209091	0.833792229531658
TCGA-YT-A95E-01	0	0.00867007442383881	0	0.294762491064485	0.287200444286956	0	0	0.159327255570505	0.0818184243017702	0	0	0.0135572248296344	0.0197892012951689	0	0.0178040850447071	0	0.107079580030259	0	0.00999121915267653	0	0	0	0	0.45048797019606	0.903647589690859
TCGA-X7-A8DF-01	0	0	0	0.356330468249072	0.218096421710021	0	0	0.159714178074586	0.0638556201580296	0	0.00309452121003428	0	0.0205846390516958	0.0333303649372712	0.0304377344363701	0.00896005974728032	0.0930150569758701	0	0	0.0125809354497705	0	0	0	0.467598016698887	0.890159509121591
TCGA-XU-A92Y-01	0.0133305267466037	0	0.0418969341188983	0.143968663073169	0.0355638774382495	0.130708429765015	0.00465118103915799	0.168248126106825	0.0604703580135075	0	0.0435917905388891	0	0.0163345962623363	0	0.0410838165429698	0.0795250119759059	0.163675720822987	0	0.0560905588734608	0	0	0.000860408682025494	0.005	0.281798969719516	0.971146332617773
TCGA-X7-A8D6-11	0.0826342969267088	0.0720380134307353	0.0140378237002284	0.162878277001761	0.136356178556416	0.111359634828758	0	0.229841448948459	0.00303625091609509	0	0.0198689272314843	0	0.0148470562010063	0.0341889326167031	0.0209516254635203	0.0816806896587502	0.0118007682377524	0	0.0044800762816215	0	0	0	0.001	0.338234257538003	0.956938655603368
TCGA-4X-A9FB-01	0	0	0	0.278961818948681	0.0196292034211779	0.114587538562952	0.0163594105329055	0.321062052987752	0.0921137507798933	0	0	0	0.043383923062615	0	0.0157635142427391	0.0218365538213151	0.061272780226385	0	0	0.0150294534135832	0	0	0	0.383223145938559	0.944395412245737
TCGA-XM-A8RH-01	0	0	0	0.284353058613919	0.141017999526517	0.0297909477497634	0	0.288119771378861	0.0909709657665635	0	0	0	0.036585473122909	0	0.00550187472410672	0	0.105499690234914	0	0	0.0181602188824472	0	0	0	0.394370954309963	0.938204760041238
TCGA-XU-AAXZ-01	0	0.0802314264879134	0	0.238291229207392	0.106655931351254	0	0	0.0881335251350356	0.217701366273689	0	0	0.0398929122800457	0.0143305214095941	0.0716124637800631	0.0089436315077403	0.024218710930603	0.0818036503161408	0	0.0281846313205285	0	0	0	0	0.507405077789805	0.860990623754357
TCGA-ZB-A96F-01	0.0458953648610045	0	0.00931763475772557	0.349997386810604	0.0460430058886412	0.0516733668912422	0.00154622329210791	0.276227703925796	0.0144283258594157	0	0.0206821703436845	0	0.0447608203073456	0.0173925898274146	0.0118269049130636	0.0313659089380833	0.0477729076093882	0	0	0.0310696857744838	0	0	0.033	0.179813966597618	1.05292678981695
TCGA-ZC-AAAH-01	0.0346928941610859	0	0	0.269715277879462	0.0618483341134512	0.0672842792577718	0	0.316852923011637	0.0802913785650584	0	0.00579678781845685	0.0109350682646743	0.0275354139876051	0	0.00506547069406609	0.0353375671313457	0.0766387345854083	0	0.00800587052997734	0	0	0	0	0.552797461164375	0.832880478289893
TCGA-ZC-AAA7-01	0	0	0.0160806756040838	0.405129422838997	0	0	0	0.157988260888542	0.0959659520296533	0	0	0.0359134797403614	0.00622080326994423	0	0.0481804000864944	0.148863601438809	0	0.0720122684837127	0	0	0	0.0136451356194025	0.015	0.227532832626173	1.02102968429551
TCGA-ZB-A96K-01	0.00578845918940489	0	0.00260172344660451	0.288058622770613	0.053327234434542	0.101066052254839	0	0.190292002971944	0.047963832696168	0	0.00130329035233127	0.0117003508253665	0.0214520328983357	0	0.0371117431629167	0.0858950349522615	0.148594121432156	0	0	0.00484549861251789	0	0	0	0.355828205063923	0.946780166559215
TCGA-XM-A8R9-01	0.0950549020092248	0.117538512683799	0	0.283059222856235	0.0269772595159972	0.263197138446195	0	0.0216021146926145	0.0391383272584629	0	0	0.0320735743657724	0.0316713603368441	0.0223983549906248	0.0184180089756265	0.0187324229722215	0.0254151624692522	0	0.0047236384271303	0	0	0	0	0.465654734722813	0.888059765363101
TCGA-XU-AAXW-01	0.0237183511004106	0	0	0.263798208300338	0.245808044786603	0.0888761380901334	0.0122017511896761	0.153419371849786	0.0739065655624584	0	0.00527924837055304	0	0.0134681389791219	0.0140894405512064	0.0246443924546939	0.0175418722869717	0.0533814181466657	0	0	0.00986705833138263	0	0	0	0.384891819305334	0.945692039072912
TCGA-4V-A9QT-01	0	0	0	0.295408084333597	0.173271556488278	0.0304060398949921	0	0.251071539634828	0.0822446900890057	0	0	0	0.0401615435564118	0	0.0128412101055822	0.00430163458093584	0.0862280099501001	0	0	0.0240656913662688	0	0	0	0.429914971553343	0.915667466402646
TCGA-3G-AB19-01	0	0.00146393561815016	0	0.263526010841142	0	0.208531823249446	0	0.016920081680682	0.130568188519656	0	0.00610451976668381	0.0378797734644026	0.0269746072449758	0.010953338096081	0.110001490561797	0.115828091608183	0.0236803779954007	0	0.0475677613534011	0	0	0	0.048	0.154439392117961	1.0514980123354
TCGA-ZB-A96G-01	0	0	0	0.278032025609159	0.23100455604943	0	0	0.220409012225143	0.0890115995132989	0	0	0.0133384991495009	0.0409876810103564	0	0.00726351716551768	0	0.108365162513601	0	0.0115879467639929	0	0	0	0	0.494090358915093	0.873491405491499
TCGA-XU-A92U-01	0.00963240782264264	0	0	0.321276705305002	0.0782837832904025	0.0900636640896227	0.0115638834868216	0.215681473026098	0.10166688146788	0	0	0	0.0422112187653862	0	0.0106071281654754	0	0.100576395446166	0	0	0.0184364591345028	0	0	0	0.392227308702386	0.936881595325594
TCGA-X7-A8M0-01	0.0643625747474842	0.0824892005099107	0	0.196552551623848	0	0.348552662306282	0	0.0486105272594033	0.0422069002001497	0	0.0064038509944684	0.0117033652913417	0.0240162139977465	0.0343077363675676	0.0241945018480735	0.0919396104855837	0.0177438230854729	0	0.00691648128266796	0	0	0	0	0.388433913582594	0.929179746054649
TCGA-YT-A95G-01	0.00897109528597004	0.00772950221773942	0.0138219328166827	0.164794362996897	0.381657859095183	0.168717085579536	0	0.081139935269949	0.001091550648695	0	0.0449803215816692	0	0.0327692552304044	0	0.011602804071825	0.000748520020161063	0.0733762027289935	0	0	0.00859957245629581	0	0	0	0.36633636205862	0.95923475666001
