B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-A5-A2K7-01	0.0378513272744443	0	0.0116406018646796	0.0314986763629594	0	0.129249640791019	0	0.0403495703419187	0.00880449191504521	0	0.0229587392301689	0.00848746059756792	0.000176657957208199	0.276201960548193	0.0181573113149532	0.21141133540108	0	0.060614815947754	0	0.142597410453009	0	0	0.14	0.0951502243203139	1.07906782608145
TCGA-FL-A1YI-11	0.067971752879927	0	0	0.156607309390469	0	0.181952510534989	0	0.017034528137495	0.0121821454514999	0	0.00453961576259357	0.133089373769981	0.0114097016451186	0.0461948068353851	0.00710763240117599	0.154161960611363	0	0.0339081221273528	0.17384054045265	0	0	0	0.191	0.0819179655048245	1.06930391625594
TCGA-EO-A3AS-01	0.191762175507657	0	0.24998584070032	0	0	0.114239746359344	0	0.0717348879506242	0	0	0.00818763914534402	0.0112140091683982	0	0.052945738021869	0.0428416258966187	0.13474627213877	0	0.10156447340754	0.0207775917035147	0	0	0	0.271	0.0643665151461492	1.04231522712386
TCGA-EY-A549-01	0.0276693660521777	0	0.0807661528703684	0.0805015773717568	0	0.0898044768270033	0	0.212318322818738	0.0600860090014381	0	0	0.0361930736267435	0.00624935056028588	0.217251484950643	0.0428764031443543	0.134831935763796	0	0.011451847012695	0	0	0	0	0.292	0.0602292532240755	1.07111217365695
TCGA-EO-A3B0-01	0.0372351053755345	0	0.0478695676484778	0.0912280832110701	0	0.0198455595595518	0.000869590445476463	0.0938062418147769	0.045100260798805	0	0.0369710332208291	0	0	0.429157196420495	0.0416105035341071	0.149851491864979	0	0	0.00645536610589749	0	0	0	0.002	0.36805994946363	0.94632399139407
TCGA-KJ-A3U4-01	0.0881353972159277	0	0.121819278325408	0.0853216520579197	0	0.127301233573679	0	0.107973599263009	0.0567984560545532	0	0.0396282925357975	0	0.00783432358653851	0.0448523117993997	0.185028750132832	0.0686798547934527	0	0.0406514529141573	0.025975397747325	0	0	0	0.0580000000000001	0.136868405098402	1.04613203164719
TCGA-EY-A2OQ-01	0.0298794578657233	0	0	0.0986580852551205	0	0.0517713643137027	0	0.0161852676871615	0.0569289031185359	0	0.0387604975693505	0.0720435731221907	0	0.409152011587727	0.0692788968446507	0.1047189323915	0	0	0.0526230102443368	0	0	0	0.34	0.0526375971412961	1.1134786027267
TCGA-PG-A7D5-01	0.101049399437973	0	0.107831822879111	0.162184183021305	0	0.0498250831470776	0	0.0937813741901617	0.0303837039171672	0	0	0.116625225022489	0	0.156793571192942	0.0683408598147265	0.0366767545845387	0	0.0144934166726513	0.062014606119858	0	0	0	0.791	-0.00545260499152836	1.09479450423038
TCGA-B5-A0JN-01	0.141528052451037	0	0.117090429152617	0.053212657035795	0	0.107935091738391	0	0.148863890149507	0.00327187768707919	0	0.0587095272009088	0.0613778609605878	0.00732520649513288	0.0215214374476069	0.00161692271136013	0.148449919385435	0	0.129097127584543	0	0	0	0	0.995	-0.0623156710663406	1.10535402688654
TCGA-FL-A1YU-11	0.0565124947113049	0	0	0.204525254168181	0	0.0288638068707846	0	0.08092680449228	0.0894856411672122	0	0.0414190403101102	0.125302802451374	0.0516810562095128	0.0230723394101602	0	0.0932602959906341	0	0.0664451816866489	0.138505282531798	0	0	0	0.608	0.0172445871545349	1.10372425007422
TCGA-EO-A3KW-01	0	0.025894580186513	0	0.00815136785692322	0	0.263683742951866	0	0.0235882953021002	0.0566906460278635	0	0	0.05908655441335	0	0.23256829922346	0.0709644992913867	0.147182062569751	0	0.0886773813987036	0.0235125707780822	0	0	0	0.028	0.184797031803435	1.02585350960296
TCGA-PG-A915-01	0	0.00525774524553673	0	0	0	0.254066438688806	0	0.0693967173608826	0.0633228155987971	0	0.0114157849782297	0.0737693550810996	0.0376893390125113	0.118315855109102	0.0675592838499037	0.0498178960723589	0	0.0389669143058057	0.197387410126008	0	0.0130344445709583	0	0.797	-0.00686826779568227	1.09456814806307
TCGA-D1-A3JQ-01	0.0740600213818773	0	0.0350139567373261	0	0	0.178403705973381	0	0.036505758101076	0.0680058752993796	0	0.0118787845926144	0.0943135244458743	0.0105885407138522	0.182783155792092	0.0125412064594017	0.204746731537089	0	0.0456919589783826	0.0454667799876542	0	0	0	0.154	0.0914207576302821	1.05393948222626
TCGA-AX-A2HH-01	0.285406523459875	0	0.0853063878138234	0	0	0	0	0.179160390246487	0	0	0.0199695363362875	0.0291221308279167	0	0.319130854049225	0	0.00412840484665339	0	0.0777757724197321	0	0	0	0	0.965	-0.0334194971847549	1.11984682319817
TCGA-AJ-A5DV-01	0.0426721398438696	0	0.167276598983483	0.0244930244124202	0	0.0575644788625491	0	0.0588671184846527	0.0455576214221026	0	0.0205939505337175	0	0	0.146160064021517	0.0233288579732518	0.216139337381177	0.0558870354957466	0.0061683969000298	0	0.042756577433143	0	0.0925347982523403	0.2	0.0798743496322667	1.04806253431873
TCGA-5S-A9Q8-01	0.138545096189455	0	0.0668044844017247	0.0635334516341858	0	0.0952489921980351	0	0.0926178344037961	0.0363033175421135	0	0.0503548574636735	0.0283278153459796	0	0.279903361687759	0.027200662513599	0.0969815324513406	0	0	0.0241785941683382	0	0	0	0.155	0.0906494631125113	1.05705748860426
TCGA-DI-A2QY-01	0	0.00293044762309938	0.00889808684334951	0	0	0.199259627123329	0	0.228009189311805	0.00573706430655401	0	0.0199557077711244	0	0.043614559947013	0.204445086040545	0.0142914408389385	0.0404430031215446	0	0	0.223048596628742	0	0.00936719044395594	0	0.763	-0.000933118140089087	1.09815411749423
TCGA-DI-A1BU-01	0.0610502138671176	0	0.0170615922385216	0.219307739237601	0	0.112791279673759	0	0.158060291234625	0.053257071117602	0	0	0.0654068525438291	0.00460465234559826	0.085441796718697	0.0694651509847213	0.121518181785491	0	0	0.0320351782524371	0	0	0	0.123	0.102001454634422	1.06444256731141
TCGA-FL-A1YF-11	0.102417361375931	0	0.00964010496394187	0.187739864474424	0	0.0518300058670805	0	0.0708303601524315	0.0372820999824775	0	0.217443757801267	0.0963077610064083	0.0156343178796489	0.0376557399601823	0.00632480216971934	0.104445561588309	0	0.00833431383470345	0.0541139489434753	0	0	0	0.003	0.343024556549523	0.96811027825064
TCGA-B5-A5OE-01	0.0103667764029669	0	0	0.007778118012224	0	0.111592636337312	0	0.132346407838535	0.0491333689110331	0	0	0.121257511784131	0.00315777316462157	0.283617386378622	0.0100796606138521	0.137601214027127	0	0.0498751409368389	0.0805781553830644	0	0	0.00261585020967232	0.294	0.0598543045155801	1.08433958517982
TCGA-AX-A3G3-01	0	0.00185723612985796	0.0241349547586563	0.0927527070972292	0	0.0860301707057908	0	0.0547217716474714	0.0799537605836506	0	0.0443754535081271	0.0583757656236779	0.0222730856787242	0.21308016022394	0.0844159061596498	0.212627972851398	0	0	0.0254010550318263	0	0	0	0.00600000000000001	0.286663380133247	0.975649791999825
TCGA-PG-A916-01	0.0476192495897185	0	0.123159808365649	0.0370600963293849	0	0.219936130325005	0	0.0384971993430171	0.07629309630844	0	0.0275108683691572	0.0346418299386739	0.00489674545435548	0.1799304840466	0.00137692469428982	0.124256687093848	0	0.0528155265830636	0.0320053535587982	0	0	0	0.421	0.0403471202254183	1.0642655163843
TCGA-DI-A2QY-11	0.0173871012513419	0.014556188117176	0.102836156089601	0.145415959542688	0	0	0	0.109527169971742	0.138639511937756	0.010657776355608	0.0236385956759388	0.0496864273513065	0.0565593876364233	0.194623460818755	0.0183962291474414	0.111328414505138	0	0	0.00674762159908485	0	0	0	0.608	0.0168524227915409	1.08232076080573
TCGA-AJ-A3NC-01	0.0905389982383596	0	0	0.02847578806429	0	0.162396167025281	0	0.132828709673529	0.129229797592247	0	0.0341950857112331	0.0223076440061315	0	0.0584836828080616	0	0.0594075379163888	0	0.0657659664641272	0	0.0559330792319685	0	0.160437543268383	0.678	0.00833716438771282	1.09766367020853
TCGA-FL-A1YG-11	0.193427568657372	0	0.0330716398776288	0.0326197786452365	0	0.229873145133503	0	0.00715482843335008	0.00537371703119836	0	0	0.0760666220584311	0.0165016664561648	0	0.00456605811996495	0.190632735308921	0	0	0.210712240278229	0	0	0	0.659	0.0103739200519196	1.08324916932943
TCGA-DF-A2KY-01	0.00793197459150198	0	0	0.13580666854334	0	0	0.0223359829520003	0.0869224556858288	0.0133216469939087	0	0.0929437725022149	0.0509589863651774	0.0882612764687401	0.0978017979892204	0.155650178407083	0.233931585901109	0	0	0.0141336735998754	0	0	0	0.00900000000000001	0.262576869149674	0.993905895188103
TCGA-AX-A3FV-01	0.00278727445687211	0	0.0530719992619151	0	0	0.0532618409701183	0	0.18435049685939	0.000549476366440037	0	0.0436344806906703	0.0104547685684432	0.00824080928858641	0.28813532337732	0	0.195691464196503	0	0	0.157935918356505	0	0.00188614760723606	0	0.409	0.0415421079067614	1.08728719660971
TCGA-QS-A5YR-01	0	0.00889330724757784	0.134168934537451	0.095115262290976	0	0.127091775916301	0	0.0259405222790363	0.0635859181291817	0	0.00974673249372524	0.0420607990165988	0	0.223023415753664	0.00141545944456888	0.219614017073494	0	0.00297597732435147	0	0.0146668901718641	0	0.0317009883212091	0.015	0.226891057633496	0.997773954273828
TCGA-DF-A2KZ-01	0.107871525398453	0	0.0403815757360111	0.0502798751749661	0	0.220133095756349	0	0.10991126209354	0.0284222340031501	0	0.00532887024304038	0.0147090724123711	0.0232179417501673	0.0612899886179531	0.109117298121949	0.149873056114428	0	0.019239192420826	0.0113190784818407	0	0	0.0489059336749537	0.143	0.0941626017254561	1.05160834289389
TCGA-A5-A2K2-01	0.0644726711395326	0	0.0220364266123498	0	0	0.123605887486994	0	0.100087945391543	0.0649651984627684	0	0	0.160834327363729	0.00332580993128835	0.180589147790804	0	0.0673413389076494	0	0.138842823287978	0.0738984236253635	0	0	0	0.791	-0.00535681227897657	1.10392295595904
TCGA-AX-A3FZ-01	0	0	0.0804611960407424	0	0	0.171273723120814	0	0.0977120758951895	0.0299223835700494	0	0.143861285104462	0	0.0729427629204473	0.281389742256568	0	0.0316204130881891	0.00105582353981797	0	0.0897605944637211	0	0	0	0.396	0.0441314135797242	1.07561472586423
TCGA-B5-A0JR-01	0.0642044111794187	0	0.0118290570769585	0.263179010528774	0	0.0528083908370965	0.00554324135285608	0.150784094941908	0.117669040117728	0	0.0653411437331764	0	0.0164208304417151	0.0386634566290734	0.0619016275427802	0.151655695618515	0	0	0	0	0	0	0.12	0.102700520998151	1.06917065166108
TCGA-AJ-A3TW-01	0.0184436590811915	0	0	0.0539892271800335	0	0.137779055254531	0	0.0329468671334371	0.0359764062373008	0	0	0.0413088297303031	0.0788038817945303	0.322282682016833	0.0765074371595936	0.187725316014842	0.0142366383974041	0	0	0	0	0	0	0.521503563556877	0.852562397697537
TCGA-PG-A914-01	0.0557497832160276	0	0	0.0495405239005678	0	0.0362470751043035	0	0.118752537407407	0.0512702412702332	0	0	0.0386265293436936	0.0116865853646207	0.419019489089217	0.0765306778662067	0.107117745271805	0	0.0354588121659173	0	0	0	0	0.035	0.166937079778893	1.05678760410616
TCGA-AX-A3GI-01	0.0662616538856582	0	0.0106409213292468	0	0	0.172196420055995	0	0.0932718383429374	0.0412447501336122	0	0	0.0262088706980073	0	0.301533263790731	0.0355280157362063	0.0475657224246303	0	0.196944316021118	0.0086042275818578	0	0	0	0.62	0.0149553078304205	1.11225738383638
TCGA-D1-A2G0-01	0.0556442504663064	0	0.00714492999945209	0.280453529028933	0	0	0.168458383113933	0.131704424063464	0	0	0.0774125919175747	0.0786553259001737	0.0289590620634364	0.051758263817118	0.017042941347584	0.0644158760093455	0.00105687234576689	0.00203288364981794	0.0352606662770947	0	0	0	0.033	0.170349281228725	1.04648754418514
TCGA-EY-A2OO-01	0.142804779201899	0	0.215629129488506	0	0	0.05150565424658	0	0.135857017718779	0	0	0	0.0668751207787205	0	0	0	0.191288162156973	0	0.13292221334891	0.0555574116061793	0	0	0.00756051145345354	0.637	0.0128209766395486	1.05710034496987
TCGA-A5-A7WJ-01	0.197274025561761	0	0.0531909928866156	0	0	0.0712615527348645	0	0.135244388128138	0.0957905055654452	0	0.0132287370912467	0.0405023677797292	0.00873284238858554	0.113918289849591	0	0.0524413910470552	0	0.194911881893093	0	0.023503025073875	0	0	0.995	-0.0637891455375531	1.11454448179736
TCGA-AX-A3G9-01	0.115185116044573	0	0.00152662592365643	0.182951715699717	0	0.013541801105594	0	0.219942997861507	0.00815405106996793	0	0	0.0884017644655209	0.0186085691763613	0.0015805383252548	0	0.0613839191339019	0	0.253476505784145	0.0352463954098009	0	0	0	0.988	-0.0502569706725812	1.13966413775602
TCGA-BK-A4ZD-01	0.12440257274394	0	0.0065225081910254	0.093012121345419	0	0.144635377131851	0	0.0665356021445169	0.0634919853660519	0	0	0.0555481937364197	0.0369012239564778	0.0654600915078698	0	0.214081237825293	0	0.0547738383750342	0.0680924349735725	0	0.00654281270252868	0	0.994	-0.0617009963115811	1.10497578891056
TCGA-B5-A3FC-01	0.0333645428749054	0	0.0863285796379351	0.0718603000559461	0	0.0996512770428622	0	0.0983873790155921	0.0289136755995026	0	0.0645976538915425	0.0389272812793983	0	0.125405238902583	0.0414279328644628	0.280812812988697	0	0	0.0303233258465727	0	0	0	0.044	0.151280036836431	1.0256845958023
TCGA-AJ-A3NE-11	0.103765485725523	0	0	0.0675765519346372	0	0.274763882580391	0	0.00513472206665059	0	0	0.0229195237213931	0.0430245836374514	0.0228634553815183	0.0269812833140425	0.0556336434250192	0.0885714137575648	0	0.089307793679025	0.178065681120519	0.0173173381351074	0	0.00407464152115662	0.214	0.0755584956855173	1.06011514355025
TCGA-AP-A3K1-01	0.0211529126625773	0	0	0	0	0.32775637955067	0	0.0834022737870573	0.035418008124647	0	0	0.166332948086636	0	0.222570347763102	0.0025285906207492	0.102712484116665	0	0.000945820862609193	0.0297627996403552	0	0	0.00741743478493064	0.391	0.0448743489006584	1.10669750585607
TCGA-EY-A3QX-01	0.138000749933811	0	0.0419154863313248	0	0	0.212644388264666	0	0.0725584719318726	0	0	0.068005127724549	0	0.0148291886041527	0.0242300684722447	0.00940955060590205	0.199048400692063	0	0.207630658354032	0	0	0	0.0117279090853826	0.265	0.0663018028327014	1.06127283571824
TCGA-AX-A0IZ-11	0.108950117012333	0	0.0481499067719823	0.0499821693386561	0	0.131410890244989	0	0	0	0	0.0143051712791124	0.0518668232297554	0.0232652080576739	0	0.00436239366417463	0.205195597796936	0	0.00313994171239414	0.359371780891993	0	0	0	0.171	0.0870427812029385	1.06597974113612
TCGA-AX-A05W-01	0.00223692212987549	0	0.0271325023896601	0.0401304068102228	0	0.0187217646006818	0	0.057011163691038	0.0610536133479644	0	0	0.0569110434193144	0	0.530870598593187	0.0106440043261425	0.18749179893693	0	0	0	0.0077961817549839	0	0	0	0.615120628359986	0.788955044427865
TCGA-AJ-A3BI-01	0.00727137384033017	0	0	0.112521978075691	0	0.0699626917805352	0	0.0654715182603055	0.0853715124596629	0	0.0185057174494652	0.0840117129849471	0	0.17387880789764	0	0.243704973806379	0	0.0870795085573808	0.0522202048876628	0	0	0	0.01	0.254548448553718	0.989427447468141
TCGA-EY-A2ON-01	0.0172043373169238	0	0.174606373765907	0	0	0.141884073218187	0	0.0167252125748111	0.0257781424968904	0	0.0964643267996784	0.0115814882122977	0.0605731105523959	0.0693504826204121	0.0422487551635643	0.229085667170382	0	0.0951759923750453	0.00678297926352008	0	0	0.012539058469984	0.321	0.0555509504107612	1.05139737633547
TCGA-AX-A3FS-01	0.00134809835568848	0.00206123733895168	0	0.0958673027607251	0	0.0055979458131462	0	0.170069392672998	0.0678865472114312	0	0.0554778297220744	0.040508085394749	0.0647976421121872	0.124267406154048	0.109548227497534	0.100059259118015	0.00580678695048546	0.00265256546494746	0.122044422544508	0	0.0320072508885111	0	0.756	6.41812385329781e-05	1.09044418240038
TCGA-SL-A6JA-01	0.0974948258271275	0	0.104094359487925	0.075973087678223	0	0.0600839694936675	0	0.191985291600018	0	0	0	0.0852393448657011	0.0141849104630755	0.0110930609144177	0	0.186566317649623	0	0.14065595675897	0.0326288752612528	0	0	0	0.727	0.00377911366001593	1.07664572147843
TCGA-B5-A0K9-01	0.0376677947823662	0	0	0.0708566001945277	0	0.17908806686497	0	0.0246680319031669	0.0804153539281276	0	0.0241743172697094	0.0069301996231315	0	0.413326318679724	0.0726316301053262	0.050076797375022	0	0	0	0.015909229262454	0	0.0242556600114743	0.054	0.14428511953976	1.06509401443034
TCGA-AX-A2H4-01	0.00243758197962934	0	0.0240196586496767	0.151791128786202	0	0.161197771653937	0.029205114456538	0.0962971077117102	0.028024923108143	0	0.0749972299644196	0	0.00363408468653604	0.0379015485394404	0.148184365507075	0.198942762589947	0	0	0.039641257256364	0	0	0.0037254651103814	0.001	0.382210982229747	0.928391988854411
TCGA-AJ-A3EJ-01	0	0.00820294806244894	0.0694836857597395	0.0111370349640819	0	0.105326795458965	0	0.0454497372879824	0.0267299356103333	0	0.0307353065778092	0	0	0.436988300509056	0.0281731103499148	0.205153817666027	0	0.0270222192253301	0.00559710852831088	0	0	0	0.039	0.158239996074459	1.07028744882127
