B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-N7-A4Y5-01	0	0.00241051727474991	0.052830311228532	0.0156679577314937	0	0.169193372373895	0	0.220120674238981	0	0	0	0.0215860497676568	0.0765009455248586	0	0.00871238187042267	0.391015008742381	0	0.0419627812470292	0	0	0	0	0.985	-0.0480403651098107	1.11453075528587
TCGA-N5-A4RM-01	0.0272247224862453	0	0.00523723657127273	0.0786739275790257	0	0.174098984111697	0	0.0493672471055058	0.0205021255023734	0	0	0.0427452927474666	0	0.375276643803482	0.0284984525116733	0.180392400597674	0	0	0.0179829669835841	0	0	0	0.034	0.185637433253912	1.04270002026153
TCGA-N9-A4Q8-01	0.00168351598726313	0	0.0583898724212275	0.103460493254289	0	0.233309917070958	0	0.145069016835118	0.0270048859972593	0	0	0.0842056520642376	0	0.284029213685675	0	0.035275987505895	0	0.00474109330763288	0.0123640570585638	0	0.0104662948118813	0	0.549	0.0213377585630843	1.11050221576446
TCGA-N9-A4Q7-01	0.00732034030227464	0	0.0489423670462792	0.276525989672142	0	0.0880359956707834	0.0624178369174681	0.0549489088278635	0.0780409069866768	0	0.033608674760727	0.0116303507105473	0.0223461869907692	0.00370980841369269	0.151793001695378	0.139676470901206	0.000869890087816801	0	0.0201332710163749	0	0	0	0.001	0.406669122881508	0.917720336813961
TCGA-N6-A4VD-01	0.00114362323835044	0.00357146160059421	0.00906204011688667	0	0	0.240977548677702	0	0.0288507465902438	0.0373274129797363	0	0.0888043007974234	0	0	0.364035846100539	0.00144251969804487	0.14568610318361	0	0	0	0.0790983970168694	0	0	0.021	0.218847419287843	1.02487053666112
TCGA-N5-A4RT-01	0.0623304630543415	0	0.266567925774921	0.120176800935878	0	0.00991552610660559	0	0.0833797099438722	0	0	0	0.0486436378132348	0.0217885084084911	0.192749381932575	0	0.122324115779175	0	0.0307377521735182	0.0413861780773867	0	0	0	0.984	-0.0469739895208682	1.08206072269905
TCGA-N9-A4Q1-01	0.15676462711833	0	0.379118001901952	0.0264504627808284	0	0.0116909717095838	0	0.0286166700833294	0	0	0	0.0248331754199579	0	0.102928447547425	0	0.224427044768702	0	0.0293359232103632	0.0158346754595272	0	0	0	0.413	0.0385901167232964	1.05091665786312
TCGA-N5-A4RD-01	0.0815441960274634	0	0.268465160210431	0.0407687071604591	0	0.00629203552907817	0	0.0349150198242786	0	0	0	0.0393248261786349	0.00954217505890562	0.258916918504836	0	0.185433064588691	0	0.0281391711583558	0.046658725758866	0	0	0	0.748	-0.00134544574200836	1.083539289197
TCGA-N8-A4PL-01	0	0.00668940455528956	0.0537967961137299	0	0	0.215754873657589	0	0.0600382447669995	0.0209193879365793	0	0.0500396897506798	0.032664100341142	0	0.540288007097467	0	0.00203513511767673	0	0.0013790454859423	0.0163953151769042	0	0	0	0.00700000000000001	0.270322178182308	1.01619419534021
TCGA-ND-A4WC-01	0.0220069602856631	0	0.0218089681626725	0.158198091717485	0	0.096488648559693	0	0.126458001295814	0.0368946870521048	0	0.00661945838395678	0.0722033653393377	0.0231665427927294	0.131035408723811	0.0750358785642338	0.0419797852999341	0.00143326050879106	0.000999107886633269	0.178986487747756	0	0	0.00668534767938381	0.734	0.000378244574417299	1.09524645174496
TCGA-NF-A4X2-01	0	0	0.0546182016585835	0	0	0	0.0345341981402355	0.0342520600852658	0.0225832961893458	0	0.0354202968737989	0	0	0.380456014617034	0	0.398189395988072	0	0	0.0399465364476646	0	0	0	0.004	0.330229670438954	0.986144916573119
TCGA-NF-A4WU-01	0.253417890675981	0	0.0135626095865448	0.0736917777391261	0	0.0785401222791348	0	0.199729345852745	0.0125387992339797	0	0	0.0567812872660338	0.0154806526821948	0.167817590350396	0	0.0579231348726042	0	0.0223207180829765	0.00993813033913977	0	0	0.0382579410391439	0.368	0.0453715710146719	1.08055561857047
TCGA-N8-A4PI-01	0.030645316122632	0	0.00842526913577178	0	0	0.0161357169863626	0	0.0304415821593921	0.00809284423325386	0	0.0471668605878669	0	0	0.639495608421652	0	0.219319029178072	0	0	0	0	0.000277773174996625	0	0	0.762999173585613	0.647320746913623
TCGA-N8-A4PO-01	0.0331552570203499	0	0	0.283477087516259	0	0.0398656673083522	0	0.11853724242689	0.000954741172779713	0	0	0.00298895991432501	0.0406172830023289	0.0594916555198109	0.0815731519795704	0.289521331750465	0.00913099810524537	0	0.0406866242836235	0	0	0	0.86	-0.0163180691556856	1.1060572135172
TCGA-NA-A4QY-01	0.017840103349366	0	0	0.010571581500775	0	0.320539834062945	0	0.0405404823395351	0.000634746836319226	0	0.00895971877934488	0.0689796449470692	0.0882412197945148	0.25120740241309	0	0.179477033516649	0	0.00749836856178367	0.00550986389860846	0	0	0	0.134	0.0981706801536075	1.06929721625307
TCGA-N5-A59E-01	0.148175272772024	0	0.0773502076264976	0.0692314813355891	0	0.0607984443595705	0	0.0409527167543268	0.0828064300115549	0	0	0.0576884131545967	0	0.255016146874082	0.020420299886771	0.163301763331156	0	0	0.0242588238938314	0	0	0	0.018	0.225680163569284	0.997751926592544
TCGA-NA-A4QW-01	0.104542955436785	0	0.15663785303494	0.01264828986294	0	0.153245345868464	0	0.165469084563742	0.00478912519935768	0	0	0.0180306242255893	0	0.0421873001801812	0.0224155733953458	0.256327521219838	0	0.0637063270128165	0	0	0	0	0.947	-0.032084118629985	1.08398586698608
TCGA-ND-A4W6-01	0	0.00553433869744085	0.0342754920316961	0.0311338941105369	0	0.11500528791673	0	0.0419498423730169	0.0149330487853532	0	0.0279784981354729	0	0.0685151232872307	0.182635316601888	0.0374235276365044	0.438943639187838	0	0	0.00167199123629133	0	0	0	0.027	0.207415176117563	1.02646052886808
TCGA-N8-A4PN-01	0.0566995879580879	0	0.00201406116335658	0	0	0.164369310659939	0	0.0496805767652175	0	0	0.00152322360208659	0.0529484338422144	0.111955098754803	0.0671370995632874	0	0.456203383528823	0	0	0.0374692241621845	0	0	0	0.969	-0.0393440599406954	1.12701293108588
TCGA-N5-A4R8-01	0.138223510032613	0	0.0774909767165341	0.00360561562406443	0	0.228328111559163	0	0.0266728842176573	0	0	0.00967355584193906	0	0	0.453918071174126	0	0.0596876528900804	0	0	0	0.00239962194382265	0	0	0.515	0.0248655930832759	1.12509349435135
TCGA-N6-A4VG-01	0.0209117717623435	0	0.00676135051445498	0.0398800175984448	0	0.0743854467177375	0	0.127704218949225	0	0	0	0.0024594238209353	0.0160799053996207	0.290402540992113	0.0941481365427669	0.296206958434352	0	0	0.0310602292680063	0	0	0	0.115	0.105749938881769	1.07958449865732
