B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-VD-A8KM-01	0.00799523679240997	0.114756095695112	0.0972101441091247	0.30486065114467	0	0	0	0.0530642552026663	0.0827200908360781	0	0.000662561660050778	0.00250252413514584	0.00115537002298541	0.101104869680765	0.0312329233659827	0.194089070243812	0	0	0.00864620711119661	0	0	0	0.00600000000000001	0.261830978931453	0.978987710232671
TCGA-V4-A9F4-01	0.00988444410840554	0	0	0	0	0.28752582542819	0	0.00264875309004255	0.0817083569511246	0	0.104730884568501	0	0.0589700160746607	0.100664905424184	0.00670812092010745	0.10221958819424	0	0	0.23797177500559	0	0.0069673302349526	0	0.708	-0.00205675370476527	1.09332775319544
TCGA-WC-A881-01	0.0882759489652939	0	0.0951596332812842	0.0603870424110733	0	0.0397182004160891	0	0.0412606493458297	0.0169269552996243	0	0.00804410705684157	0.0283910439544542	0.0104422553020559	0.0347909078725466	0.0294817776980081	0.511591638896992	0	0	0.0355298394999075	0	0	0	0.154	0.0874461053809261	1.06428146710849
TCGA-V4-A9F1-01	0.000551225409860919	0.00279808624358368	0.0118111575437603	0.0340217237968082	0	0.152024698369236	0	0.0105980337917762	0.0207568136342697	0	0.0373738210354293	0.0324294944453026	0.0373362004503603	0.0660602572809506	0.00581221260566585	0.409801347297448	0.00167420309733908	0	0.176950724998209	0	0	0	0.239	0.0655593717851384	1.07248560808903
TCGA-VD-AA8N-01	0.00500235379968458	0	0.0356596659890555	0.155861926430178	0	0	0	0.0410594088969686	0.052766021656081	0	0	0.00811597825739063	0.036669196283866	0.0430499630986872	0.0881447943990245	0.30706972683953	0.0108068481388793	0	0.215794116210654	0	0	0	0.182	0.0763759945826224	1.05877622288595
TCGA-V4-A9EY-01	0.000527464347200856	0.000511569227623673	0.0220963574855591	0	0.064576730325303	0.136730982937947	0	0.00971065856321582	0.070512269640656	0	0.0454498559182832	0.013725752472259	0	0.117589306217337	0.00687298587622188	0.282046228035329	0.00383562307977913	0	0.225256573666888	0	0.000557642206397556	0	0.129	0.0962704786779528	1.05327418023407
TCGA-V4-A9EI-01	0	0.0114713026766509	0.0110223360976935	0	0	0.0980302097759367	0	0.146600690827572	0.0782397880469521	0	0.115462937416668	0	0	0.449180906635677	0	0.0355599823101147	0	0	0.054431846212736	0	0	0	0.129	0.0964063218538353	1.09088011319057
TCGA-VD-AA8O-01	0	0	0.136623022254927	0.349558255563982	0	0.0316391876077622	0	0.0191258424775766	0.0249899963391063	0	0.000541021950691759	0	0	0.0584891601717227	0.0137317833583246	0.365301730275907	0	0	0	0	0	0	0.424	0.0275305526016996	1.08771455237516
TCGA-WC-A880-01	5.49224782388631e-06	0.00359445638844804	0.00746294047513487	0	0.0216660813639306	0.248125056651216	0	0.0043578006419619	0.0460524411041681	0	0.209791422526574	0	0.0880248728619273	0.0944512633064132	0	0.0714707204792568	0.00562164280587656	0	0.183955610054934	0	0.0154201990923349	0	0.854	-0.021358452146859	1.10902166451355
TCGA-WC-A882-01	0.0083909259891171	0.00680929087292466	0.00387226206985323	0.0246661385972032	0	0.0265490753793068	0	0.021830083351017	0.0856808412507519	0	0.0302493439265424	0.00892225300007033	0	0.331369072101964	0.0173514045400224	0.258572674688749	0	0	0.175736634232478	0	0	0	0.035	0.169075126540082	1.04818649417674
TCGA-VD-AA8P-01	0	0.00763940084938762	0.0196752351800033	0	0.0418369290597816	0.156120052428685	0	0.00134324617830541	0.0911423374283017	0	0.0875663859299749	0	0.0699115519536505	0.0974426441690912	0.00212360862657566	0.1753955343724	0	0	0.236474373119529	0	0.013328700704314	0	0.456	0.0238833035068757	1.07569608592158
TCGA-WC-AA9E-01	0.190013495369029	0	0.150462418897078	0.17876549066033	0	0.0109822752966817	0	0.0751987895853914	0.0315936904435169	0	0.00120411813053659	0.0294760017732255	0.02333136619714	0	0.0269009254879298	0.265610095629644	0	0	0.016461332529497	0	0	0	0.443	0.0257038048944214	1.06585331422708
TCGA-V4-A9F8-01	0	0.000126275579232133	0.0109811909025581	0	0	0.188347929540477	0	0.00947219588814919	0.178019324812729	0	0.138352645302414	0	0	0.191344576921014	0.00241926646558378	0.151713462865744	0	0	0.117218391875366	0	0.0120047398467327	0	0.347	0.0436203476195282	1.07888724723362
TCGA-VD-A8K9-01	0	0.022771292607955	0.110945811615996	0.048076579773662	0	0.118675858469258	0	0.0162070656178367	0.0539546974265165	0	0.0247968811119186	0	0.0180792161537789	0.396189628782731	0	0	0.00257876324791798	0	0.187724205192429	0	0	0	0.119	0.0991902492051062	1.06630567907234
TCGA-V4-A9EZ-01	0.0759166784513428	0	0.12975994395325	0.0463380020617848	0	0.0636177216312332	0	0.00358984479836179	0.0993956137575911	0	0.0486179282679366	0.00987318768917966	0.10666448546233	0.126357368095614	0.017895459282954	0.256587945237453	0	0	0.0153858213109691	0	0	0	0.277	0.0574455394583017	1.05498320216558
TCGA-VD-AA8Q-01	0	0.0122826257077445	0.0055119043817947	0.0451507657319527	0	0.231513351684331	0	0.0342540496376053	0.0352625356172793	0.00646834935283408	0	0.0132266776757822	0.0292183763390239	0.0622192647275996	0.00569987004988378	0.344325075115046	0	0	0.173785705645378	0	0.00108144833374491	0	0.106	0.103270920296615	1.04993761118348
TCGA-V4-A9E9-01	0.193183044540664	0	0.134699172809295	0.0361674205170628	0	0	0	0.0410492486478312	0	0	0.0409230987169548	0.0101984515120259	0.0473708796507783	0	0.00911082443161722	0.450744993118616	0	0	0.0365528660551549	0	0	0	0.168	0.0815413363815845	1.05697810602756
TCGA-VD-A8KL-01	0.0346345447569772	0	0.00747666808107173	0	0	0.138199831808854	0	0.0484081978791393	0.0119287222596247	0	0.0205926684961058	0.0180484021153343	0	0.159517423802521	0.00679402272834326	0.360201058793614	0.0096269663700278	0	0.171613684434084	0	0.012957808474303	0	0.267	0.0594046187612711	1.07834965198186
TCGA-WC-A87T-01	0.17158107412534	0	0.146771181099013	0.0121813969401909	0	0.0333356343344387	0	0.0368191904333787	0	0	0	0.0459802606687912	0.000946663523389039	0	0	0.508491191176079	0	0	0.0438934076993797	0	0	0	0.298	0.0522681486621851	1.07596074038691
TCGA-YZ-A980-01	0.000168843673443116	0.000188793740697034	0.0272892699815036	0	0	0.392556121180321	0	0.0550778647379787	0.0667731680149741	0	0.0183714255578341	0.0325014489863896	0	0.171100519218087	0.00671878385327942	0.0519562993601605	0.00463083696959525	0	0.172666624725737	0	0	0	0.361	0.0401509306160804	1.08457925211035
TCGA-VD-AA8M-01	0.174870245155695	0	0.119164864057559	0.055619612307614	0	0.0222522933383694	0	0.0336041643126157	0.0270701222313321	0	0.00644059545989206	0.0274125190394377	0.00773515598691107	0.00542747323731945	0.013990639644006	0.470301346109318	0	0	0.0361109691199311	0	0	0	0.209	0.0695090938186045	1.06342610095474
TCGA-VD-AA8T-01	0.170914654560752	0	0	0.0576613219391972	0	0.0747556719117015	0	0.0341116928692749	0.0527575224633696	0	0.0178693749148758	0	0.00572020095819895	0.0834991057347379	0.0130342440776246	0.489676210570267	0	0	0	0	0	0	0.496	0.019378332611745	1.10678549369211
TCGA-VD-A8KI-01	0.0116409567719209	0	0.0310312005187476	0.0697979750487696	0.0159357243956989	0	0	0.0453521688201897	0.0166168276855786	0.064482221910753	0	0.0373151117100527	0	0.146614210057264	0.0260406559830904	0.360472749683752	0	0	0.173128854970802	0	0.00157134244338034	0	0.106	0.104505616514805	1.05773718875643
TCGA-V4-A9ED-01	0.00134850765476465	0.000308589148961126	0.000271509695516497	0	0	0.113790801395348	0	0.0250727620942223	0.100189871714548	0	0.0297785222654843	0.0314615787472467	0.0387153940275319	0.104206096930821	0.0218538149660879	0.277062127971091	0.0029286495989193	0	0.251916430007553	0	0.00109534378190487	0	0.191	0.073665791067597	1.0647965040856
TCGA-V3-A9ZX-01	0.000942702491453941	0.00102798708208999	0.00544003236779805	0.246205712552788	0	0	0	0.0924976764713062	0.003034202927681	0	0	0.0163302240473534	0.0117414711021348	0.011185875718375	0.148937964365736	0.23510310695194	0.0155060423148776	0	0.212047001606466	0	0	0	0.464	0.0224515636871243	1.09546656661223
TCGA-VD-A8KJ-01	0.0939608401032428	0	0.00323366461250555	0	0	0.164269228347004	0	0.0550096334951843	0	0	0.0265639847508985	0.00170400477839934	0.0471723821171395	0.0658820498404891	0	0.474369868098581	0	0	0.0678343438565561	0	0	0	0.148	0.0885294610039707	1.06745560688754
